index1,index2,mag,dist
U 1,CPD -38°3,7.5,3.55
U 2,CPD -23°3,8.8,5.75
U 7,CPD -23°4,6.5,8.14
U 12,CPD -34°5,6.1,3.63
U 15,CPD -19°4,8.5,5.96
U 18,CPD -19°5,9.2,5.19
U 22,CPD -35°8,7.0,3.70
U 26,CPD -22°6,7.0,2.84
U 28,CPD -28°4,5.8,15.62
U 34,CPD -26°9,7.2,2.73
U 39,CPD -22°11,8.0,4.40
U 43,CPD -35°12,5.8,6.95
U 47,CPD -33°13,8.5,5.64
U 48,CPD -28°6,5.5,4.56
U 51,CPD -35°16,5.0,7.52
U 54,CPD -42°10,5.5,1.00
U 58,CPD -27°8,7.0,10.80
U 59,CPD -19°13,9.0,11.18
U 62,CPD -43°9,7.2,7.23
U 70,CPD -43°10,7.8,5.02
U 71,CPD -27°9,6.9,7.19
U 72,CPD -38°11,6.0,10.49
U 77,CPD -23°11,7.5,3.27
U 78,CPD -26°15,6.6,8.83
U 89,CPD -32°29,7.5,2.62
U 90,CPD -35°19,5.8,8.39
U 92,CPD -32°31,8.2,3.45
U 96,CPD -41°29,6.5,8.03
U 98,CPD -35°21,7.9,4.62
U 101,CPD -32°33,5.6,10.78
U 106,CPD -33°28,7.0,7.04
U 110,CPD -33°29,6.9,5.14
U 122,CPD -37°17,5.7,3.85
U 123,CPD -30°34,7.6,7.21
U 135,CPD -25°26,7.4,3.68
U 139,CPD -36°28,7.0,7.53
U 140,CPD -33°33,7.9,15.51
U 142,CPD -24°22,6.9,8.28
U 148,CPD -30°36,7.6,7.37
U 149,CPD -39°11,6.8,4.71
U 152,CPD -36°29,6.4,3.85
U 154,CPD -29°28,5.0,9.99
U 156,CPD -20°18,5.6,5.20
U 158,CPD -23°24,7.7,2.52
U 166,CPD -36°31,7.0,6.32
U 167,CPD -39°16,6.0,4.92
U 168,CPD -38°26,6.2,8.54
U 170,CPD -31°43,6.4,2.97
U 171,CPD -30°37,7.3,10.99
U 172,CPD -38°29,7.0,10.49
U 173,CPD -24°29,8.2,5.33
U 174,CPD -29°35,7.2,9.59
U 180,CPD -24°31,7.5,8.59
