index1,index2,mag,dist
U 1,HD 243,7.5,2.86
U 2,HD 242,8.8,0.48
U 3,HD 266,9.0,0.67
U 4,HD 292,7.0,0.40
U 5,HD 315,5.5,0.47
U 6,HD 303,8.5,3.92
U 7,HD 319,6.5,2.54
U 8,HD 313,7.6,1.07
U 9,HD 318,9.0,1.18
U 10,HD 330,7.9,3.19
U 11,HD 331,9.0,2.12
U 12,HD 344,6.1,0.75
U 13,HD 352,5.5,0.72
U 14,HD 358,2.0,1.55
U 15,HD 362,8.5,1.15
U 16,HD 359,8.2,1.67
U 17,HD 377,8.0,0.57
U 18,HD 380,9.2,1.80
U 19,HD 399,8.1,2.62
U 20,HD 420,8.5,3.78
U 21,HD 419,8.5,2.76
U 22,HD 427,7.0,2.54
U 23,HD 422,7.5,1.93
U 24,HD 432,2.5,5.98
U 25,HD 435,8.0,1.51
U 26,HD 437,7.0,1.74
U 27,HD 463,8.0,0.69
U 28,HD 493,5.8,2.16
U 29,HD 490,9.1,4.37
U 30,HD 505,8.5,1.80
U 31,HD 529,8.0,1.95
U 32,HD 545,7.0,0.74
U 33,HD 544,8.5,2.07
U 34,HD 562,7.2,1.21
U 35,HD 561,8.0,1.18
U 36,HD 587,6.5,0.83
U 37,HD 593,7.0,1.01
U 38,HD 617,8.7,0.55
U 39,HD 634,8.0,2.21
U 40,HD 632,8.3,1.70
U 41,HD 639,6.8,1.22
U 43,HD 656,5.8,1.68
U 44,HD 654,7.8,2.54
U 45,HD 680,7.8,2.30
U 47,HD 705,8.5,2.44
U 48,HD 720,5.5,1.07
U 50,HD 745,7.0,1.12
U 51,HD 739,5.0,2.22
U 52,HD 766,9.0,1.69
U 53,HD 765,7.2,1.45
U 54,HD 770,5.5,2.09
U 55,HD 787,5.2,0.61
U 56,HD 786,8.2,0.92
U 57,HD 810,6.0,2.29
U 58,HD 834,7.0,1.87
U 59,HD 833,9.0,1.68
U 60,HD 829,7.0,0.59
U 61,HD 832,9.0,1.49
U 62,HD 845,7.2,2.44
U 63,HD 850,8.0,1.35
U 64,HD 866,8.8,3.13
U 65,HD 865,8.8,2.21
U 66,HD 875,8.7,3.95
U 67,HD 886,3.6,0.12
U 68,HD 889,9.0,2.47
U 69,HD 890,7.6,2.04
U 70,HD 903,7.8,2.89
U 71,HD 901,6.9,0.73
U 72,HD 902,6.0,0.80
U 73,HD 905,5.5,2.07
U 74,HD 917,9.2,3.29
U 75,HD 921,8.5,1.13
U 76,HD 932,8.5,1.08
U 77,HD 941,7.5,0.94
U 78,HD 943,6.6,1.72
U 79,HD 964,9.0,4.10
U 80,HD 967,8.5,0.76
U 81,HD 965,8.1,0.25
U 83,HD 998,8.8,1.67
U 84,HD 1030,9.0,2.18
U 85,HD 1049,8.2,1.84
U 86,HD 1061,6.0,1.95
U 88,HD 1058,7.5,1.21
U 89,HD 1078,7.5,1.59
U 90,HD 1089,5.8,1.80
U 91,HD 1100,6.9,1.01
U 92,HD 1115,8.2,2.62
U 93,HD 1141,6.0,0.59
U 94,HD 1129,7.8,0.64
U 95,HD 1133,7.2,0.62
U 96,HD 1138,6.5,2.77
U 97,HD 1149,8.0,2.25
U 98,HD 1155,7.9,2.53
U 99,HD 1160,7.0,2.86
U 100,HD 1169,7.6,1.96
U 101,HD 1187,5.6,2.74
U 102,HD 1195,8.0,0.40
U 103,HD 1227,6.0,1.29
U 104,HD 1223,7.5,1.13
U 105,HD 1224,7.5,0.53
U 106,HD 1233,7.0,1.39
U 107,HD 1228,7.5,1.36
U 108,HD 1242,8.9,0.55
U 109,HD 1252,7.5,2.15
U 110,HD 1259,6.9,1.69
U 112,HD 1280,5.5,2.42
U 114,HD 1315,7.8,0.89
U 115,HD 1329,7.9,3.19
U 117,HD 1367,6.6,1.07
U 118,HD 1370,8.3,0.96
U 121,HD 1404,4.8,0.65
U 122,HD 1434,5.7,0.46
U 123,HD 1474,7.6,2.89
U 124,HD 1472,8.0,2.29
U 125,HD 1385,8.0,6.44
U 126,HD 1489,8.8,0.25
U 128,HD 1522,3.4,1.32
U 129,HD 1529,7.7,1.81
U 130,HD 1537,6.8,0.86
