index1,index2,mag,dist
U 1,PPM 275709,7.5,2.86
U 2,PPM 242523,8.8,0.48
U 3,PPM 208366,9.0,0.67
U 4,PPM 65028,7.0,0.40
U 5,PPM 181879,5.5,0.47
U 6,PPM 174673,8.5,3.92
U 7,PPM 242530,6.5,2.54
U 8,PPM 65029,7.6,1.07
U 9,PPM 208374,9.0,1.18
U 10,PPM 25034,7.9,3.19
U 11,PPM 65032,9.0,2.12
U 12,PPM 275726,6.1,0.75
U 13,PPM 181887,5.5,0.72
U 14,PPM 89441,2.0,1.55
U 15,PPM 208392,8.5,1.15
U 16,PPM 143173,8.2,1.67
U 17,PPM 143175,8.0,0.57
U 18,PPM 208393,9.2,1.80
U 19,PPM 25046,8.1,2.62
U 20,PPM 143184,8.5,3.78
U 21,PPM 143187,8.5,2.76
U 22,PPM 275737,7.0,2.54
U 23,PPM 143189,7.5,1.93
U 24,PPM 25054,2.5,5.98
U 25,PPM 116170,8.0,1.51
U 26,PPM 242549,7.0,1.74
U 27,PPM 116175,8.0,0.69
U 28,PPM 242561,5.8,2.16
U 29,PPM 143198,9.1,4.37
U 30,PPM 208418,8.5,1.80
U 31,PPM 116191,8.0,1.95
U 32,PPM 181921,7.0,0.74
U 33,PPM 143206,8.5,2.07
U 34,PPM 242571,7.2,1.21
U 35,PPM 181922,8.0,1.18
U 36,PPM 181928,6.5,0.83
U 37,PPM 25084,7.0,1.01
U 38,PPM 181935,8.7,0.55
U 39,PPM 242578,8.0,2.21
U 40,PPM 143220,8.3,1.70
U 41,PPM 65066,6.8,1.22
U 42,PPM 65070,8.0,1.26
U 43,PPM 275777,5.8,1.68
U 44,PPM 143222,7.8,2.54
U 45,PPM 143227,7.8,2.30
U 46,PPM 143233,8.3,2.88
U 47,PPM 275784,8.5,2.44
U 48,PPM 242592,5.5,1.07
U 49,PPM 143234,8.8,1.01
U 50,PPM 143241,7.0,1.12
U 51,PPM 275790,5.0,2.22
U 52,PPM 174680,9.0,1.69
U 53,PPM 65083,7.2,1.45
U 54,PPM 304655,5.5,2.09
U 55,PPM 208476,5.2,0.61
U 56,PPM 208477,8.2,0.92
U 57,PPM 65092,6.0,2.29
U 58,PPM 242608,7.0,1.87
U 59,PPM 208490,9.0,1.68
U 60,PPM 65095,7.0,0.59
U 61,PPM 143258,9.0,1.49
U 62,PPM 304663,7.2,2.44
U 63,PPM 65099,8.0,1.35
U 64,PPM 143260,8.8,3.13
U 65,PPM 143261,8.8,2.21
U 66,PPM 143262,8.7,3.95
U 67,PPM 116243,3.6,0.12
U 68,PPM 208500,9.0,2.47
U 69,PPM 208502,7.6,2.04
U 70,PPM 304671,7.8,2.89
U 71,PPM 242622,6.9,0.73
U 72,PPM 275815,6.0,0.80
U 73,PPM 42707,5.5,2.07
U 74,PPM 143269,9.2,3.29
U 75,PPM 143274,8.5,1.13
U 76,PPM 143275,8.5,1.08
U 77,PPM 242633,7.5,0.94
U 78,PPM 242632,6.6,1.72
U 79,PPM 143280,9.0,4.10
U 80,PPM 208518,8.5,0.76
U 81,PPM 174682,8.1,0.25
U 82,PPM 143281,9.0,4.94
U 83,PPM 143285,8.8,1.67
U 84,PPM 143289,9.0,2.18
U 85,PPM 143290,8.2,1.84
U 86,PPM 143293,6.0,1.95
U 87,PPM 143294,7.0,7.87
U 88,PPM 65127,7.5,1.21
U 89,PPM 275833,7.5,1.59
U 90,PPM 275835,5.8,1.80
U 91,PPM 182030,6.9,1.01
U 92,PPM 275844,8.2,2.62
U 93,PPM 4330,6.0,0.59
U 94,PPM 65134,7.8,0.64
U 95,PPM 143305,7.2,0.62
U 96,PPM 304711,6.5,2.77
U 97,PPM 65138,8.0,2.25
U 98,PPM 275850,7.9,2.53
U 99,PPM 143311,7.0,2.86
U 100,PPM 143313,7.6,1.96
U 101,PPM 275854,5.6,2.74
U 102,PPM 208577,8.0,0.40
U 103,PPM 143320,6.0,1.29
U 104,PPM 65147,7.5,1.13
U 105,PPM 65149,7.5,0.53
U 106,PPM 275862,7.0,1.39
U 107,PPM 143321,7.5,1.36
U 108,PPM 65150,8.9,0.55
U 109,PPM 65153,7.5,2.15
U 110,PPM 275867,6.9,1.69
U 112,PPM 65154,5.5,2.42
U 113,PPM 65156,8.6,1.39
U 114,PPM 65164,7.8,0.89
U 115,PPM 143339,7.9,3.19
U 117,PPM 143346,6.6,1.07
U 118,PPM 182083,8.3,0.96
U 119,PPM 182084,9.0,2.16
U 120,PPM 143355,9.2,15.16
U 121,PPM 65183,4.8,0.65
U 122,PPM 275891,5.7,0.46
U 123,PPM 242705,7.6,2.89
U 124,PPM 208636,8.0,2.29
U 125,PPM 143358,8.0,6.44
U 126,PPM 143371,8.8,0.25
U 127,PPM 143376,8.8,2.34
U 128,PPM 182115,3.4,1.32
U 129,PPM 208649,7.7,1.81
U 130,PPM 65202,6.8,0.86
