index1,index2,mag,dist
U 1,SAO 192362,7.5,2.86
U 2,SAO 166060,8.8,0.48
U 3,SAO 147091,9.0,0.67
U 4,SAO 53665,7.0,0.40
U 5,SAO 128595,5.5,0.47
U 6,SAO 128596,8.5,3.92
U 7,SAO 166066,6.5,2.54
U 8,SAO 53666,7.6,1.07
U 9,SAO 147094,9.0,1.18
U 10,SAO 21116,7.9,3.19
U 11,SAO 53669,9.0,2.12
U 12,SAO 192367,6.1,0.75
U 13,SAO 128602,5.5,0.72
U 14,SAO 73765,2.0,1.55
U 15,SAO 147101,8.5,1.15
U 16,SAO 109026,8.2,1.67
U 17,SAO 109027,8.0,0.57
U 18,SAO 147102,9.2,1.80
U 19,SAO 21129,8.1,2.62
U 20,SAO 109032,8.5,3.78
U 21,SAO 109034,8.5,2.76
U 22,SAO 192369,7.0,2.54
U 23,SAO 109035,7.5,1.93
U 24,SAO 21133,2.5,5.98
U 25,SAO 91733,8.0,1.51
U 26,SAO 166077,7.0,1.74
U 27,SAO 91737,8.0,0.69
U 28,SAO 166083,5.8,2.16
U 29,SAO 109040,9.1,4.37
U 30,SAO 147110,8.5,1.80
U 31,SAO 91749,8.0,1.95
U 32,SAO 128618,7.0,0.74
U 33,SAO 109043,8.5,2.07
U 34,SAO 166089,7.2,1.21
U 35,SAO 128619,8.0,1.18
U 36,SAO 128621,6.5,0.83
U 37,SAO 21164,7.0,1.01
U 38,SAO 128623,8.7,0.55
U 39,SAO 166094,8.0,2.21
U 40,SAO 109047,8.3,1.70
U 41,SAO 53697,6.8,1.22
U 42,SAO 53701,8.0,1.26
U 43,SAO 192382,5.8,1.68
U 44,SAO 109049,7.8,2.54
U 45,SAO 109052,7.8,2.30
U 46,SAO 109055,8.3,2.88
U 47,SAO 192385,8.5,2.44
U 48,SAO 166103,5.5,1.07
U 49,SAO 109056,8.8,1.01
U 50,SAO 109059,7.0,1.12
U 51,SAO 192388,5.0,2.22
U 52,SAO 128634,9.0,1.69
U 53,SAO 53713,7.2,1.45
U 54,SAO 214999,5.5,2.09
U 55,SAO 147144,5.2,0.61
U 56,SAO 147145,8.2,0.92
U 57,SAO 53722,6.0,2.29
U 58,SAO 166114,7.0,1.87
U 60,SAO 53725,7.0,0.59
U 61,SAO 109064,9.0,1.49
U 62,SAO 215002,7.2,2.44
U 63,SAO 53728,8.0,1.35
U 64,SAO 109065,8.8,3.13
U 65,SAO 109066,8.8,2.21
U 66,SAO 109067,8.7,3.95
U 67,SAO 91781,3.6,0.12
U 68,SAO 147152,9.0,2.47
U 69,SAO 147153,7.6,2.04
U 70,SAO 215005,7.8,2.89
U 71,SAO 166124,6.9,0.73
U 72,SAO 192406,6.0,0.80
U 73,SAO 36173,5.5,2.07
U 74,SAO 109073,9.2,3.29
U 75,SAO 109075,8.5,1.13
U 76,SAO 109076,8.5,1.08
U 77,SAO 166132,7.5,0.94
U 78,SAO 166131,6.6,1.72
U 79,SAO 109080,9.0,4.10
U 80,SAO 147161,8.5,0.76
U 81,SAO 128649,8.1,0.25
U 82,SAO 109081,9.0,4.94
U 83,SAO 109083,8.8,1.67
U 84,SAO 109085,9.0,2.18
U 85,SAO 109086,8.2,1.84
U 86,SAO 109087,6.0,1.95
U 87,SAO 109088,7.0,7.87
U 88,SAO 53753,7.5,1.21
U 89,SAO 192417,7.5,1.59
U 90,SAO 192418,5.8,1.80
U 91,SAO 128662,6.9,1.01
U 92,SAO 192424,8.2,2.62
U 93,SAO 4071,6.0,0.59
U 94,SAO 53761,7.8,0.64
U 95,SAO 109091,7.2,0.62
U 96,SAO 215023,6.5,2.77
U 97,SAO 53764,8.0,2.25
U 98,SAO 192428,7.9,2.53
U 99,SAO 109094,7.0,2.86
U 100,SAO 109096,7.6,1.96
U 101,SAO 192430,5.6,2.74
U 102,SAO 147191,8.0,0.40
U 103,SAO 109100,6.0,1.29
U 104,SAO 53772,7.5,1.13
U 105,SAO 53773,7.5,0.53
U 106,SAO 192437,7.0,1.39
U 107,SAO 109101,7.5,1.36
U 108,SAO 53775,8.9,0.55
U 109,SAO 53776,7.5,2.15
U 110,SAO 192442,6.9,1.69
U 112,SAO 53777,5.5,2.42
U 113,SAO 53779,8.6,1.39
U 114,SAO 53785,7.8,0.89
U 115,SAO 109113,7.9,3.19
U 117,SAO 109119,6.6,1.07
U 118,SAO 128684,8.3,0.96
U 119,SAO 128686,9.0,2.16
U 121,SAO 53798,4.8,0.65
U 122,SAO 192453,5.7,0.46
U 123,SAO 192456,7.6,2.89
U 124,SAO 147212,8.0,2.29
U 125,SAO 109126,8.0,6.44
U 126,SAO 109134,8.8,0.25
U 127,SAO 109136,8.8,2.34
U 128,SAO 128694,3.4,1.32
U 129,SAO 147216,7.7,1.81
U 130,SAO 53812,6.8,0.86
U 131,SAO 128696,7.5,2.32
U 132,SAO 91849,9.0,0.70
U 133,SAO 53817,6.2,4.61
U 134,SAO 109145,7.2,0.07
U 135,SAO 166193,7.4,0.57
U 136,SAO 147221,7.0,0.58
U 137,SAO 109146,7.6,1.36
U 138,SAO 36275,8.0,3.20
U 139,SAO 192466,7.0,2.20
U 140,SAO 192468,7.9,2.85
U 141,SAO 109152,5.0,0.63
U 142,SAO 166201,6.9,2.59
U 143,SAO 53828,4.8,0.95
U 144,SAO 91859,7.5,1.71
U 145,SAO 36291,7.0,2.42
U 146,SAO 53830,8.0,2.82
U 147,SAO 53831,6.8,2.13
U 148,SAO 166204,7.6,1.40
U 149,SAO 192474,6.8,2.37
U 150,SAO 91860,8.5,2.53
U 151,SAO 147228,9.0,1.04
U 152,SAO 192477,6.4,1.18
U 153,SAO 36298,9.0,2.33
U 154,SAO 166207,5.0,0.39
U 155,SAO 109161,8.4,0.49
U 156,SAO 166210,5.6,1.56
U 157,SAO 128716,9.0,1.91
U 158,SAO 166213,7.7,1.96
U 159,SAO 109162,8.2,1.84
U 160,SAO 53842,8.0,1.43
U 161,SAO 128718,7.5,0.91
U 162,SAO 36305,8.5,0.97
U 163,SAO 109165,8.9,2.91
U 164,SAO 53849,6.2,0.84
U 165,SAO 147237,6.0,2.04
U 166,SAO 192490,7.0,1.50
U 167,SAO 192491,6.0,3.69
U 168,SAO 192493,6.2,1.90
U 170,SAO 192495,6.4,1.27
U 171,SAO 192498,7.3,1.58
U 172,SAO 192504,7.0,2.39
U 173,SAO 166239,8.2,0.94
U 174,SAO 166240,7.2,1.24
U 175,SAO 128743,5.5,2.54
U 176,SAO 109184,8.0,1.37
U 177,SAO 21381,6.0,1.65
U 178,SAO 109186,9.2,2.52
U 179,SAO 53875,8.5,1.15
U 180,SAO 166250,7.5,0.66
U 181,SAO 192509,6.9,3.03
U 182,SAO 109192,5.7,0.69
U 183,SAO 53882,7.6,1.02
U 184,SAO 53883,8.2,0.93
U 185,SAO 192512,6.0,2.28
U 186,SAO 109195,6.6,1.68
U 187,SAO 166260,7.0,1.43
U 188,SAO 166262,6.3,0.19
U 189,SAO 109199,7.0,2.20
U 190,SAO 128758,8.0,2.17
U 191,SAO 91892,7.0,1.30
U 192,SAO 109202,8.2,2.27
