index1,index2,mag,dist
WB 0h 2,HD 451,9.0,3.10
WB 0h 4,HD 463,8.0,5.43
WB 0h 6,HD 472,9.0,3.27
WB 0h 8,HD 492,8.3,1.50
WB 0h 9,HD 491,8.0,1.22
WB 0h 10,HD 490,9.0,4.95
WB 0h 13,HD 505,8.3,4.05
WB 0h 14,HD 510,9.0,2.59
WB 0h 16,HD 518,9.0,3.05
WB 0h 17,HD 532,9.0,3.08
WB 0h 18,HD 533,9.0,2.00
WB 0h 21,HD 529,8.3,3.04
WB 0h 22,HD 543,8.0,3.60
WB 0h 23,HD 545,8.0,3.69
WB 0h 24,HD 544,8.3,3.41
WB 0h 25,HD 542,8.3,6.64
WB 0h 26,HD 560,7.0,4.11
WB 0h 28,HD 561,8.0,12.25
WB 0h 32,HD 587,7.0,3.27
WB 0h 33,HD 603,9.0,4.00
WB 0h 35,HD 599,9.0,3.76
WB 0h 37,HD 602,9.0,4.96
WB 0h 38,HD 600,9.0,4.15
WB 0h 39,HD 615,8.0,4.31
WB 0h 40,HD 618,9.0,4.04
WB 0h 41,HD 617,9.0,10.05
WB 0h 43,HD 631,8.3,5.01
WB 0h 44,HD 632,9.0,2.79
WB 0h 45,HD 633,8.0,1.69
WB 0h 46,HD 645,6.3,3.74
WB 0h 47,HD 643,9.0,5.08
WB 0h 48,HD 666,8.0,3.89
WB 0h 49,HD 665,8.3,1.80
WB 0h 51,HD 680,8.0,1.65
WB 0h 54,HD 681,9.0,2.17
WB 0h 55,HD 683,8.3,4.33
WB 0h 56,HD 684,8.3,1.84
WB 0h 57,HD 685,8.0,4.26
WB 0h 62,HD 716,9.0,1.65
WB 0h 63,HD 715,8.3,3.46
WB 0h 64,HD 717,8.0,2.38
WB 0h 65,HD 729,8.0,4.55
WB 0h 66,HD 727,8.3,5.20
WB 0h 67,HD 738,8.3,14.04
WB 0h 69,HD 745,7.0,3.89
WB 0h 70,HD 757,9.0,1.76
WB 0h 71,HD 766,9.0,1.54
WB 0h 72,HD 780,7.0,4.82
WB 0h 73,HD 777,9.0,1.89
WB 0h 74,HD 778,9.0,8.37
WB 0h 75,HD 779,9.0,2.22
WB 0h 76,HD 805,9.0,12.01
WB 0h 79,HD 821,8.3,4.93
WB 0h 80,HD 822,8.0,5.27
WB 0h 81,HD 820,8.0,4.83
WB 0h 82,HD 844,9.0,3.75
WB 0h 83,HD 832,9.0,3.29
WB 0h 85,HD 854,8.3,4.17
WB 0h 86,HD 853,8.0,2.43
WB 0h 87,HD 852,8.0,7.38
WB 0h 88,HD 866,9.0,5.32
WB 0h 89,HD 865,9.0,0.57
WB 0h 90,HD 875,9.0,5.87
WB 0h 92,HD 886,2.0,5.21
WB 0h 93,HD 888,8.0,0.54
WB 0h 94,HD 896,9.0,3.00
WB 0h 96,HD 897,9.0,2.01
WB 0h 97,HD 932,9.0,2.60
WB 0h 98,HD 931,8.0,10.05
WB 0h 99,HD 940,7.0,5.51
WB 0h 100,HD 939,9.0,2.02
WB 0h 102,HD 967,9.0,3.82
WB 0h 103,HD 966,7.3,4.82
WB 0h 106,HD 984,8.0,2.08
WB 0h 107,HD 983,9.0,2.91
WB 0h 108,HD 988,8.3,2.81
WB 0h 109,HD 999,8.0,2.38
WB 0h 110,HD 998,9.0,6.21
WB 0h 112,HD 1030,9.0,2.38
WB 0h 113,HD 1036,8.0,4.34
WB 0h 114,HD 1035,9.0,20.77
WB 0h 115,HD 1049,9.0,4.42
WB 0h 117,HD 1051,7.0,4.86
WB 0h 118,HD 1062,9.0,0.70
WB 0h 119,HD 1061,7.0,3.75
WB 0h 122,HD 1063,7.3,1.17
WB 0h 123,HD 1076,8.0,3.06
WB 0h 124,HD 1100,8.0,2.29
WB 0h 127,HD 1112,9.0,4.87
WB 0h 128,HD 1122,8.0,6.75
WB 0h 129,HD 1133,7.0,3.75
WB 0h 131,HD 1147,9.0,2.15
WB 0h 132,HD 1146,9.3,3.50
WB 0h 133,HD 1151,9.0,1.00
WB 0h 134,HD 1154,9.0,2.68
WB 0h 135,HD 1153,8.0,3.01
WB 0h 137,HD 1168,8.0,2.60
WB 0h 138,HD 1169,8.0,3.86
WB 0h 140,HD 1194,9.0,3.92
WB 0h 142,HD 1203,9.0,2.46
WB 0h 143,HD 1227,7.0,1.81
WB 0h 144,HD 1231,7.0,33.61
WB 0h 145,HD 1243,8.0,101.20
WB 0h 146,HD 1226,8.3,4.33
WB 0h 147,HD 1230,9.0,1.22
WB 0h 148,HD 1228,8.0,7.09
WB 0h 149,HD 1243,7.0,4.83
