index1,index2,mag,dist
WB 0h 1,PPM 116173,9.0,4.40
WB 0h 2,PPM 181904,9.0,3.10
WB 0h 3,PPM 143192,9.0,0.79
WB 0h 4,PPM 116175,8.0,5.43
WB 0h 5,PPM 116176,8.3,11.84
WB 0h 6,PPM 143193,9.0,3.27
WB 0h 7,PPM 116179,8.0,3.69
WB 0h 8,PPM 143195,8.3,1.50
WB 0h 9,PPM 143197,8.0,1.22
WB 0h 10,PPM 143198,9.0,4.95
WB 0h 11,PPM 208416,9.0,6.41
WB 0h 12,PPM 143199,9.0,3.09
WB 0h 13,PPM 208418,8.3,4.05
WB 0h 14,PPM 208422,9.0,2.59
WB 0h 15,PPM 116185,9.0,1.27
WB 0h 16,PPM 181913,9.0,3.05
WB 0h 17,PPM 181917,9.0,3.08
WB 0h 18,PPM 181919,9.0,2.00
WB 0h 19,PPM 143204,9.0,1.42
WB 0h 20,PPM 143204,9.0,7.82
WB 0h 21,PPM 116191,8.3,3.04
WB 0h 22,PPM 143205,8.0,3.60
WB 0h 23,PPM 181921,8.0,3.69
WB 0h 24,PPM 143206,8.3,3.41
WB 0h 25,PPM 143207,8.3,6.64
WB 0h 26,PPM 116192,7.0,4.11
WB 0h 27,PPM 143211,9.0,5.73
WB 0h 28,PPM 181922,8.0,12.25
WB 0h 30,PPM 143211,9.0,3.58
WB 0h 32,PPM 181928,7.0,3.27
WB 0h 33,PPM 208438,9.0,4.00
WB 0h 34,PPM 208436,9.0,4.67
WB 0h 35,PPM 116195,9.0,3.76
WB 0h 36,PPM 116194,9.0,2.16
WB 0h 37,PPM 208437,9.0,4.96
WB 0h 38,PPM 181931,9.0,4.15
WB 0h 39,PPM 116197,8.0,4.31
WB 0h 40,PPM 208440,9.0,4.04
WB 0h 41,PPM 181935,9.0,10.05
WB 0h 42,PPM 116199,9.0,5.40
WB 0h 43,PPM 116203,8.3,5.01
WB 0h 44,PPM 143220,9.0,2.79
WB 0h 45,PPM 143221,8.0,1.69
WB 0h 46,PPM 208443,6.3,3.74
WB 0h 47,PPM 181940,9.0,5.08
WB 0h 48,PPM 208446,8.0,3.89
WB 0h 49,PPM 181942,8.3,1.80
WB 0h 50,PPM 116207,9.0,9.85
WB 0h 51,PPM 143227,8.0,1.65
WB 0h 52,PPM 208451,9.0,6.98
WB 0h 54,PPM 181948,9.0,2.17
WB 0h 55,PPM 116209,8.3,4.33
WB 0h 56,PPM 116210,8.3,1.84
WB 0h 57,PPM 143232,8.0,4.26
WB 0h 58,PPM 116211,9.0,22.19
WB 0h 59,PPM 143233,9.0,3.98
WB 0h 60,PPM 116214,9.0,4.27
WB 0h 61,PPM 208460,9.0,9.96
WB 0h 62,PPM 174677,9.0,1.65
WB 0h 63,PPM 143236,8.3,3.46
WB 0h 64,PPM 181957,8.0,2.38
WB 0h 65,PPM 181958,8.0,4.55
WB 0h 66,PPM 116220,8.3,5.20
WB 0h 67,PPM 181964,8.3,14.04
WB 0h 68,PPM 143240,9.0,3.66
WB 0h 69,PPM 143241,7.0,3.89
WB 0h 70,PPM 208471,9.0,1.76
WB 0h 71,PPM 174680,9.0,1.54
WB 0h 72,PPM 208473,7.0,4.82
WB 0h 73,PPM 181971,9.0,1.89
WB 0h 74,PPM 181969,9.0,8.37
WB 0h 75,PPM 181970,9.0,2.22
WB 0h 76,PPM 181975,9.0,12.01
WB 0h 77,PPM 143250,8.0,2.64
WB 0h 78,PPM 116228,8.0,4.59
WB 0h 79,PPM 208485,8.3,4.93
WB 0h 80,PPM 208488,8.0,5.27
WB 0h 81,PPM 174681,8.0,4.83
WB 0h 82,PPM 181978,9.0,3.75
WB 0h 83,PPM 143258,9.0,3.29
WB 0h 84,PPM 116234,9.0,5.48
WB 0h 85,PPM 181981,8.3,4.17
WB 0h 86,PPM 181982,8.0,2.43
WB 0h 87,PPM 116236,8.0,7.38
WB 0h 88,PPM 143260,9.0,5.32
WB 0h 89,PPM 143261,9.0,0.57
WB 0h 90,PPM 143262,9.0,5.87
WB 0h 91,PPM 116240,9.0,3.34
WB 0h 92,PPM 116243,2.0,5.21
WB 0h 93,PPM 181987,8.0,0.54
WB 0h 94,PPM 143265,9.0,3.00
WB 0h 95,PPM 143266,9.0,2.13
WB 0h 96,PPM 181990,9.0,2.01
WB 0h 97,PPM 143275,9.0,2.60
