index1,index2,mag,dist
WB 0h 1,SAO 91735,9.0,4.40
WB 0h 2,SAO 128611,9.0,3.10
WB 0h 3,SAO 109037,9.0,0.79
WB 0h 4,SAO 91737,8.0,5.43
WB 0h 5,SAO 91738,8.3,11.84
WB 0h 6,SAO 128612,9.0,3.27
WB 0h 7,SAO 91741,8.0,3.69
WB 0h 8,SAO 128614,8.3,1.50
WB 0h 9,SAO 109039,8.0,1.22
WB 0h 10,SAO 109040,9.0,4.95
WB 0h 11,SAO 147109,9.0,6.41
WB 0h 12,SAO 109041,9.0,3.09
WB 0h 13,SAO 147110,8.3,4.05
WB 0h 14,SAO 147114,9.0,2.59
WB 0h 15,SAO 91746,9.0,1.27
WB 0h 16,SAO 128615,9.0,3.05
WB 0h 17,SAO 128616,9.0,3.08
WB 0h 18,SAO 128617,9.0,2.00
WB 0h 21,SAO 91749,8.3,3.04
WB 0h 23,SAO 128618,8.0,3.69
WB 0h 24,SAO 109043,8.3,3.41
WB 0h 26,SAO 91750,7.0,4.11
WB 0h 27,SAO 109045,9.0,5.73
WB 0h 28,SAO 128619,8.0,12.25
WB 0h 30,SAO 109045,9.0,3.58
WB 0h 32,SAO 128621,7.0,3.27
WB 0h 33,SAO 147123,9.0,4.00
WB 0h 34,SAO 147122,9.0,4.67
WB 0h 35,SAO 91753,9.0,3.76
WB 0h 36,SAO 91752,9.0,2.16
WB 0h 37,SAO 147124,9.0,4.96
WB 0h 38,SAO 128622,9.0,4.15
WB 0h 39,SAO 91755,8.0,4.31
WB 0h 40,SAO 147126,9.0,4.04
WB 0h 41,SAO 128623,9.0,10.05
WB 0h 42,SAO 109046,9.0,5.40
WB 0h 43,SAO 91759,8.3,5.01
WB 0h 44,SAO 109047,9.0,2.79
WB 0h 45,SAO 109048,8.0,1.69
WB 0h 46,SAO 147127,6.3,3.74
WB 0h 47,SAO 128624,9.0,5.08
WB 0h 48,SAO 147129,8.0,3.89
WB 0h 49,SAO 128626,8.3,1.80
WB 0h 50,SAO 91761,9.0,9.85
WB 0h 51,SAO 109052,8.0,1.65
WB 0h 52,SAO 147131,9.0,6.98
WB 0h 54,SAO 128627,9.0,2.17
WB 0h 55,SAO 91763,8.3,4.33
WB 0h 56,SAO 91764,8.3,1.84
WB 0h 57,SAO 109054,8.0,4.26
WB 0h 58,SAO 91765,9.0,22.19
WB 0h 59,SAO 109055,9.0,3.98
WB 0h 60,SAO 91766,9.0,4.27
WB 0h 61,SAO 147134,9.0,9.96
WB 0h 62,SAO 128630,9.0,1.65
WB 0h 63,SAO 109057,8.3,3.46
WB 0h 64,SAO 128631,8.0,2.38
WB 0h 65,SAO 128632,8.0,4.55
WB 0h 66,SAO 91768,8.3,5.20
WB 0h 67,SAO 128633,8.3,14.04
WB 0h 68,SAO 109058,9.0,3.66
WB 0h 69,SAO 109059,7.0,3.89
WB 0h 70,SAO 147140,9.0,1.76
WB 0h 71,SAO 128634,9.0,1.54
WB 0h 72,SAO 147142,7.0,4.82
WB 0h 73,SAO 128637,9.0,1.89
WB 0h 74,SAO 128635,9.0,8.37
WB 0h 75,SAO 128636,9.0,2.22
WB 0h 76,SAO 128638,9.0,12.01
WB 0h 77,SAO 109063,8.0,2.64
WB 0h 78,SAO 91772,8.0,4.59
WB 0h 79,SAO 147148,8.3,4.93
WB 0h 80,SAO 147149,8.0,5.27
WB 0h 81,SAO 128639,8.0,4.83
WB 0h 82,SAO 128640,9.0,3.75
