index1,index2,mag,dist
ZC 0h 672,CD -31°198,0.0,13.18
ZC 0h 673,CD -28°148,0.0,21.91
ZC 0h 690,CD -29°146,0.0,14.23
ZC 0h 693,CD -28°150,0.0,9.51
ZC 0h 1191,CD -31°315,0.0,27.50
ZC 0h 1201,CD -31°319,0.0,7.30
ZC 0h 1387,CD -25°388,0.0,10.45
ZC 0h 1397,CD -22°337,0.0,10.56
ZC 0h 1459,CD -50°283,0.0,3.91
ZC 1h 587,CD -26°484,0.0,27.42
ZC 1h 788,CD -32°618,0.0,7.91
ZC 5h 202,CD -61°1040,0.0,2.29
ZC 5h 534,CD -33°2251,0.0,3.36
ZC 5h 1088,CD -75°214,0.0,11.03
ZC 6h 213,CD -77°222,0.0,11.39
ZC 6h 333,CD -40°2306,0.0,14.00
ZC 6h 430,CD -49°2113,0.0,0.47
ZC 6h 1522,CD -26°3198,0.0,11.13
ZC 6h 2061,CD -32°3366,0.0,25.10
ZC 6h 2298,CD -25°3702,0.0,30.22
ZC 6h 2324,CD -64°237,0.0,4.36
ZC 6h 2418,CD -29°3599,0.0,14.27
ZC 7h 33,CD -42°2936,0.0,5.13
ZC 7h 2892,CD -37°3838,0.0,17.16
ZC 7h 3157,CD -37°3914,0.0,10.03
ZC 7h 3217,CD -37°3925,0.0,17.93
ZC 7h 3794,CD -37°4050,0.0,4.69
ZC 8h 473,CD -46°3850,0.0,1.61
ZC 8h 3254,CD -52°2516,0.0,15.04
ZC 8h 3404,CD -41°4476,0.0,8.04
ZC 8h 3434,CD -42°4605,0.0,6.79
ZC 8h 3454,CD -42°4611,0.0,1.10
ZC 8h 3507,CD -42°4620,0.0,6.36
ZC 8h 3512,CD -42°4621,0.0,6.58
ZC 8h 3513,CD -42°4621,0.0,2.54
ZC 8h 3526,CD -41°4504,0.0,71.10
ZC 8h 3530,CD -42°4624,0.0,12.03
ZC 8h 3552,CD -41°4510,0.0,22.80
ZC 8h 3620,CD -42°4658,0.0,5.86
ZC 8h 3664,CD -41°4541,0.0,5.56
ZC 9h 4291,CD -59°2673,0.0,41.41
ZC 9h 4293,CD -59°2676,0.0,36.93
ZC 9h 4351,CD -59°2707,0.0,8.56
ZC 9h 4429,CD -59°2745,0.0,7.77
ZC 9h 4528,CD -59°2808,0.0,23.84
ZC 9h 4554,CD -59°2829,0.0,4.23
ZC 10h 153,CD -59°2898,0.0,10.87
ZC 10h 393,CD -41°5656,0.0,4.30
ZC 10h 713,CD -41°5718,0.0,13.87
ZC 10h 2024,CD -57°3292,0.0,20.79
ZC 10h 2068,CD -57°3306,0.0,26.41
ZC 10h 2169,CD -57°3328,0.0,10.48
ZC 10h 2265,CD -57°3350,0.0,37.11
ZC 10h 2596,CD -59°3208,0.0,9.96
ZC 10h 2604,CD -59°3211,0.0,6.95
ZC 10h 2707,CD -59°3227,0.0,9.51
ZC 10h 2717,CD -58°3501,0.0,8.79
