index1,index2,mag,dist
ZC 0h 1,CPD -48°1,0.0,2.92
ZC 0h 3,CPD -53°2,0.0,6.10
ZC 0h 4,CPD -33°1,0.0,6.82
ZC 0h 5,CPD -48°2,0.0,2.56
ZC 0h 16,CPD -44°3,0.0,0.47
ZC 0h 22,CPD -23°3,0.0,3.63
ZC 0h 24,CPD -28°2,0.0,12.13
ZC 0h 37,CPD -45°4,0.0,2.30
ZC 0h 39,CPD -56°13,0.0,3.94
ZC 0h 40,CPD -47°4,0.0,1.36
ZC 0h 41,CPD -36°3,0.0,7.13
ZC 0h 42,CPD -67°1,0.0,1.74
ZC 0h 45,CPD -51°8,0.0,0.21
ZC 0h 51,CPD -33°2,0.0,8.05
ZC 0h 59,CPD -37°5,0.0,7.61
ZC 0h 60,CPD -47°6,0.0,9.09
ZC 0h 69,CPD -35°9,0.0,4.58
ZC 0h 72,CPD -35°10,0.0,4.28
ZC 0h 76,CPD -50°12,0.0,3.74
ZC 0h 83,CPD -33°6,0.0,4.33
ZC 0h 88,CPD -25°14,0.0,8.01
ZC 0h 99,CPD -34°10,0.0,6.40
ZC 0h 102,CPD -50°15,0.0,8.83
ZC 0h 106,CPD -33°10,0.0,4.35
ZC 0h 122,CPD -39°5,0.0,9.69
ZC 0h 123,CPD -22°12,0.0,8.48
ZC 0h 127,CPD -59°6,0.0,5.26
ZC 0h 129,CPD -32°18,0.0,0.70
ZC 0h 131,CPD -24°8,0.0,4.93
ZC 0h 145,CPD -59°8,0.0,8.31
ZC 0h 154,CPD -54°36,0.0,4.37
ZC 0h 158,CPD -55°24,0.0,0.77
ZC 0h 172,CPD -62°14,0.0,10.94
ZC 0h 173,CPD -32°25,0.0,5.61
ZC 0h 203,CPD -49°25,0.0,5.43
ZC 0h 208,CPD -23°12,0.0,5.70
ZC 0h 214,CPD -28°12,0.0,6.95
ZC 0h 226,CPD -50°26,0.0,2.97
ZC 0h 234,CPD -36°23,0.0,5.91
ZC 0h 246,CPD -30°28,0.0,4.52
ZC 0h 247,CPD -69°4,0.0,8.46
ZC 0h 254,CPD -36°24,0.0,5.00
ZC 0h 255,CPD -46°19,0.0,8.85
ZC 0h 257,CPD -50°29,0.0,9.74
ZC 0h 261,CPD -43°16,0.0,5.82
ZC 0h 264,CPD -59°19,0.0,13.32
ZC 0h 273,CPD -44°23,0.0,3.75
ZC 0h 275,CPD -37°14,0.0,7.42
ZC 0h 282,CPD -44°24,0.0,4.40
ZC 0h 288,CPD -47°17,0.0,1.74
ZC 0h 289,CPD -70°7,0.0,2.47
ZC 0h 295,CPD -65°7,0.0,4.59
ZC 0h 296,CPD -44°27,0.0,8.99
ZC 0h 298,CPD -61°10,0.0,4.02
ZC 0h 299,CPD -45°19,0.0,5.03
ZC 0h 300,CPD -70°8,0.0,5.31
ZC 0h 303,CPD -49°32,0.0,5.46
ZC 0h 325,CPD -65°9,0.0,1.67
ZC 0h 360,CPD -25°26,0.0,3.70
ZC 0h 361,CPD -61°13,0.0,2.00
ZC 0h 363,CPD -32°40,0.0,4.94
ZC 0h 367,CPD -24°21,0.0,6.80
ZC 0h 370,CPD -52°27,0.0,5.19
ZC 0h 371,CPD -31°38,0.0,6.92
ZC 0h 377,CPD -26°23,0.0,3.39
ZC 0h 389,CPD -71°6,0.0,4.70
ZC 0h 391,CPD -65°16,0.0,0.93
ZC 0h 393,CPD -59°26,0.0,11.55
ZC 0h 394,CPD -39°12,0.0,11.70
ZC 0h 395,CPD -48°30,0.0,6.73
ZC 0h 396,CPD -48°31,0.0,5.17
ZC 0h 412,CPD -66°22,0.0,5.82
ZC 0h 416,CPD -39°14,0.0,7.88
ZC 0h 422,CPD -24°26,0.0,6.67
ZC 0h 424,CPD -38°23,0.0,7.41
ZC 0h 430,CPD -61°19,0.0,1.40
ZC 0h 435,CPD -32°41,0.0,7.99
ZC 0h 436,CPD -68°9,0.0,3.54
ZC 0h 438,CPD -46°30,0.0,3.88
ZC 0h 442,CPD -40°26,0.0,2.72
ZC 0h 452,CPD -49°46,0.0,10.69
ZC 0h 454,CPD -33°39,0.0,0.77
ZC 0h 459,CPD -65°20,0.0,3.70
ZC 0h 460,CPD -33°40,0.0,2.75
ZC 0h 481,CPD -36°34,0.0,6.29
ZC 0h 504,CPD -62°31,0.0,6.20
ZC 0h 505,CPD -35°44,0.0,5.42
ZC 0h 515,CPD -65°24,0.0,3.22
ZC 0h 522,CPD -65°26,0.0,4.02
ZC 0h 531,CPD -65°28,0.0,5.97
ZC 0h 543,CPD -59°37,0.0,4.54
ZC 0h 546,CPD -50°53,0.0,4.12
ZC 0h 549,CPD -59°38,0.0,15.23
ZC 0h 555,CPD -31°50,0.0,7.24
ZC 0h 557,CPD -59°39,0.0,11.19
ZC 0h 562,CPD -34°31,0.0,9.60
ZC 0h 573,CPD -59°41,0.0,2.84
ZC 0h 585,CPD -50°56,0.0,5.20
ZC 0h 597,CPD -66°29,0.0,3.22
ZC 0h 600,CPD -34°34,0.0,7.46
ZC 0h 605,CPD -66°31,0.0,2.06
ZC 0h 608,CPD -66°32,0.0,2.37
ZC 0h 625,CPD -38°35,0.0,8.05
ZC 0h 632,CPD -32°51,0.0,5.63
ZC 0h 636,CPD -51°69,0.0,2.91
ZC 0h 643,CPD -48°44,0.0,4.35
ZC 0h 650,CPD -47°48,0.0,8.46
ZC 0h 656,CPD -44°58,0.0,2.17
ZC 0h 657,CPD -43°50,0.0,1.20
ZC 0h 659,CPD -49°62,0.0,13.03
ZC 0h 665,CPD -25°46,0.0,1.77
ZC 0h 671,CPD -36°49,0.0,7.55
ZC 0h 672,CPD -31°62,0.0,8.43
ZC 0h 673,CPD -28°36,0.0,9.59
ZC 0h 685,CPD -77°25,0.0,1.55
ZC 0h 686,CPD -32°54,0.0,10.23
ZC 0h 691,CPD -52°56,0.0,2.22
ZC 0h 693,CPD -28°37,0.0,10.14
ZC 0h 692,CPD -63°51,0.0,10.84
ZC 0h 701,CPD -40°47,0.0,4.08
ZC 0h 704,CPD -34°43,0.0,4.21
ZC 0h 709,CPD -37°48,0.0,5.36
ZC 0h 714,CPD -47°56,0.0,4.98
