index1,index2,mag,dist
ZC 0h 672,HD 2862,0.0,1.59
ZC 0h 673,HD 2861,0.0,2.61
ZC 0h 690,HD 2949,0.0,3.73
ZC 0h 693,HD 2948,0.0,0.83
ZC 0h 1191,HD 4983,0.0,0.62
ZC 0h 1201,HD 5024,0.0,1.71
ZC 0h 1387,HD 5867,0.0,0.58
ZC 0h 1459,HD 6180,0.0,1.32
ZC 1h 587,HD 9052,0.0,1.78
ZC 1h 788,HD 9833,0.0,2.59
ZC 5h 202,HD 33599,0.0,1.36
ZC 5h 534,HD 34897,0.0,2.04
ZC 5h 1088,HD 36767,0.0,1.10
ZC 6h 213,HD 42139,0.0,3.78
ZC 6h 430,HD 43295,0.0,1.98
ZC 6h 2298,HD 50262,0.0,3.25
ZC 6h 2324,HD 50159,0.0,2.66
ZC 6h 2418,HD 50713,0.0,3.93
ZC 7h 33,HD 53810,0.0,5.44
ZC 7h 2892,HD 62876,0.0,2.18
ZC 7h 3157,HD 63488,0.0,1.77
ZC 7h 3794,HD 65109,0.0,1.15
ZC 8h 3254,HD 74678,0.0,4.23
ZC 8h 3404,HD 75008,0.0,1.74
ZC 8h 3434,HD 75083,0.0,1.42
ZC 8h 3454,HD 75127,0.0,2.72
ZC 8h 3530,HD 75274,0.0,0.19
ZC 8h 3552,HD 75324,0.0,2.82
ZC 8h 3620,HD 75477,0.0,1.00
ZC 8h 3664,HD 75570,0.0,2.43
ZC 9h 4293,HD 86936,0.0,3.40
ZC 9h 4351,HD 87071,0.0,1.84
ZC 9h 4429,HD 87222,0.0,1.36
ZC 9h 4554,HD 87479,0.0,1.67
ZC 10h 393,HD 88379,0.0,2.73
ZC 10h 713,HD 88977,0.0,3.85
ZC 10h 2024,HD 91492,0.0,1.56
ZC 10h 2068,HD 91572,0.0,2.25
ZC 10h 2169,HD 91824,0.0,2.25
ZC 10h 2596,HD 92617,0.0,1.75
ZC 10h 2604,HD 92644,0.0,1.74
ZC 10h 2717,HD 92876,0.0,1.53
ZC 10h 3032,HD 93500,0.0,1.76
ZC 10h 3082,HD 93621,0.0,1.50
ZC 10h 3113,HD 93683,0.0,2.75
ZC 10h 3165,HD 93794,0.0,0.84
ZC 10h 3166,HD 93795,0.0,1.75
ZC 10h 3242,HD 93911,0.0,1.61
ZC 10h 3256,HD 93958,0.0,1.88
ZC 10h 3290,HD 94054,0.0,2.13
ZC 10h 3366,HD 94186,0.0,2.16
ZC 10h 3431,HD 94332,0.0,2.75
ZC 10h 3447,HD 94370,0.0,0.74
ZC 10h 3538,HD 94533,0.0,1.74
ZC 10h 3619,HD 94714,0.0,10.25
ZC 10h 3658,HD 94789,0.0,2.14
ZC 10h 3715,HD 94898,0.0,3.61
ZC 10h 3761,HD 94976,0.0,2.59
ZC 10h 3815,HD 95085,0.0,1.80
ZC 10h 3826,HD 95108,0.0,1.99
ZC 10h 3924,HD 95306,0.0,2.82
ZC 10h 3929,HD 95321,0.0,1.88
ZC 10h 3946,HD 95357,0.0,1.83
