index1,index2,mag,dist
ZC 0h 672,SAO 192589,0.0,1.59
ZC 0h 673,SAO 166335,0.0,2.61
ZC 0h 690,SAO 166342,0.0,3.73
ZC 0h 693,SAO 166343,0.0,0.83
ZC 0h 1191,SAO 192781,0.0,0.62
ZC 0h 1201,SAO 192783,0.0,1.71
ZC 0h 1387,SAO 166727,0.0,0.58
ZC 0h 1397,SAO 166735,0.0,0.49
ZC 0h 1459,SAO 215336,0.0,1.32
ZC 1h 587,SAO 167075,0.0,1.78
ZC 5h 202,SAO 249196,0.0,1.36
ZC 5h 534,SAO 195748,0.0,2.04
ZC 5h 1088,SAO 256188,0.0,1.10
ZC 6h 333,SAO 217767,0.0,2.18
ZC 6h 430,SAO 217786,0.0,1.98
ZC 6h 1522,SAO 172053,0.0,2.10
ZC 6h 2061,SAO 197204,0.0,2.51
ZC 6h 2298,SAO 172444,0.0,3.25
ZC 6h 2324,SAO 249644,0.0,2.66
ZC 6h 2418,SAO 172509,0.0,3.93
ZC 7h 33,SAO 218430,0.0,5.44
ZC 7h 2892,SAO 198375,0.0,2.18
ZC 7h 3157,SAO 198446,0.0,1.77
ZC 7h 3794,SAO 198600,0.0,1.15
ZC 8h 473,SAO 219512,0.0,2.31
ZC 8h 3254,SAO 236217,0.0,4.23
ZC 8h 3404,SAO 220414,0.0,1.74
ZC 8h 3434,SAO 220430,0.0,1.42
ZC 8h 3454,SAO 220441,0.0,2.72
ZC 8h 3526,SAO 220465,0.0,1.46
ZC 8h 3530,SAO 220471,0.0,0.19
ZC 8h 3552,SAO 220484,0.0,2.82
ZC 8h 3620,SAO 220506,0.0,1.00
ZC 8h 3664,SAO 220519,0.0,2.43
ZC 9h 4429,SAO 250780,0.0,1.36
ZC 9h 4554,SAO 237650,0.0,1.67
ZC 10h 393,SAO 221830,0.0,2.73
ZC 10h 713,SAO 221900,0.0,3.85
ZC 10h 2024,SAO 238162,0.0,1.56
ZC 10h 2068,SAO 238179,0.0,2.25
ZC 10h 2169,SAO 238207,0.0,2.25
ZC 10h 2596,SAO 238329,0.0,1.75
ZC 10h 2717,SAO 238368,0.0,1.53
ZC 10h 3032,SAO 238459,0.0,1.76
ZC 10h 3082,SAO 251122,0.0,1.50
ZC 10h 3113,SAO 251125,0.0,2.75
ZC 10h 3165,SAO 238498,0.0,0.84
ZC 10h 3166,SAO 238497,0.0,1.75
ZC 10h 3256,SAO 251142,0.0,1.88
ZC 10h 3290,SAO 238520,0.0,2.13
ZC 10h 3431,SAO 238548,0.0,2.75
ZC 10h 3447,SAO 238555,0.0,0.74
ZC 10h 3538,SAO 238579,0.0,1.74
ZC 10h 3619,SAO 238594,0.0,10.25
ZC 10h 3715,SAO 238611,0.0,3.61
ZC 10h 3761,SAO 238619,0.0,2.59
ZC 10h 3815,SAO 238633,0.0,1.80
ZC 10h 3929,SAO 238659,0.0,1.88
ZC 10h 3946,SAO 238663,0.0,1.83
ZC 10h 3960,SAO 238669,0.0,1.30
ZC 10h 3971,SAO 238670,0.0,1.91
ZC 10h 3983,SAO 238677,0.0,2.32
ZC 10h 4001,SAO 238680,0.0,1.90
ZC 10h 4079,SAO 238700,0.0,2.92
ZC 10h 4134,SAO 238707,0.0,3.20
ZC 10h 4310,SAO 238740,0.0,2.96
ZC 10h 4356,SAO 238750,0.0,1.21
ZC 11h 2,SAO 238756,0.0,3.05
ZC 11h 116,SAO 238785,0.0,4.20
ZC 11h 122,SAO 238788,0.0,4.07
ZC 11h 128,SAO 238790,0.0,2.85
ZC 11h 133,SAO 238791,0.0,0.04
ZC 11h 181,SAO 238800,0.0,3.39
ZC 11h 185,SAO 238801,0.0,2.54
ZC 11h 231,SAO 238812,0.0,1.99
ZC 11h 285,SAO 238821,0.0,2.15
ZC 11h 318,SAO 238828,0.0,1.19
ZC 11h 353,SAO 238835,0.0,1.61
ZC 11h 365,SAO 238837,0.0,2.70
ZC 12h 2753,SAO 252071,0.0,0.68
ZC 12h 2846,SAO 252091,0.0,2.09
ZC 13h 559,SAO 240707,0.0,2.16
ZC 13h 1225,SAO 204486,0.0,4.41
ZC 13h 1246,SAO 204493,0.0,2.60
ZC 13h 1554,SAO 240949,0.0,2.79
ZC 13h 1586,SAO 240953,0.0,2.32
ZC 13h 2013,SAO 204724,0.0,3.65
ZC 13h 2497,SAO 241202,0.0,2.74
ZC 13h 3032,SAO 241327,0.0,1.13
ZC 13h 3055,SAO 224569,0.0,3.79
ZC 13h 3694,SAO 252626,0.0,2.15
ZC 14h 5,SAO 257120,0.0,3.89
ZC 14h 124,SAO 205236,0.0,3.31
ZC 14h 324,SAO 252659,0.0,1.78
ZC 14h 376,SAO 252666,0.0,1.56
ZC 14h 594,SAO 241597,0.0,2.57
ZC 14h 2250,SAO 205862,0.0,1.49
ZC 14h 3040,SAO 252971,0.0,2.89
ZC 14h 3205,SAO 225339,0.0,2.06
ZC 14h 3455,SAO 225393,0.0,1.20
ZC 14h 3479,SAO 225400,0.0,1.80
ZC 14h 3645,SAO 206276,0.0,2.96
ZC 15h 121,SAO 206343,0.0,1.36
ZC 15h 2488,SAO 206911,0.0,1.15
ZC 15h 2512,SAO 206916,0.0,1.47
ZC 15h 2540,SAO 206922,0.0,3.11
ZC 15h 2897,SAO 207006,0.0,1.79
ZC 15h 3001,SAO 226299,0.0,3.27
ZC 15h 3096,SAO 253339,0.0,1.53
