name,x,y,z
GC 891,0.28260425,0.06524823,-0.95701489
GC 2302,0.84062286,0.53813493,-0.06135146
GC 6599,0.10838083,0.94519570,-0.30799136
GC 7015,0.03612507,0.96554877,-0.25770246
GC 8848,-0.24349130,0.95944236,-0.14206460
GC 8958,-0.26040284,0.95695077,-0.12820133
GC 9030,-0.27051055,0.94970282,-0.15776120
GC 9092,-0.28268167,0.95485788,-0.09130995
GC 9100,-0.28364723,0.95459621,-0.09105118
GC 9774,-0.37199138,0.89526633,-0.24519505
GC 9781,-0.37226081,0.89506595,-0.24551747
GC 10893,-0.52265966,0.84718800,-0.09539067
GC 10914,-0.52469183,0.84611076,-0.09378203
GC 11156,-0.22057624,0.32926283,-0.91811334
GC 16399,-0.49987165,0.01279059,-0.86600504
GC 17405,-0.50700373,-0.08967446,-0.85726641
GC 17700,-0.90375948,-0.21631877,-0.36935753
GC 21341,-0.46172154,-0.64666592,-0.60715436
GC 21531,-0.52908474,-0.80334203,-0.27333297
GC 23587,-0.03675210,-0.19600626,-0.97991368
GC 24949,0.04925032,-0.96977313,-0.23898636
GC 24954,0.04945488,-0.96976353,-0.23898306
GC 26372,0.27904569,-0.91375105,-0.29528379
GC 26379,0.28015150,-0.91317679,-0.29601231
GC 26790,0.34801677,-0.87986106,-0.32361835
GC 27631,0.49938915,-0.82871321,-0.25267546
GC 29507,0.09070392,-0.07216585,-0.99325973
GC 30659,0.43937595,-0.19954984,-0.87585880
GC 30706,0.87946638,-0.38953458,-0.27349898
