name,x,y,z
OA 563,0.92574226,0.22370881,-0.30488626
OA 2340,0.59092555,0.75033269,-0.29632390
OA 3801,0.20821962,0.93854462,-0.27527912
OA 5190,-0.10376766,0.95732033,-0.26975927
OA 6537,-0.29277467,0.90201129,-0.31726742
OA 6591,-0.30291569,0.90931314,-0.28529229
OA 6752,-0.32605933,0.90547817,-0.27165162
OA 7228,-0.38816323,0.87836379,-0.27893792
OA 8181,-0.48897331,0.79646002,-0.35574786
OA 8363,-0.52124543,0.79117553,-0.31991324
OA 8538,-0.54682535,0.77304292,-0.32153800
OA 8725,-0.57548499,0.75482552,-0.31473077
OA 8728,-0.57497217,0.75398015,-0.31768056
OA 11878,-0.96116491,0.00719942,-0.27588073
OA 13952,-0.72908377,-0.62284300,-0.28373131
OA 16202,-0.24896765,-0.83011204,-0.49892796
OA 16530,-0.21217133,-0.92689337,-0.30959974
OA 17854,0.02650551,-0.94605036,-0.32293370
OA 17857,0.02691795,-0.96265769,-0.26938001
OA 18183,0.07359160,-0.94633790,-0.31468849
OA 18199,0.07584761,-0.95544585,-0.28525490
OA 19295,0.28019822,-0.91855762,-0.27882048
OA 20840,0.61252258,-0.73337700,-0.29491399
OA 21032,0.65273896,-0.69061767,-0.31141466
