index1,index2,dist
G2 1,PPM 181831,0.98
G2 2,PPM 242491,1.30
G2 3,PPM 242496,1.90
G2 4,PPM 242504,3.39
G2 5,PPM 242509,0.82
G2 6,PPM 242514,2.17
G2 7,PPM 242520,0.87
G2 8,PPM 242528,2.57
G2 9,PPM 208387,1.94
G2 10,PPM 242535,1.67
G2 11,PPM 242539,0.57
G2 12,PPM 208398,1.27
G2 13,PPM 242552,1.39
G2 14,PPM 242560,1.88
G2 15,PPM 304618,3.53
G2 16,PPM 242564,1.27
G2 17,PPM 242566,2.06
G2 18,PPM 242567,2.76
G2 19,PPM 208428,1.45
G2 20,PPM 242578,1.17
G2 21,PPM 375917,1.31
G2 22,PPM 242592,1.44
G2 23,PPM 275790,1.66
G2 24,PPM 208476,0.87
G2 25,PPM 242601,0.28
G2 26,PPM 208480,1.00
G2 27,PPM 242619,1.41
G2 28,PPM 242623,3.19
G2 29,PPM 709784,1.47
G2 30,PPM 208521,1.57
G2 31,PPM 242642,1.41
G2 32,PPM 208536,2.47
G2 33,PPM 723503,0.65
G2 34,PPM 242678,1.96
G2 35,PPM 242679,2.14
G2 36,PPM 723506,4.46
G2 37,PPM 242694,1.31
G2 38,PPM 242704,1.29
G2 39,PPM 242711,0.58
G2 41,PPM 242725,1.41
G2 43,PPM 242732,2.12
G2 44,PPM 242737,1.72
G2 45,PPM 242749,4.18
G2 46,PPM 242770,3.55
G2 47,PPM 242771,1.11
G2 48,PPM 242774,1.72
G2 49,PPM 242778,1.39
G2 50,PPM 242795,3.72
G2 51,PPM 242806,1.52
G2 54,PPM 242821,2.09
G2 57,PPM 242830,1.20
G2 58,PPM 304876,4.04
G2 59,PPM 242858,2.41
G2 60,PPM 242857,2.25
G2 61,PPM 242862,0.89
G2 62,PPM 242875,1.77
G2 63,PPM 242877,2.75
G2 64,PPM 242879,0.54
G2 65,PPM 242885,2.29
G2 66,PPM 182329,1.06
G2 67,PPM 242894,1.16
G2 68,PPM 242897,1.71
G2 69,PPM 723570,8.19
G2 71,PPM 242909,0.90
G2 72,PPM 304969,1.34
G2 73,PPM 242924,0.40
G2 74,PPM 242927,2.48
G2 75,PPM 242935,2.35
G2 76,PPM 242940,2.13
G2 77,PPM 242942,0.24
G2 78,PPM 242948,2.22
G2 79,PPM 242951,1.70
G2 80,PPM 242955,2.14
G2 81,PPM 242961,1.44
G2 83,PPM 330327,1.90
G2 84,PPM 242975,1.80
G2 85,PPM 242977,1.30
G2 86,PPM 242978,0.82
G2 87,PPM 242985,1.53
G2 88,PPM 242992,2.05
G2 89,PPM 242993,1.52
G2 90,PPM 242995,1.16
G2 91,PPM 242999,0.49
G2 92,PPM 243006,0.96
G2 93,PPM 243008,0.96
G2 94,PPM 243009,1.00
G2 95,PPM 243024,1.25
G2 96,PPM 243033,15.42
G2 97,PPM 243038,1.22
G2 98,PPM 330376,0.74
G2 99,PPM 723582,4.81
G2 100,PPM 243051,3.04
G2 101,PPM 243059,1.11
G2 102,PPM 243067,2.32
G2 103,PPM 243070,2.90
G2 104,PPM 243085,0.36
G2 105,PPM 243091,1.85
G2 106,PPM 243093,0.83
G2 107,PPM 243110,9.94
G2 108,PPM 243109,2.02
G2 109,PPM 305142,1.95
G2 111,PPM 276292,1.26
G2 112,PPM 243154,0.30
G2 113,PPM 243159,2.05
G2 114,PPM 243160,1.22
G2 115,PPM 209214,3.53
G2 116,PPM 330455,0.27
G2 117,PPM 243176,0.81
G2 118,PPM 276315,2.13
G2 119,PPM 723604,2.19
G2 120,PPM 243183,0.86
G2 121,PPM 243187,1.93
G2 124,PPM 243219,2.68
G2 125,PPM 723610,5.53
G2 126,PPM 243244,2.84
G2 127,PPM 276380,0.57
G2 129,PPM 243252,1.43
G2 130,PPM 276394,1.41
G2 133,PPM 243277,3.02
G2 134,PPM 243279,1.33
G2 135,PPM 276407,3.08
G2 136,PPM 174798,1.80
G2 137,PPM 243290,1.53
G2 138,PPM 243294,2.69
G2 139,PPM 367064,3.37
G2 140,PPM 330550,1.34
G2 141,PPM 243313,6.46
G2 142,PPM 243321,2.16
G2 143,PPM 243319,0.72
G2 144,PPM 243324,0.55
G2 145,PPM 243332,1.69
G2 147,PPM 243346,1.14
G2 148,PPM 174810,1.46
G2 149,PPM 243358,2.60
G2 150,PPM 276472,1.30
G2 151,PPM 243373,2.91
G2 152,PPM 243376,3.30
G2 153,PPM 243377,1.79
G2 154,PPM 243381,2.04
G2 155,PPM 723627,1.83
G2 156,PPM 243383,2.18
G2 157,PPM 243386,1.37
G2 158,PPM 243389,1.84
G2 159,PPM 243394,1.43
G2 160,PPM 243400,1.07
G2 161,PPM 209500,2.37
G2 162,PPM 352090,1.29
G2 163,PPM 243412,1.89
G2 164,PPM 243418,3.42
G2 165,PPM 243424,2.42
G2 166,PPM 243437,0.77
G2 167,PPM 243439,2.88
G2 168,PPM 243445,2.92
G2 169,PPM 243446,1.01
G2 170,PPM 243452,4.86
G2 171,PPM 243467,1.28
G2 172,PPM 243471,1.22
G2 173,PPM 243490,3.12
G2 174,PPM 243500,1.83
G2 175,PPM 243501,2.75
G2 176,PPM 276607,0.42
G2 177,PPM 330699,0.83
G2 179,PPM 243524,2.23
G2 180,PPM 209677,1.81
G2 181,PPM 243541,2.40
G2 182,PPM 243544,2.52
G2 183,PPM 243550,1.48
G2 184,PPM 243570,0.87
G2 185,PPM 243581,3.59
G2 186,PPM 305559,1.38
G2 187,PPM 243585,1.21
G2 188,PPM 243589,1.00
G2 189,PPM 243592,2.31
G2 190,PPM 243596,0.98
G2 191,PPM 276709,2.17
G2 192,PPM 243612,2.28
G2 193,PPM 243619,2.05
G2 194,PPM 243624,0.89
G2 195,PPM 243625,1.87
G2 196,PPM 352220,1.37
G2 197,PPM 243629,0.57
G2 198,PPM 243632,0.90
G2 199,PPM 243644,0.77
G2 200,PPM 243647,2.07
G2 201,PPM 243652,3.78
G2 202,PPM 305615,1.14
G2 203,PPM 243664,4.06
G2 204,PPM 243669,3.17
G2 205,PPM 243671,2.82
G2 206,PPM 243672,2.21
G2 207,PPM 243673,3.74
G2 209,PPM 243687,1.96
G2 210,PPM 243695,1.77
G2 211,PPM 243702,3.94
G2 212,PPM 243706,4.11
G2 213,PPM 276800,2.41
G2 214,PPM 243707,1.95
G2 215,PPM 276804,0.51
G2 216,PPM 243719,1.33
G2 217,PPM 243723,1.25
G2 218,PPM 243724,1.94
G2 219,PPM 243730,1.80
G2 220,PPM 209919,2.30
G2 221,PPM 243737,1.46
G2 222,PPM 243740,1.10
G2 223,PPM 243745,1.24
G2 224,PPM 243750,1.02
G2 225,PPM 243758,2.67
G2 226,PPM 243765,2.35
G2 227,PPM 305721,4.93
G2 228,PPM 243772,0.43
G2 229,PPM 243773,2.38
G2 230,PPM 243776,1.31
G2 231,PPM 243784,1.53
G2 232,PPM 243785,1.58
G2 234,PPM 243787,2.34
G2 235,PPM 243792,2.84
G2 236,PPM 243791,3.94
G2 237,PPM 243797,1.26
G2 238,PPM 243803,3.65
G2 239,PPM 243805,2.79
G2 240,PPM 330931,3.81
G2 241,PPM 243826,0.18
G2 242,PPM 243829,0.80
G2 243,PPM 243842,1.73
G2 244,PPM 210041,1.13
G2 245,PPM 243849,2.88
G2 246,PPM 243861,3.41
G2 247,PPM 243862,1.80
G2 248,PPM 243863,1.95
G2 249,PPM 330967,0.77
G2 250,PPM 243874,1.40
G2 251,PPM 243875,1.85
G2 252,PPM 243878,1.21
G2 253,PPM 243882,1.71
G2 254,PPM 243912,5.57
G2 255,PPM 243916,3.36
G2 256,PPM 276984,0.70
G2 257,PPM 183392,3.11
G2 258,PPM 243924,1.49
G2 259,PPM 243933,0.46
G2 260,PPM 243935,2.62
G2 261,PPM 243946,2.62
G2 262,PPM 305842,0.44
G2 263,PPM 243948,3.55
G2 264,PPM 243954,2.66
G2 265,PPM 352396,0.32
G2 266,PPM 723670,1.88
G2 267,PPM 243963,4.75
G2 268,PPM 243966,2.47
G2 269,PPM 243976,3.75
G2 270,PPM 243977,2.10
G2 271,PPM 243981,2.57
G2 272,PPM 243985,1.62
G2 273,PPM 243988,1.23
G2 274,PPM 243991,1.33
G2 275,PPM 243992,6.18
G2 276,PPM 305902,2.81
G2 277,PPM 244010,2.26
G2 278,PPM 244013,3.38
G2 279,PPM 244014,0.52
G2 280,PPM 244016,2.17
G2 281,PPM 305921,1.59
G2 282,PPM 244021,3.48
G2 283,PPM 244028,3.07
G2 284,PPM 244035,1.04
G2 285,PPM 305952,3.54
G2 286,PPM 244051,3.14
G2 287,PPM 244064,1.01
G2 288,PPM 244070,1.12
G2 289,PPM 244069,1.98
G2 290,PPM 305974,1.38
G2 291,PPM 244072,3.60
G2 292,PPM 244074,2.83
G2 293,PPM 244088,1.34
G2 294,PPM 244103,1.22
G2 295,PPM 244105,1.66
G2 296,PPM 244110,4.60
G2 297,PPM 244115,0.32
G2 298,PPM 244119,3.85
G2 299,PPM 244122,4.04
G2 300,PPM 244132,1.02
G2 301,PPM 244135,2.57
G2 302,PPM 244139,1.12
G2 303,PPM 244140,2.18
G2 304,PPM 244154,2.85
G2 305,PPM 367320,1.72
G2 306,PPM 244164,2.70
G2 307,PPM 244168,3.55
G2 308,PPM 244173,2.04
G2 310,PPM 244175,4.07
G2 311,PPM 244180,2.62
G2 312,PPM 244190,3.14
G2 313,PPM 244199,0.96
G2 314,PPM 244203,2.89
G2 315,PPM 244206,3.64
G2 316,PPM 244211,3.05
G2 317,PPM 244215,1.04
G2 319,PPM 244219,1.30
G2 320,PPM 306144,0.95
G2 321,PPM 244227,2.96
G2 322,PPM 277271,0.97
G2 323,PPM 244228,3.47
G2 324,PPM 244233,1.91
G2 325,PPM 244232,4.62
G2 326,PPM 244238,2.35
G2 327,PPM 306160,0.86
G2 328,PPM 244240,0.84
G2 330,PPM 244247,2.39
G2 331,PPM 244257,4.99
G2 332,PPM 244276,1.87
G2 333,PPM 244279,2.53
G2 334,PPM 244280,1.38
G2 335,PPM 367365,2.14
G2 336,PPM 244288,5.10
G2 338,PPM 244293,0.59
G2 339,PPM 331316,1.14
G2 340,PPM 723715,4.21
G2 341,PPM 244311,1.14
G2 342,PPM 376068,2.66
G2 343,PPM 244314,2.56
G2 344,PPM 244317,0.88
G2 345,PPM 244323,2.17
G2 346,PPM 306219,1.57
G2 347,PPM 244328,3.59
G2 348,PPM 244329,1.41
G2 349,PPM 244336,2.38
G2 350,PPM 306225,0.94
G2 351,PPM 244350,1.81
G2 352,PPM 244355,1.11
G2 353,PPM 244356,2.94
G2 354,PPM 244359,1.17
G2 355,PPM 244360,1.88
G2 356,PPM 244364,0.78
G2 357,PPM 244371,4.94
G2 358,PPM 244376,1.92
G2 359,PPM 244380,3.67
G2 361,PPM 244387,1.80
G2 362,PPM 244400,7.58
G2 363,PPM 306278,0.54
G2 364,PPM 244409,1.37
G2 365,PPM 244416,1.28
G2 366,PPM 306298,0.78
G2 367,PPM 244420,2.95
G2 368,PPM 244435,1.57
G2 369,PPM 244446,2.62
G2 370,PPM 244447,1.97
G2 371,PPM 244453,1.29
G2 372,PPM 244455,1.81
G2 373,PPM 331456,11.18
G2 374,PPM 244464,3.50
G2 375,PPM 244467,2.86
G2 376,PPM 352648,1.99
G2 377,PPM 244474,3.23
G2 378,PPM 244479,1.38
G2 379,PPM 306327,2.35
G2 380,PPM 244484,1.95
G2 381,PPM 306333,0.52
G2 382,PPM 244486,2.87
G2 383,PPM 244499,1.71
G2 384,PPM 244501,1.56
G2 385,PPM 244509,1.76
G2 386,PPM 244504,4.78
G2 387,PPM 244514,2.57
G2 388,PPM 244533,2.43
G2 389,PPM 352685,4.10
G2 390,PPM 244541,2.39
G2 391,PPM 244546,2.46
G2 392,PPM 331519,0.73
G2 393,PPM 244558,2.23
G2 394,PPM 244569,4.21
G2 395,PPM 244570,2.05
G2 396,PPM 244573,1.57
G2 397,PPM 244578,0.14
G2 398,PPM 244593,1.70
G2 399,PPM 244592,2.89
G2 400,PPM 244594,2.49
G2 401,PPM 244597,0.96
G2 402,PPM 331549,3.86
G2 404,PPM 244610,1.85
G2 405,PPM 244615,2.48
G2 406,PPM 244617,0.61
G2 407,PPM 244637,1.80
G2 408,PPM 244638,0.97
G2 409,PPM 244671,1.31
G2 410,PPM 244681,1.55
G2 411,PPM 244686,3.02
G2 412,PPM 331628,1.42
G2 413,PPM 244695,2.05
G2 414,PPM 244699,3.31
G2 415,PPM 277671,1.66
G2 416,PPM 244710,1.08
G2 417,PPM 244712,3.88
G2 418,PPM 244738,2.60
G2 419,PPM 306512,0.64
G2 420,PPM 244752,2.67
G2 421,PPM 244759,2.87
G2 422,PPM 244769,3.85
G2 423,PPM 277734,0.66
G2 424,PPM 244790,0.96
G2 425,PPM 723794,4.46
G2 426,PPM 244797,4.12
G2 427,PPM 244802,2.11
G2 428,PPM 244811,3.41
G2 429,PPM 306583,1.07
G2 430,PPM 244821,3.49
G2 431,PPM 244833,2.10
G2 432,PPM 244835,3.84
G2 433,PPM 244840,5.45
G2 434,PPM 723813,5.33
G2 435,PPM 244844,1.55
G2 436,PPM 244845,2.56
G2 437,PPM 244846,0.97
G2 438,PPM 331742,1.03
G2 439,PPM 244850,1.95
G2 440,PPM 244854,3.29
G2 441,PPM 244862,2.15
G2 442,PPM 244872,1.04
G2 443,PPM 184482,2.57
G2 444,PPM 244877,0.84
G2 445,PPM 244880,1.58
G2 446,PPM 244883,1.09
G2 447,PPM 244885,4.85
G2 448,PPM 244887,2.30
G2 449,PPM 244888,1.94
G2 450,PPM 244889,3.12
G2 451,PPM 244898,1.27
G2 452,PPM 244899,1.23
G2 453,PPM 244906,3.73
G2 454,PPM 244910,2.86
G2 455,PPM 244911,0.49
G2 456,PPM 331776,0.31
G2 457,PPM 244928,1.31
G2 458,PPM 244931,1.16
G2 459,PPM 244927,2.90
G2 460,PPM 244929,4.04
G2 461,PPM 244936,2.63
G2 462,PPM 244937,2.56
G2 464,PPM 244946,1.94
G2 465,PPM 244949,2.62
G2 466,PPM 244953,1.37
G2 467,PPM 244956,4.77
G2 468,PPM 352886,0.19
G2 469,PPM 244977,1.13
G2 470,PPM 244980,3.91
G2 471,PPM 244982,3.13
G2 472,PPM 244985,2.73
G2 473,PPM 244988,1.85
G2 474,PPM 244997,2.72
G2 475,PPM 245003,3.14
G2 476,PPM 245009,1.00
G2 477,PPM 245008,2.84
G2 478,PPM 245012,2.07
G2 479,PPM 352913,2.37
G2 480,PPM 245016,3.75
G2 481,PPM 367632,0.97
G2 482,PPM 306757,0.76
G2 483,PPM 245041,1.91
G2 485,PPM 245052,1.93
G2 486,PPM 245053,2.24
G2 487,PPM 723852,2.21
G2 488,PPM 245060,2.47
G2 489,PPM 245063,5.90
G2 490,PPM 245064,2.47
G2 491,PPM 245065,3.54
G2 492,PPM 245068,1.15
G2 494,PPM 245080,1.65
G2 495,PPM 245083,4.47
G2 496,PPM 245098,1.84
G2 497,PPM 245099,1.79
G2 498,PPM 245107,2.35
G2 499,PPM 245110,1.60
G2 500,PPM 245111,1.72
