index1,index2,dist
GC 1,CD -48°1,9.64
GC 2,CD -53°1,15.47
GC 3,CD -33°3,25.23
GC 4,CD -48°2,2.40
GC 5,CD -36°4,14.39
GC 6,CD -25°4,52.73
GC 7,CD -23°4,6.22
GC 8,CD -39°4,9.27
GC 9,CD -44°5,6.38
GC 10,CD -38°7,35.05
GC 11,CD -23°7,28.20
GC 12,CD -28°6,23.53
GC 13,CD -42°3,2.30
GC 15,CD -26°8,1.25
GC 16,CD -77°1,10.61
GC 17,CD -57°4,26.50
GC 18,CD -24°8,20.33
GC 19,CD -56°7,5.02
GC 20,CD -45°7,2.30
GC 21,CD -63°1,21.57
GC 23,CD -56°11,8.17
GC 24,CD -47°13,6.44
GC 25,CD -36°12,2.58
GC 26,CD -67°1,13.91
GC 27,CD -23°13,7.71
GC 28,CD -66°2,24.93
GC 29,CD -51°12,0.21
GC 30,CD -34°17,10.27
GC 32,CD -78°2,8.58
GC 33,CD -38°11,16.40
GC 35,CD -79°1,12.22
GC 36,CD -33°12,11.77
GC 37,CD -24°14,8.69
GC 38,CD -86°1,0.56
GC 39,CD -26°22,27.17
GC 42,CD -35°20,3.79
GC 43,CD -37°16,19.61
GC 44,CD -47°16,3.28
GC 45,CD -74°2,3.20
GC 46,CD -22°13,13.71
GC 47,CD -33°17,5.11
GC 48,CD -40°15,3.55
GC 49,CD -35°22,26.58
GC 50,CD -54°20,7.37
GC 52,CD -35°24,26.87
GC 53,CD -50°18,3.15
GC 54,CD -50°19,5.35
GC 55,CD -50°20,5.42
GC 56,CD -28°16,6.71
GC 57,CD -46°18,5.03
GC 58,CD -33°21,12.48
GC 59,CD -25°28,16.42
GC 60,CD -56°16,22.65
GC 61,CD -38°23,24.10
GC 62,CD -33°24,7.20
GC 63,CD -34°29,20.06
GC 65,CD -50°22,2.28
GC 66,CD -26°35,15.74
GC 67,CD -62°4,26.20
GC 68,CD -45°17,13.21
GC 69,CD -33°26,5.95
GC 72,CD -79°4,8.98
GC 73,CD -78°4,15.62
GC 74,CD -57°17,11.83
GC 75,CD -22°24,21.50
GC 76,CD -31°36,23.11
GC 78,CD -82°4,2.75
GC 79,CD -39°27,28.65
GC 80,CD -22°25,11.69
GC 81,CD -55°15,12.71
GC 82,CD -35°36,5.00
GC 83,CD -73°3,20.34
GC 84,CD -59°12,7.41
GC 85,CD -32°32,11.85
GC 86,CD -24°27,28.66
GC 89,CD -41°28,5.64
GC 91,CD -28°26,23.30
GC 92,CD -24°35,26.32
GC 93,CD -59°14,6.40
GC 94,CD -56°24,30.51
GC 95,CD -35°42,24.93
GC 96,CD -23°37,6.22
GC 97,CD -54°35,15.42
GC 98,CD -42°32,1.40
GC 100,CD -55°20,13.83
GC 102,CD -59°16,27.44
GC 103,CD -55°22,24.23
GC 104,CD -80°4,13.73
GC 105,CD -76°2,8.91
GC 107,CD -27°37,9.06
GC 108,CD -43°30,7.38
GC 109,CD -62°6,28.47
GC 110,CD -32°49,27.31
GC 111,CD -22°33,17.66
GC 112,CD -30°42,8.37
GC 113,CD -58°21,14.42
GC 114,CD -23°46,14.60
GC 116,CD -43°32,5.22
GC 117,CD -27°38,39.27
GC 118,CD -38°40,12.01
GC 119,CD -24°51,12.10
GC 120,CD -30°48,18.91
GC 121,CD -60°18,19.34
GC 122,CD -26°56,4.56
GC 123,CD -23°52,6.86
