index1,index2,dist
GC 1,CPD -48°1,2.92
GC 2,CPD -53°2,6.10
GC 3,CPD -33°1,6.82
GC 4,CPD -48°2,2.56
GC 5,CPD -36°1,2.31
GC 6,CPD -25°4,4.67
GC 7,CPD -23°1,6.22
GC 8,CPD -39°1,3.48
GC 9,CPD -44°3,0.47
GC 10,CPD -38°3,5.26
GC 11,CPD -23°3,3.63
GC 12,CPD -28°2,12.13
GC 13,CPD -42°3,7.20
GC 15,CPD -26°3,13.34
GC 16,CPD -77°1,7.03
GC 17,CPD -57°6,2.17
GC 18,CPD -24°3,3.86
GC 19,CPD -56°10,7.60
GC 20,CPD -45°4,2.30
GC 21,CPD -63°5,6.42
GC 23,CPD -56°13,3.94
GC 24,CPD -47°4,1.36
GC 25,CPD -36°3,7.13
GC 26,CPD -67°1,1.74
GC 27,CPD -23°4,7.45
GC 28,CPD -66°2,5.12
GC 29,CPD -51°8,0.21
GC 30,CPD -34°5,2.37
GC 32,CPD -78°2,1.68
GC 33,CPD -38°4,8.19
GC 35,CPD -79°1,4.82
GC 36,CPD -33°2,8.05
GC 37,CPD -24°4,6.05
GC 38,CPD -86°2,0.56
GC 39,CPD -26°5,3.76
GC 42,CPD -35°8,2.45
GC 43,CPD -37°5,7.61
GC 44,CPD -47°6,9.09
GC 45,CPD -74°7,2.55
GC 46,CPD -22°6,3.56
GC 47,CPD -33°5,7.53
GC 48,CPD -40°5,3.79
GC 49,CPD -35°9,4.58
GC 50,CPD -54°19,9.70
GC 51,CPD -37°6,5.83
GC 52,CPD -35°10,4.28
GC 53,CPD -50°11,4.14
GC 54,CPD -50°12,3.74
GC 55,CPD -50°13,5.59
GC 56,CPD -28°4,14.82
GC 57,CPD -46°7,7.71
GC 58,CPD -33°6,4.33
GC 59,CPD -25°14,8.01
GC 60,CPD -56°20,1.41
GC 61,CPD -38°8,2.13
GC 62,CPD -33°8,7.03
GC 63,CPD -34°10,6.40
GC 65,CPD -50°15,8.83
GC 66,CPD -26°9,3.85
GC 67,CPD -62°9,4.94
GC 68,CPD -45°9,5.81
GC 69,CPD -33°10,4.35
GC 72,CPD -79°4,4.27
GC 73,CPD -78°4,3.22
GC 74,CPD -57°24,1.63
GC 75,CPD -22°11,2.73
GC 76,CPD -31°16,8.14
GC 78,CPD -82°4,2.75
GC 79,CPD -39°5,9.69
GC 80,CPD -22°12,8.48
GC 81,CPD -55°16,2.34
GC 82,CPD -35°12,6.53
GC 83,CPD -73°4,9.84
GC 84,CPD -59°6,5.26
GC 85,CPD -32°18,0.70
GC 86,CPD -24°8,4.93
GC 89,CPD -41°13,10.08
GC 90,CPD -19°11,14.83
GC 91,CPD -28°6,6.89
GC 92,CPD -24°10,1.61
GC 93,CPD -59°8,8.31
GC 94,CPD -56°29,5.55
GC 95,CPD -35°16,4.16
GC 96,CPD -23°7,0.17
GC 97,CPD -54°36,4.37
GC 98,CPD -42°10,1.78
GC 100,CPD -55°22,3.21
GC 102,CPD -59°10,3.47
GC 103,CPD -55°24,0.77
GC 104,CPD -80°3,4.77
GC 105,CPD -76°11,1.80
GC 107,CPD -27°8,7.30
GC 108,CPD -43°9,4.78
GC 109,CPD -62°14,10.94
GC 110,CPD -32°25,5.61
GC 111,CPD -22°15,5.51
GC 112,CPD -30°18,8.12
GC 113,CPD -58°10,5.97
GC 114,CPD -23°8,8.51
GC 116,CPD -43°10,4.12
GC 117,CPD -27°9,7.32
GC 118,CPD -38°11,9.32
GC 119,CPD -24°15,6.12
GC 120,CPD -30°20,6.33
GC 121,CPD -60°12,8.03
GC 122,CPD -26°14,10.58
GC 123,CPD -23°11,5.71
GC 124,CPD -26°15,6.28
GC 125,CPD -49°24,2.29
GC 126,CPD -49°25,5.43
GC 127,CPD -57°42,6.53
GC 128,CPD -23°12,5.70
GC 129,CPD -36°18,2.32
GC 131,CPD -28°12,6.95
GC 132,CPD -21°8,5.10
GC 134,CPD -55°35,6.41
GC 136,CPD -27°10,6.13
GC 138,CPD -41°26,4.76
GC 139,CPD -75°16,1.25
GC 140,CPD -63°19,3.08
GC 141,CPD -50°26,2.97
GC 142,CPD -19°18,6.61
GC 145,CPD -46°14,3.92
GC 147,CPD -85°2,8.56
GC 148,CPD -32°29,4.94
GC 149,CPD -35°19,3.84
GC 150,CPD -36°23,5.91
GC 151,CPD -29°19,3.14
GC 152,CPD -25°19,3.37
GC 154,CPD -23°14,7.93
GC 155,CPD -40°13,11.64
