index1,index2,dist
GC 1,PPM 304556,1.11
GC 2,PPM 329929,0.91
GC 3,PPM 275694,0.76
GC 4,PPM 304562,1.40
GC 5,PPM 275696,0.33
GC 6,PPM 242514,1.47
GC 7,PPM 242517,0.35
GC 8,PPM 275701,0.82
GC 9,PPM 304569,1.12
GC 10,PPM 275709,0.17
GC 11,PPM 242523,1.07
GC 12,PPM 242525,1.46
GC 13,PPM 304574,0.44
GC 14,PPM 208364,0.53
GC 15,PPM 242526,1.10
GC 16,PPM 366793,0.10
GC 17,PPM 329942,0.55
GC 18,PPM 242528,1.78
GC 19,PPM 329946,1.25
GC 20,PPM 304583,0.68
GC 21,PPM 351636,1.07
GC 22,PPM 181879,0.44
GC 23,PPM 329950,0.51
GC 24,PPM 304586,0.23
GC 25,PPM 275718,0.82
GC 26,PPM 351638,1.67
GC 27,PPM 242530,0.40
GC 28,PPM 351639,0.66
GC 29,PPM 329953,0.63
GC 30,PPM 275726,1.23
GC 31,PPM 181887,1.69
GC 32,PPM 366799,1.13
GC 33,PPM 275728,0.59
GC 34,PPM 181892,1.55
GC 35,PPM 366801,0.40
GC 36,PPM 275729,1.50
GC 37,PPM 242540,1.42
GC 38,PPM 375912,0.61
GC 39,PPM 242542,1.21
GC 40,PPM 208398,0.49
GC 40,PPM 208398,1.05
GC 41,PPM 181899,1.97
GC 42,PPM 275737,0.66
GC 43,PPM 275738,0.37
GC 44,PPM 304605,0.75
GC 45,PPM 366805,0.93
GC 46,PPM 242549,0.22
GC 47,PPM 275740,1.38
GC 48,PPM 275741,0.82
GC 49,PPM 275742,0.36
GC 50,PPM 329972,1.07
GC 51,PPM 275745,0.81
GC 52,PPM 275746,1.02
GC 53,PPM 329977,0.33
GC 54,PPM 329979,1.19
GC 55,PPM 329978,1.03
GC 56,PPM 242561,1.41
GC 57,PPM 304618,0.45
GC 58,PPM 275751,1.41
GC 59,PPM 242565,1.29
GC 60,PPM 329984,0.40
GC 61,PPM 275760,0.58
GC 62,PPM 275751,285.57
GC 63,PPM 275764,1.60
GC 64,PPM 181921,0.27
GC 64,PPM 181921,0.93
GC 65,PPM 329988,0.70
GC 66,PPM 242571,1.27
GC 67,PPM 351661,1.04
GC 68,PPM 304626,1.00
GC 69,PPM 275769,0.47
GC 70,PPM 181928,1.71
GC 70,PPM 181928,0.86
GC 71,PPM 208437,0.79
GC 72,PPM 366818,0.60
GC 73,PPM 366819,1.13
GC 74,PPM 329993,0.71
GC 75,PPM 242578,1.48
GC 76,PPM 275774,1.99
GC 77,PPM 208443,1.01
GC 77,PPM 208443,1.77
GC 78,PPM 375917,0.80
GC 79,PPM 275776,0.94
GC 80,PPM 242579,0.30
GC 81,PPM 329997,1.52
GC 82,PPM 275777,3.43
GC 83,PPM 366823,1.19
GC 84,PPM 329998,0.21
GC 85,PPM 275782,0.55
GC 86,PPM 242584,0.18
GC 87,PPM 181949,0.81
GC 88,PPM 208457,1.57
GC 89,PPM 304644,1.16
GC 90,PPM 208465,0.86
GC 91,PPM 242592,1.52
GC 92,PPM 242593,0.45
GC 93,PPM 330009,1.86
GC 94,PPM 330008,1.45
GC 95,PPM 275790,1.01
GC 96,PPM 242597,1.07
GC 97,PPM 330014,0.99
GC 98,PPM 304655,1.19
GC 99,PPM 208473,1.46
GC 100,PPM 330016,1.49
GC 101,PPM 208476,2.54
GC 101,PPM 208476,1.01
GC 102,PPM 330019,1.00
GC 103,PPM 330020,0.94
GC 104,PPM 375922,1.14
GC 105,PPM 366829,2.17
GC 106,PPM 208488,0.92
GC 107,PPM 242608,0.69
GC 108,PPM 304663,1.46
GC 109,PPM 351682,1.22
GC 110,PPM 275810,0.29
GC 111,PPM 242611,0.93
GC 112,PPM 275811,0.85
GC 113,PPM 330034,0.58
GC 114,PPM 242617,0.59
GC 115,PPM 181987,0.91
GC 116,PPM 304671,2.27
GC 117,PPM 242622,1.18
GC 118,PPM 275815,0.59
GC 119,PPM 242624,1.25
GC 120,PPM 242628,0.25
GC 121,PPM 330041,0.54
GC 122,PPM 242631,0.79
GC 123,PPM 242633,1.03
GC 124,PPM 242632,1.25
GC 125,PPM 304679,0.56
GC 126,PPM 304681,0.92
GC 127,PPM 330048,0.88
GC 128,PPM 242637,1.64
GC 129,PPM 275826,0.48
GC 130,PPM 208523,0.63
GC 131,PPM 242641,5.84
GC 132,PPM 242643,1.11
GC 133,PPM 182012,1.66
GC 134,PPM 330053,0.95
GC 135,PPM 182013,1.08
GC 136,PPM 242645,2.32
GC 137,PPM 208533,1.89
GC 137,PPM 208533,1.92
GC 138,PPM 304692,0.72
GC 139,PPM 366843,0.75
GC 140,PPM 351699,1.96
GC 141,PPM 304693,0.66
GC 142,PPM 208536,0.42
GC 143,PPM 208537,1.91
GC 144,PPM 208544,0.97
GC 145,PPM 304698,1.02
GC 146,PPM 182020,1.38
GC 147,PPM 375924,2.39
GC 148,PPM 275833,2.14
GC 149,PPM 275835,2.54
GC 150,PPM 275836,0.70
GC 151,PPM 242652,0.96
GC 152,PPM 242654,0.80
GC 153,PPM 182030,0.61
GC 154,PPM 242656,0.89
GC 155,PPM 304705,0.66
GC 156,PPM 304705,15.26
GC 157,PPM 275844,1.25
GC 158,PPM 275847,2.46
GC 159,PPM 351704,0.38
GC 160,PPM 304711,0.93
GC 161,PPM 242660,1.69
GC 162,PPM 275850,1.45
GC 163,PPM 275851,0.91
GC 164,PPM 304715,1.04
GC 165,PPM 330076,1.85
GC 166,PPM 304720,1.26
GC 167,PPM 275854,1.09
GC 168,PPM 275853,0.46
GC 169,PPM 330078,0.75
GC 170,PPM 242672,0.71
GC 171,PPM 351715,1.57
