index1,index2,dist
GI 1,CD -78°1,5.97
GI 2,CD -66°1,8.71
GI 3,CD -72°1,33.56
GI 4,CD -67°1,14.00
GI 5,CD -66°2,24.75
GI 6,CD -78°2,8.94
GI 7,CD -79°1,9.76
GI 8,CD -70°3,24.13
GI 9,CD -86°1,1.77
GI 10,CD -67°2,34.82
GI 11,CD -67°3,13.46
GI 12,CD -77°2,23.19
GI 13,CD -74°2,3.45
GI 14,CD -84°2,5.37
GI 15,CD -67°4,11.10
GI 16,CD -66°3,8.20
GI 17,CD -80°3,5.29
GI 18,CD -75°2,15.02
GI 19,CD -67°5,15.20
GI 20,CD -66°4,2.86
GI 21,CD -84°3,7.40
GI 22,CD -68°1,13.06
GI 23,CD -79°2,15.51
GI 24,CD -66°5,26.87
GI 25,CD -66°6,35.36
GI 26,CD -72°3,20.37
GI 27,CD -79°3,7.95
GI 28,CD -82°3,6.25
GI 30,CD -78°3,26.52
GI 31,CD -79°4,10.14
GI 32,CD -71°4,16.54
GI 33,CD -78°4,18.08
GI 34,CD -73°2,20.44
GI 35,CD -82°4,4.89
GI 36,CD -78°5,22.22
GI 37,CD -74°3,16.82
GI 38,CD -73°3,21.28
GI 39,CD -69°1,11.70
GI 40,CD -74°4,23.24
GI 41,CD -81°1,16.86
GI 42,CD -73°4,30.15
GI 43,CD -72°4,18.78
GI 44,CD -87°1,2.01
GI 45,CD -72°5,13.59
GI 46,CD -73°5,10.11
GI 47,CD -80°4,12.43
GI 48,CD -76°2,8.51
GI 49,CD -85°1,2.45
GI 50,CD -80°5,19.13
GI 51,CD -78°6,10.70
GI 52,CD -72°7,23.89
GI 53,CD -70°4,15.47
GI 54,CD -66°7,22.31
GI 55,CD -70°5,11.92
GI 56,CD -80°7,10.01
GI 57,CD -68°3,27.68
GI 58,CD -77°5,10.12
GI 60,CD -65°2,12.06
GI 61,CD -76°3,15.79
GI 62,CD -75°4,9.23
GI 63,CD -88°1,2.35
GI 64,CD -69°3,40.51
GI 65,CD -65°2,259.23
GI 66,CD -75°5,3.98
GI 67,CD -66°8,22.91
GI 68,CD -72°8,16.14
GI 69,CD -69°4,12.05
GI 70,CD -76°4,16.04
GI 71,CD -82°5,6.49
GI 72,CD -85°2,6.10
GI 73,CD -69°5,18.24
GI 74,CD -69°6,16.56
GI 75,CD -72°10,27.35
GI 76,CD -79°8,17.99
GI 77,CD -70°6,22.25
GI 78,CD -72°11,25.43
GI 79,CD -72°12,14.35
GI 80,CD -67°10,23.95
GI 81,CD -68°4,22.60
GI 82,CD -77°6,2.16
GI 83,CD -71°5,18.39
GI 84,CD -76°5,8.55
GI 85,CD -80°9,17.99
GI 86,CD -71°7,15.18
GI 87,CD -67°11,13.80
GI 88,CD -70°7,33.84
GI 89,CD -79°10,16.96
GI 90,CD -66°10,12.77
GI 91,CD -70°8,3.44
GI 92,CD -68°5,8.54
GI 93,CD -79°11,11.24
GI 94,CD -67°12,21.24
GI 95,CD -66°11,14.40
GI 96,CD -74°9,13.95
GI 97,CD -72°13,26.17
GI 99,CD -70°9,15.15
GI 100,CD -70°10,4.32
GI 101,CD -67°13,18.80
GI 102,CD -67°14,28.35
GI 103,CD -66°12,14.85
GI 104,CD -74°10,11.94
GI 105,CD -68°6,2.13
GI 106,CD -70°11,20.42
GI 108,CD -69°7,25.24
GI 109,CD -65°5,8.67
GI 110,CD -72°14,5.17
GI 111,CD -69°8,231.74
GI 112,CD -79°12,3.65
GI 113,CD -75°7,11.51
GI 114,CD -76°6,3.21
GI 115,CD -69°8,15.19
GI 116,CD -72°15,7.26
GI 117,CD -74°11,41.45
GI 118,CD -68°7,16.14
GI 119,CD -65°6,89.65
GI 120,CD -77°8,11.01
GI 121,CD -77°7,15.76
GI 122,CD -83°1,1.23
GI 123,CD -71°8,12.97
GI 124,CD -68°8,26.06
GI 125,CD -78°7,1.46
GI 126,CD -69°10,14.04
GI 127,CD -78°8,0.88
GI 128,CD -73°9,27.63
GI 129,CD -69°11,18.34
GI 130,CD -70°12,8.89
GI 131,CD -69°10,252.29
GI 132,CD -76°7,15.79
GI 133,CD -68°9,25.70
GI 134,CD -70°13,8.89
GI 135,CD -71°9,12.55
GI 136,CD -77°9,4.03
GI 137,CD -89°1,0.35
GI 138,CD -65°7,12.69
GI 139,CD -72°18,11.10
GI 140,CD -78°10,11.57
GI 141,CD -67°16,17.78
GI 142,CD -74°14,16.81
GI 143,CD -76°9,7.74
GI 144,CD -76°9,12.56
GI 145,CD -71°10,13.36
GI 146,CD -77°10,5.31
GI 147,CD -69°12,15.11
GI 148,CD -67°17,24.87
GI 149,CD -75°10,20.48
GI 150,CD -84°4,2.49
GI 151,CD -66°17,18.35
GI 152,CD -67°18,30.46
GI 153,CD -68°8,27.08
GI 154,CD -66°18,23.38
GI 155,CD -81°4,18.15
GI 156,CD -85°3,4.61
GI 157,CD -82°6,0.79
GI 158,CD -78°11,14.16
GI 159,CD -71°11,8.74
GI 160,CD -77°11,6.71
GI 161,CD -68°11,16.38
GI 162,CD -80°12,20.88
GI 163,CD -82°7,6.28
GI 164,CD -73°12,33.94
GI 165,CD -69°14,8.80
GI 166,CD -83°1,357.45
GI 167,CD -65°9,19.83
GI 168,CD -80°14,9.52
GI 169,CD -84°5,1.21
GI 170,CD -68°12,34.21
GI 171,CD -71°12,13.80
GI 172,CD -76°11,13.46
GI 173,CD -77°14,5.67
GI 174,CD -72°19,12.93
GI 175,CD -71°14,20.28
GI 176,CD -74°15,12.56
GI 177,CD -72°22,319.20
GI 178,CD -75°11,9.75
GI 179,CD -72°21,10.50
GI 180,CD -71°15,26.82
GI 181,CD -83°2,9.17
