index1,index2,dist
G 1,PPM 366796,2.30
G 2,PPM 351637,1.82
G 3,PPM 366797,2.58
G 4,PPM 351638,2.35
G 5,PPM 351639,3.17
G 6,PPM 366799,1.30
G 7,PPM 366801,2.44
G 8,PPM 366802,0.86
G 9,PPM 375912,2.19
G 10,PPM 351643,2.72
G 11,PPM 351644,3.49
G 12,PPM 366803,1.20
G 13,PPM 366805,0.45
G 14,PPM 375914,2.45
G 15,PPM 351645,2.59
G 16,PPM 351648,1.75
G 17,PPM 366807,1.56
G 18,PPM 366810,2.67
G 19,PPM 351654,0.81
G 20,PPM 351653,1.12
G 21,PPM 375915,0.42
G 22,PPM 351659,0.71
G 23,PPM 366812,1.17
G 24,PPM 351662,1.48
G 25,PPM 351663,2.86
G 26,PPM 366815,0.97
G 27,PPM 366814,2.42
G 28,PPM 375916,4.22
G 29,PPM 351665,1.00
G 30,PPM 366817,0.97
G 31,PPM 366818,1.16
G 32,PPM 366820,1.22
G 33,PPM 366819,3.77
G 34,PPM 366821,1.46
G 35,PPM 375917,1.96
G 36,PPM 783653,3.54
G 37,PPM 366822,1.43
G 38,PPM 366823,2.60
G 39,PPM 351672,2.10
G 40,PPM 366824,1.41
G 41,PPM 375919,6.11
G 42,PPM 366826,2.35
G 43,PPM 783656,0.59
G 44,PPM 375918,1.70
G 45,PPM 783657,1.44
G 46,PPM 366827,0.84
G 47,PPM 375922,1.71
G 48,PPM 366829,2.76
G 49,PPM 375921,3.23
G 50,PPM 788406,0.72
G 51,PPM 366832,2.48
G 52,PPM 366836,2.59
G 53,PPM 351684,2.55
G 54,PPM 351689,2.03
G 55,PPM 366838,2.64
G 56,PPM 366835,0.97
G 57,PPM 351691,0.31
G 58,PPM 366839,1.98
G 60,PPM 351694,0.30
G 61,PPM 783662,1.40
G 62,PPM 366841,2.46
G 63,PPM 375920,2.17
G 64,PPM 775082,1.64
G 65,PPM 775083,1.47
G 66,PPM 366843,0.16
G 67,PPM 351698,1.39
G 68,PPM 783664,1.67
G 69,PPM 351697,0.88
G 70,PPM 366844,1.00
G 71,PPM 375926,1.54
G 72,PPM 375924,1.43
G 73,PPM 351703,1.95
G 74,PPM 351704,1.61
G 75,PPM 366847,3.42
G 76,PPM 366846,4.37
G 77,PPM 351705,4.23
G 78,PPM 366849,2.33
G 79,PPM 366851,2.23
G 80,PPM 351708,3.67
G 81,PPM 351715,1.81
G 82,PPM 366852,2.16
G 83,PPM 366854,3.92
G 84,PPM 366853,1.04
G 85,PPM 366856,1.01
G 86,PPM 366858,1.58
G 87,PPM 351720,2.92
G 88,PPM 775090,3.08
G 89,PPM 366857,6.38
G 90,PPM 351724,3.12
G 91,PPM 775091,0.19
G 92,PPM 351725,1.22
G 93,PPM 366860,2.90
G 94,PPM 351729,2.20
G 95,PPM 351730,3.72
G 96,PPM 366861,1.45
G 97,PPM 366862,2.31
G 98,PPM 788408,3.81
G 99,PPM 351731,1.83
G 100,PPM 351732,0.91
G 101,PPM 351736,2.50
G 102,PPM 351735,2.21
G 103,PPM 351738,1.19
G 104,PPM 366864,1.61
G 105,PPM 351739,2.99
G 107,PPM 375927,1.93
G 108,PPM 351740,3.91
G 109,PPM 351742,0.79
G 110,PPM 366866,7.29
G 111,PPM 775093,1.44
G 112,PPM 366865,1.80
G 113,PPM 366869,1.02
G 114,PPM 366868,2.12
G 115,PPM 351750,1.78
G 116,PPM 366870,0.47
G 117,PPM 783672,1.39
G 118,PPM 351753,2.88
G 119,PPM 351761,6.02
G 120,PPM 783673,2.01
G 121,PPM 783674,1.03
G 122,PPM 375928,3.32
G 123,PPM 366873,0.52
G 124,PPM 351754,1.32
G 125,PPM 366872,1.75
G 126,PPM 351757,1.82
G 127,PPM 366874,1.50
G 128,PPM 366876,1.35
G 129,PPM 351763,2.22
G 130,PPM 775100,0.34
G 132,PPM 783678,1.63
G 133,PPM 775101,6.16
G 134,PPM 351766,0.52
G 135,PPM 366881,2.74
G 136,PPM 366878,0.58
G 137,PPM 375923,0.83
G 138,PPM 351769,1.62
G 139,PPM 366884,2.35
G 140,PPM 366879,3.55
G 141,PPM 351770,1.71
G 142,PPM 366882,2.72
G 145,PPM 366886,0.87
G 146,PPM 366883,1.32
G 147,PPM 351772,1.52
G 148,PPM 351773,0.54
G 149,PPM 366885,1.06
G 150,PPM 375930,1.17
G 151,PPM 351776,1.24
G 152,PPM 351778,2.08
G 153,PPM 351754,0.43
G 154,PPM 351777,1.59
G 155,PPM 788414,1.95
G 156,PPM 375929,1.03
G 157,PPM 375932,2.16
G 158,PPM 366888,0.89
G 159,PPM 366891,1.02
G 160,PPM 366890,4.90
G 161,PPM 351786,1.40
G 162,PPM 366889,3.95
G 163,PPM 375933,1.76
G 164,PPM 366892,0.84
G 165,PPM 351792,2.13
G 166,PPM 375935,2.48
G 167,PPM 351795,1.80
G 168,PPM 366894,1.02
G 169,PPM 375936,0.82
G 170,PPM 351797,0.97
G 171,PPM 366897,3.80
G 172,PPM 366895,1.10
G 173,PPM 366896,1.68
G 174,PPM 366901,1.78
G 175,PPM 366903,3.13
G 176,PPM 366902,2.38
G 178,PPM 366898,0.82
G 179,PPM 366905,0.72
G 180,PPM 366906,2.44
G 181,PPM 375938,2.22
G 182,PPM 366899,2.46
G 183,PPM 366904,2.08
G 184,PPM 366918,1.72
G 185,PPM 366896,4.64
G 186,PPM 366907,5.41
G 187,PPM 351810,0.63
G 188,PPM 366909,2.81
G 189,PPM 775115,2.11
G 190,PPM 375939,5.40
G 190,PPM 375939,0.80
G 191,PPM 366913,0.38
G 192,PPM 366908,0.75
G 193,PPM 366910,1.50
G 194,PPM 783688,1.48
G 195,PPM 366912,2.13
G 196,PPM 351814,5.72
G 197,PPM 351815,1.81
G 198,PPM 375937,0.85
G 199,PPM 351816,3.37
G 200,PPM 366916,2.79
G 201,PPM 366922,3.57
G 202,PPM 366921,1.08
G 203,PPM 366919,0.44
G 204,PPM 351822,2.79
G 205,PPM 783690,0.87
G 206,PPM 351823,2.45
G 207,PPM 351825,2.24
G 208,PPM 351828,0.97
G 209,PPM 783692,2.39
G 210,PPM 351827,1.74
G 212,PPM 351830,3.96
G 213,PPM 788419,3.21
G 214,PPM 366928,4.34
G 215,PPM 366923,2.66
G 216,PPM 351831,1.57
G 217,PPM 788420,6.05
G 218,PPM 351836,0.73
G 219,PPM 366925,2.29
G 220,PPM 366924,2.40
G 221,PPM 366932,4.24
G 222,PPM 351838,1.99
G 223,PPM 366934,2.38
G 224,PPM 351840,2.23
G 225,PPM 366937,1.39
G 226,PPM 351839,3.49
G 227,PPM 366933,2.97
G 228,PPM 351843,2.87
G 229,PPM 366927,2.02
G 230,PPM 775127,2.69
G 231,PPM 366931,3.05
G 232,PPM 351845,2.83
G 233,PPM 375931,0.77
G 234,PPM 783694,2.80
G 235,PPM 375944,1.94
G 236,PPM 351849,1.78
G 237,PPM 351850,1.49
G 238,PPM 366941,1.14
G 239,PPM 351854,1.26
G 240,PPM 366943,0.96
G 241,PPM 366942,3.13
G 242,PPM 375945,0.77
G 243,PPM 375946,2.84
G 244,PPM 351858,2.29
G 244,PPM 351858,2.29
G 246,PPM 366944,1.83
G 247,PPM 351862,0.71
G 248,PPM 351866,1.95
G 249,PPM 375943,1.80
G 250,PPM 366950,4.88
G 251,PPM 366948,2.10
G 252,PPM 351868,1.40
G 253,PPM 366951,1.39
G 254,PPM 366949,1.03
G 255,PPM 351873,0.73
G 256,PPM 351877,1.35
G 257,PPM 351875,1.06
G 258,PPM 351876,2.39
G 259,PPM 366947,0.82
G 261,PPM 366953,1.76
G 262,PPM 351883,1.59
G 263,PPM 351886,1.09
G 264,PPM 351884,3.53
G 265,PPM 783707,3.55
G 266,PPM 351889,0.62
G 267,PPM 375947,1.90
G 268,PPM 351894,0.34
G 269,PPM 351897,6.53
G 270,PPM 366960,0.70
G 271,PPM 366965,0.71
G 272,PPM 351902,1.41
G 273,PPM 351903,1.54
G 274,PPM 375934,1.78
G 275,PPM 366961,2.90
G 276,PPM 366967,0.39
G 277,PPM 351908,0.33
G 278,PPM 375951,2.77
G 279,PPM 375949,1.83
G 280,PPM 366969,1.63
G 281,PPM 351913,0.59
G 282,PPM 351912,5.03
G 283,PPM 351915,1.64
G 284,PPM 366975,1.60
G 285,PPM 366971,1.06
G 286,PPM 788424,2.94
G 287,PPM 783708,4.70
G 288,PPM 351918,1.50
G 289,PPM 351923,0.91
G 290,PPM 366977,2.63
G 291,PPM 366982,0.91
G 292,PPM 351926,0.83
G 293,PPM 375948,2.16
G 294,PPM 366979,0.95
G 295,PPM 366978,1.42
G 296,PPM 366976,3.39
G 297,PPM 375954,2.49
G 298,PPM 351929,2.25
G 299,PPM 366981,1.53
G 300,PPM 351932,3.29
G 301,PPM 366983,2.60
G 302,PPM 366985,1.93
G 303,PPM 351933,2.52
G 304,PPM 375950,1.93
G 305,PPM 351931,1.44
G 306,PPM 351935,2.50
G 307,PPM 366989,1.33
G 308,PPM 375958,2.12
G 309,PPM 375955,0.52
G 310,PPM 366984,2.33
G 311,PPM 366987,0.52
G 312,PPM 351946,5.52
G 313,PPM 351942,0.98
G 314,PPM 351944,0.74
G 315,PPM 351949,3.54
G 316,PPM 366992,0.38
G 317,PPM 366996,2.46
G 318,PPM 783712,2.61
G 319,PPM 351950,1.09
G 320,PPM 366991,1.83
G 321,PPM 366988,3.56
G 322,PPM 367000,2.29
G 323,PPM 366999,0.99
G 324,PPM 375959,0.89
G 325,PPM 351953,4.07
G 326,PPM 367001,0.69
G 327,PPM 367005,1.37
G 328,PPM 367005,1.96
G 329,PPM 351956,5.23
G 330,PPM 367003,4.59
G 331,PPM 351956,2.22
G 332,PPM 351959,1.52
G 333,PPM 788429,2.50
G 334,PPM 375952,4.40
G 335,PPM 351958,0.84
G 336,PPM 351960,1.13
G 337,PPM 367008,2.68
G 338,PPM 375960,0.62
G 339,PPM 367004,0.97
G 340,PPM 367009,2.29
G 341,PPM 375965,2.00
G 342,PPM 788426,4.63
G 343,PPM 367006,0.82
G 344,PPM 367011,2.17
G 345,PPM 375961,1.51
G 346,PPM 351967,2.58
G 347,PPM 783714,2.00
G 348,PPM 367010,4.82
G 349,PPM 351966,2.17
G 350,PPM 351965,4.62
G 351,PPM 375964,0.57
G 351,PPM 375964,28.92
G 352,PPM 775152,0.28
G 353,PPM 351969,2.19
G 354,PPM 367014,1.94
G 355,PPM 351968,3.34
G 356,PPM 367015,4.34
G 359,PPM 375971,0.78
G 360,PPM 367016,2.00
G 361,PPM 367019,0.29
G 362,PPM 351980,1.11
G 363,PPM 775155,0.51
G 364,PPM 351979,2.15
G 365,PPM 351981,4.53
G 366,PPM 783715,1.17
G 367,PPM 375956,5.04
G 368,PPM 775156,2.90
G 369,PPM 351983,2.11
G 370,PPM 375968,1.14
G 371,PPM 375963,0.41
G 372,PPM 375966,0.75
G 373,PPM 367021,1.28
G 374,PPM 375969,1.83
G 375,PPM 351989,2.89
G 376,PPM 775161,2.52
G 377,PPM 367022,1.77
G 378,PPM 367020,3.15
G 379,PPM 351990,1.31
G 380,PPM 351998,2.04
G 381,PPM 367024,2.49
G 382,PPM 375957,1.95
G 384,PPM 351999,1.18
G 385,PPM 352003,5.58
G 386,PPM 367026,2.40
G 387,PPM 367027,2.91
G 388,PPM 367032,1.37
G 389,PPM 367028,0.55
G 390,PPM 367030,21.32
G 391,PPM 788432,4.71
G 392,PPM 375967,1.35
G 394,PPM 375974,2.83
G 395,PPM 367035,2.50
G 396,PPM 352014,0.76
G 397,PPM 352012,0.39
G 398,PPM 367033,2.42
G 399,PPM 375970,0.41
G 400,PPM 788421,3.70
G 401,PPM 367043,2.68
G 402,PPM 367042,1.61
G 403,PPM 367039,4.45
G 404,PPM 375972,1.21
G 405,PPM 375975,1.92
G 406,PPM 367047,3.36
G 407,PPM 367040,1.35
G 408,PPM 352023,2.50
G 409,PPM 367046,7.26
G 410,PPM 367050,1.45
G 411,PPM 367052,1.35
G 412,PPM 367037,4.61
G 413,PPM 367038,3.90
G 414,PPM 352025,1.39
G 415,PPM 367048,0.74
G 416,PPM 367044,1.38
G 417,PPM 352028,0.18
G 418,PPM 367055,5.66
G 419,PPM 367051,2.29
G 420,PPM 367056,2.78
G 421,PPM 352029,0.41
G 422,PPM 352031,3.65
G 423,PPM 375978,4.47
