index1,index2,dist
L 9721,PPM 304555,2.13
L 9722,PPM 275687,1.41
L 9723,PPM 275696,0.65
L 9724,PPM 242517,0.88
L 9725,PPM 275701,0.46
L 9726,PPM 275709,1.85
L 9728,PPM 304574,1.24
L 9729,PPM 242526,2.02
L 9727,PPM 366793,1.91
L 9730,PPM 329942,0.33
L 9731,PPM 329946,0.94
L 9733,PPM 351636,0.65
L 9732,PPM 242530,1.63
L 9735,PPM 275726,0.45
L 9736,PPM 366799,1.07
L 9734,PPM 366801,0.70
L 9745,PPM 375912,1.23
L 9737,PPM 275737,0.36
L 9743,PPM 366805,0.68
L 9738,PPM 242549,1.02
L 9739,PPM 275741,0.19
L 9740,PPM 329972,0.80
L 9741,PPM 242561,1.99
L 9742,PPM 304618,0.25
L 9746,PPM 329984,1.10
L 9744,PPM 275760,1.21
L 9747,PPM 242571,1.47
L 9749,PPM 351661,1.09
L 9748,PPM 304626,1.66
L 9750,PPM 366818,1.22
L 9752,PPM 366819,0.39
L 9751,PPM 275774,1.77
L 9756,PPM 375917,1.35
L 9753,PPM 275777,1.32
L 9754,PPM 329997,0.45
L 9755,PPM 366823,1.26
L 9757,PPM 304644,0.22
L 9758,PPM 242592,1.46
L 9759,PPM 330008,0.38
L 9760,PPM 275790,1.38
L 9761,PPM 304655,0.79
L 9762,PPM 330016,0.56
L 9764,PPM 375922,0.57
L 9763,PPM 330019,0.49
L 9765,PPM 366829,3.47
L 9766,PPM 242608,1.22
L 1,PPM 304663,0.82
L 3,PPM 330034,1.62
L 2,PPM 242617,0.96
L 4,PPM 304671,0.57
L 5,PPM 242622,0.46
L 6,PPM 275815,0.17
L 7,PPM 242631,1.46
L 8,PPM 242633,0.15
L 9,PPM 242632,1.07
L 10,PPM 304679,1.58
L 11,PPM 330048,1.37
L 12,PPM 275826,0.27
L 13,PPM 330053,0.84
L 15,PPM 366843,1.87
L 14,PPM 304692,0.92
L 16,PPM 304698,0.44
L 23,PPM 375924,1.82
L 17,PPM 275833,1.44
L 18,PPM 275835,1.22
L 19,PPM 304705,2.24
L 20,PPM 304711,0.97
L 21,PPM 275850,0.67
L 22,PPM 275854,1.99
L 25,PPM 304726,0.69
L 30,PPM 366853,2.35
L 26,PPM 275862,1.31
L 29,PPM 366856,1.96
L 28,PPM 330081,0.28
L 27,PPM 275867,0.78
L 32,PPM 366858,0.82
L 31,PPM 330085,2.19
L 33,PPM 366860,0.96
L 34,PPM 275891,1.79
L 36,PPM 304760,1.83
L 35,PPM 304761,0.47
L 37,PPM 242705,1.84
L 39,PPM 366865,0.89
L 38,PPM 304767,0.24
L 260,PPM 375923,0.38
L 41,PPM 304778,1.62
L 42,PPM 304777,0.65
L 43,PPM 330113,1.29
L 44,PPM 330115,0.78
L 45,PPM 330117,0.99
L 40,PPM 351761,0.76
L 47,PPM 366872,1.06
L 46,PPM 275915,0.92
L 48,PPM 242745,1.22
L 49,PPM 242747,0.49
L 50,PPM 275926,1.07
L 51,PPM 275928,0.93
L 53,PPM 351766,0.28
L 57,PPM 366878,1.32
L 52,PPM 275935,1.55
L 54,PPM 242755,2.26
L 56,PPM 330135,1.12
L 55,PPM 242762,0.91
L 58,PPM 275949,1.80
L 64,PPM 366888,0.89
L 59,PPM 330143,0.69
L 60,PPM 275959,1.89
L 63,PPM 351790,1.57
L 61,PPM 275960,0.96
L 62,PPM 275962,1.05
L 65,PPM 275965,2.57
L 67,PPM 330157,1.00
L 66,PPM 242788,0.63
L 68,PPM 330159,1.11
L 69,PPM 330160,0.24
L 70,PPM 304837,0.62
L 71,PPM 330163,1.59
L 72,PPM 275976,2.07
L 76,PPM 366896,1.23
L 73,PPM 330171,0.15
L 75,PPM 330183,1.37
L 77,PPM 330182,1.19
L 79,PPM 304856,0.69
L 78,PPM 275985,0.08
L 74,PPM 366918,0.61
L 81,PPM 275989,0.32
L 82,PPM 242822,1.11
L 83,PPM 242824,0.85
L 85,PPM 330203,0.69
L 84,PPM 276002,1.10
L 86,PPM 242831,1.32
L 89,PPM 304874,1.82
L 88,PPM 276005,0.61
L 87,PPM 304876,1.52
L 90,PPM 242850,2.46
L 93,PPM 351825,0.37
L 91,PPM 242852,1.08
L 92,PPM 276030,0.96
L 94,PPM 276040,0.75
L 96,PPM 242867,2.10
L 97,PPM 330240,0.94
L 98,PPM 242872,0.60
L 95,PPM 330243,0.76
L 99,PPM 276048,1.28
L 100,PPM 242877,0.57
L 101,PPM 330252,0.72
L 102,PPM 330251,0.99
L 113,PPM 375944,0.88
L 104,PPM 304931,0.99
L 103,PPM 276072,1.34
L 105,PPM 276074,1.74
L 106,PPM 242897,0.65
L 107,PPM 330275,1.20
L 109,PPM 304952,0.79
L 108,PPM 276089,0.68
L 110,PPM 304951,0.76
L 111,PPM 330286,2.50
L 112,PPM 304967,1.44
L 114,PPM 304968,1.10
L 115,PPM 304969,1.16
L 116,PPM 330296,0.74
L 117,PPM 330301,0.56
L 119,PPM 351869,0.28
L 120,PPM 351870,0.11
L 118,PPM 242927,1.57
L 121,PPM 242933,1.76
L 123,PPM 351888,0.81
L 122,PPM 242957,2.58
L 124,PPM 276149,2.57
L 125,PPM 242961,0.51
L 126,PPM 276150,0.52
L 127,PPM 276152,2.65
L 130,PPM 330322,1.39
L 128,PPM 276156,0.81
L 129,PPM 276157,1.17
L 132,PPM 351898,1.03
L 131,PPM 276160,0.80
L 139,PPM 366965,1.81
L 135,PPM 330324,1.50
L 133,PPM 305009,1.92
L 134,PPM 305011,1.29
L 137,PPM 330327,0.02
L 136,PPM 276173,0.76
L 138,PPM 242981,1.36
L 141,PPM 330338,1.28
L 140,PPM 276182,0.49
L 144,PPM 330343,1.37
L 143,PPM 305030,0.67
L 142,PPM 243001,1.52
L 145,PPM 305041,1.71
L 146,PPM 330354,0.37
L 148,PPM 305051,0.49
L 147,PPM 243033,1.86
L 151,PPM 351932,0.61
L 150,PPM 305060,0.30
L 149,PPM 276217,1.69
L 154,PPM 351931,0.65
L 152,PPM 330376,1.27
L 153,PPM 330380,0.54
L 155,PPM 305086,0.36
L 161,PPM 366987,1.07
L 156,PPM 330386,0.56
L 158,PPM 305095,0.59
L 157,PPM 243066,0.72
L 168,PPM 366992,1.98
L 159,PPM 305105,0.93
L 160,PPM 305110,0.90
L 171,PPM 366999,1.70
L 163,PPM 330406,1.14
L 173,PPM 367001,1.46
L 164,PPM 305120,2.32
L 162,PPM 276249,1.31
L 166,PPM 305122,1.99
L 165,PPM 276250,1.85
L 167,PPM 243110,2.18
L 170,PPM 330414,1.65
L 169,PPM 243111,0.99
L 172,PPM 330421,0.99
L 175,PPM 330422,1.96
L 174,PPM 305138,1.76
L 176,PPM 330427,0.16
L 177,PPM 305142,1.11
L 179,PPM 351966,0.58
L 178,PPM 305151,0.31
L 180,PPM 330434,0.73
L 197,PPM 375971,1.55
L 228,PPM 375963,0.25
L 182,PPM 330437,1.27
L 181,PPM 276290,2.23
L 212,PPM 375968,0.52
L 183,PPM 276292,0.69
L 184,PPM 330443,1.47
L 186,PPM 351984,0.82
L 188,PPM 351980,0.73
L 185,PPM 276298,0.60
L 191,PPM 351983,0.64
L 187,PPM 305174,0.68
L 190,PPM 330455,1.26
L 189,PPM 276307,0.69
L 192,PPM 276315,0.80
L 195,PPM 305188,1.04
L 196,PPM 305192,0.19
L 193,PPM 243183,0.61
L 242,PPM 375967,0.79
L 194,PPM 276330,2.07
L 198,PPM 330469,0.89
L 199,PPM 330470,1.71
L 200,PPM 305200,0.54
L 201,PPM 330472,0.89
L 206,PPM 352003,3.04
L 209,PPM 367027,0.64
L 202,PPM 305210,1.40
L 248,PPM 375970,0.60
L 211,PPM 367032,1.05
L 204,PPM 305214,0.89
L 205,PPM 305220,2.13
L 208,PPM 330479,1.21
L 207,PPM 305219,0.76
L 203,PPM 243215,0.82
L 210,PPM 276362,0.75
L 221,PPM 367033,1.06
L 215,PPM 330492,1.19
L 213,PPM 330495,0.67
L 214,PPM 330497,0.38
L 216,PPM 276377,0.97
L 217,PPM 276380,0.97
L 218,PPM 243252,0.08
L 219,PPM 243250,0.65
L 220,PPM 243261,1.72
L 227,PPM 276401,1.18
L 223,PPM 243277,0.88
L 226,PPM 305271,0.30
L 225,PPM 305273,0.28
L 224,PPM 243285,0.59
L 229,PPM 330547,1.33
L 235,PPM 367064,1.32
L 231,PPM 305294,0.98
L 230,PPM 305297,1.36
L 232,PPM 330550,0.33
L 233,PPM 330559,1.05
L 234,PPM 276439,0.75
L 293,PPM 375977,1.26
L 236,PPM 305326,1.17
L 237,PPM 305328,1.43
L 244,PPM 367074,0.48
L 240,PPM 330571,0.69
L 238,PPM 243345,1.38
L 239,PPM 276466,1.56
L 243,PPM 330580,1.45
L 241,PPM 243352,1.78
L 246,PPM 352066,0.68
L 250,PPM 352062,0.99
L 247,PPM 352070,2.38
L 245,PPM 276484,0.86
L 253,PPM 352077,0.48
L 249,PPM 330601,1.14
L 251,PPM 305367,0.71
L 254,PPM 330603,0.68
L 261,PPM 367090,1.25
L 252,PPM 243396,0.89
L 255,PPM 305379,1.33
L 258,PPM 352088,0.83
L 256,PPM 243404,1.05
L 262,PPM 352090,0.34
L 259,PPM 330612,1.08
L 263,PPM 352092,0.14
L 257,PPM 243421,1.42
L 267,PPM 367102,1.14
L 264,PPM 352099,0.42
L 265,PPM 330631,0.57
L 268,PPM 330638,2.12
L 266,PPM 243446,2.19
L 272,PPM 352117,0.90
L 271,PPM 352122,1.10
L 270,PPM 330650,1.25
L 269,PPM 276570,0.62
L 281,PPM 367113,0.75
L 273,PPM 305448,1.08
L 275,PPM 330671,1.25
L 274,PPM 276586,0.45
L 279,PPM 330675,0.40
L 278,PPM 330682,1.85
L 276,PPM 276602,1.23
L 277,PPM 276598,2.17
L 280,PPM 276603,1.68
L 295,PPM 367121,1.76
L 285,PPM 352152,1.11
L 283,PPM 330692,0.55
L 282,PPM 276619,1.29
L 284,PPM 305488,1.93
L 288,PPM 330699,0.79
L 292,PPM 367129,0.78
L 286,PPM 276630,0.39
L 289,PPM 305505,0.53
L 299,PPM 367133,0.64
L 287,PPM 243529,0.97
L 290,PPM 276639,2.95
L 291,PPM 305510,0.74
L 298,PPM 352172,2.19
L 294,PPM 305521,2.14
