index1,index2,dist
OA 2,PPM 242531,5.94
OA 4,PPM 208380,1.68
OA 23247,PPM 208383,4.97
OA 6,PPM 208389,1.48
OA 17,PPM 208392,13.07
OA 7,PPM 242535,3.32
OA 9,PPM 208393,3.97
OA 10,PPM 242540,3.09
OA 11,PPM 242542,2.87
OA 12,PPM 208398,2.61
OA 1,PPM 208403,1.07
OA 13,PPM 242549,1.80
OA 15,PPM 242552,5.14
OA 24,PPM 242553,4.71
OA 5,PPM 242558,0.96
OA 18,PPM 242561,4.34
OA 21,PPM 208419,6.99
OA 22,PPM 242564,4.88
OA 23,PPM 208422,3.73
OA 25,PPM 242567,2.62
OA 26,PPM 208428,4.49
OA 27,PPM 242571,0.46
OA 16,PPM 208429,4.77
OA 28,PPM 208430,5.18
OA 30,PPM 208433,3.69
OA 31,PPM 208435,3.29
OA 32,PPM 208438,1.06
OA 33,PPM 208439,3.40
OA 36,PPM 242578,2.56
OA 37,PPM 208446,1.67
OA 38,PPM 208450,2.14
OA 39,PPM 242587,1.57
OA 35,PPM 242586,2.18
OA 40,PPM 242588,5.99
OA 41,PPM 242590,3.13
OA 42,PPM 242593,2.32
OA 43,PPM 208469,4.96
OA 44,PPM 208470,7.87
OA 45,PPM 242597,2.40
OA 46,PPM 723483,8.96
OA 47,PPM 208476,4.74
OA 48,PPM 208477,2.96
OA 49,PPM 208480,3.57
OA 50,PPM 242605,2.65
OA 51,PPM 242608,3.12
OA 52,PPM 208490,2.45
OA 53,PPM 242611,2.54
OA 54,PPM 275811,8.02
OA 55,PPM 242617,6.58
OA 57,PPM 242622,0.27
OA 59,PPM 242624,1.48
OA 60,PPM 709784,4.46
OA 61,PPM 208505,1.28
OA 62,PPM 242628,5.39
OA 64,PPM 242631,0.99
OA 65,PPM 242633,2.19
OA 66,PPM 242632,4.00
OA 68,PPM 208512,2.22
OA 69,PPM 208521,8.31
OA 71,PPM 242642,2.28
OA 72,PPM 242643,2.64
OA 73,PPM 242644,9.08
OA 74,PPM 208532,13.93
OA 70,PPM 242645,2.33
OA 75,PPM 208531,3.54
OA 76,PPM 208541,1.70
OA 77,PPM 208549,0.42
OA 78,PPM 242651,8.93
OA 79,PPM 208551,5.60
OA 80,PPM 242652,9.19
OA 82,PPM 242654,2.40
OA 83,PPM 242656,3.19
OA 84,PPM 242660,2.00
OA 86,PPM 242667,6.92
OA 87,PPM 208574,1.38
OA 88,PPM 242671,5.75
OA 89,PPM 242672,3.34
OA 90,PPM 208577,3.75
OA 91,PPM 242676,3.50
OA 92,PPM 208581,4.43
OA 93,PPM 208582,1.02
OA 95,PPM 242679,15.18
OA 96,PPM 242678,7.70
OA 97,PPM 208595,2.09
OA 98,PPM 208597,4.19
OA 99,PPM 208603,9.10
OA 100,PPM 208610,1.66
OA 101,PPM 208618,2.59
OA 102,PPM 242692,5.70
OA 104,PPM 242694,3.48
OA 105,PPM 208622,0.99
OA 106,PPM 242697,2.75
OA 107,PPM 242701,3.34
OA 108,PPM 242702,6.44
OA 109,PPM 242705,8.49
OA 111,PPM 242711,4.51
OA 112,PPM 242714,6.08
OA 113,PPM 242716,1.03
OA 115,PPM 208648,0.96
OA 116,PPM 242720,10.81
OA 117,PPM 208649,2.86
OA 118,PPM 242725,3.27
OA 119,PPM 208652,10.97
OA 120,PPM 242726,3.17
OA 121,PPM 208659,5.60
OA 122,PPM 208660,4.45
OA 123,PPM 208664,7.62
OA 124,PPM 242737,5.70
OA 125,PPM 242742,5.63
OA 126,PPM 208667,2.17
OA 127,PPM 208672,2.74
OA 129,PPM 242747,7.29
OA 130,PPM 242751,5.47
OA 131,PPM 242755,1.95
OA 133,PPM 208684,2.03
OA 135,PPM 242756,1.64
OA 136,PPM 242758,3.13
OA 138,PPM 242762,5.59
OA 139,PPM 242760,6.00
OA 140,PPM 242765,0.51
OA 141,PPM 242767,2.54
OA 142,PPM 242769,5.02
OA 143,PPM 242772,1.25
OA 144,PPM 242775,1.78
OA 145,PPM 208705,1.33
OA 146,PPM 208712,3.16
OA 147,PPM 208715,1.61
OA 148,PPM 208717,3.23
OA 149,PPM 208721,5.68
OA 150,PPM 242785,2.65
OA 151,PPM 208727,1.96
OA 152,PPM 242788,3.77
OA 154,PPM 242790,3.18
OA 155,PPM 242794,8.60
OA 156,PPM 208740,3.19
OA 157,PPM 208749,4.43
OA 158,PPM 208750,2.74
OA 159,PPM 242800,3.85
OA 161,PPM 242803,3.72
OA 162,PPM 242802,4.44
OA 163,PPM 242801,6.76
OA 165,PPM 242804,3.52
OA 166,PPM 242806,2.53
OA 167,PPM 242810,2.72
OA 168,PPM 208764,4.77
OA 169,PPM 242811,3.13
OA 171,PPM 208767,1.20
OA 172,PPM 208770,4.43
OA 173,PPM 208769,2.99
OA 174,PPM 208772,0.63
OA 175,PPM 208776,2.93
OA 176,PPM 242818,1.70
OA 177,PPM 208778,2.79
OA 178,PPM 208780,0.97
OA 179,PPM 208779,1.28
OA 180,PPM 242824,2.22
OA 181,PPM 208788,4.04
OA 182,PPM 242828,5.75
OA 184,PPM 208789,1.23
OA 185,PPM 208795,2.30
OA 186,PPM 242836,2.61
OA 187,PPM 208800,4.24
OA 188,PPM 242835,9.62
OA 191,PPM 242842,2.33
OA 192,PPM 242845,2.70
OA 193,PPM 242846,2.14
OA 194,PPM 208817,0.43
OA 195,PPM 242851,8.59
OA 196,PPM 242850,3.17
OA 198,PPM 208825,7.06
OA 199,PPM 242852,3.69
OA 202,PPM 242853,11.48
OA 203,PPM 208832,4.79
OA 204,PPM 242855,1.57
OA 205,PPM 242858,8.09
OA 206,PPM 242860,1.93
OA 207,PPM 242863,2.74
OA 208,PPM 242867,3.69
OA 210,PPM 242868,1.97
OA 212,PPM 242871,1.28
OA 214,PPM 242872,9.21
OA 215,PPM 208851,1.71
OA 216,PPM 242876,11.49
OA 218,PPM 242877,15.50
OA 219,PPM 242879,4.81
OA 221,PPM 208862,1.68
OA 222,PPM 242882,5.60
OA 223,PPM 208867,1.67
OA 224,PPM 242885,1.61
OA 225,PPM 208881,5.10
OA 226,PPM 208886,4.48
OA 227,PPM 242890,7.34
OA 228,PPM 242894,3.79
OA 229,PPM 208892,3.17
OA 230,PPM 208895,4.39
OA 232,PPM 242897,1.30
OA 235,PPM 208896,2.18
OA 236,PPM 208901,3.09
OA 237,PPM 242901,3.76
OA 238,PPM 242902,5.78
OA 241,PPM 242909,2.92
OA 242,PPM 208916,4.43
OA 243,PPM 242916,4.77
OA 244,PPM 208924,1.21
OA 245,PPM 208932,3.63
OA 247,PPM 242927,1.57
OA 248,PPM 208938,2.16
OA 250,PPM 242931,7.35
OA 252,PPM 242933,3.88
OA 253,PPM 242935,8.76
OA 254,PPM 242940,3.57
OA 255,PPM 242944,0.70
OA 256,PPM 208949,3.31
OA 258,PPM 208957,5.31
OA 260,PPM 242949,3.11
OA 261,PPM 242957,3.60
OA 262,PPM 208966,4.63
OA 265,PPM 208969,1.38
OA 266,PPM 242958,11.44
OA 267,PPM 242962,5.16
OA 268,PPM 242961,1.15
OA 269,PPM 208982,1.80
OA 270,PPM 276159,8.31
OA 271,PPM 208981,5.86
OA 272,PPM 208987,2.45
OA 273,PPM 242970,6.55
OA 274,PPM 242975,2.03
OA 275,PPM 242976,17.63
OA 276,PPM 242979,2.24
OA 277,PPM 242980,11.09
OA 278,PPM 242981,1.68
OA 279,PPM 209000,3.68
OA 280,PPM 209003,3.75
OA 281,PPM 242984,7.18
OA 283,PPM 242987,1.66
OA 284,PPM 242988,1.29
OA 285,PPM 242991,1.72
OA 286,PPM 209018,3.94
OA 287,PPM 209020,6.51
OA 288,PPM 209019,0.57
OA 289,PPM 209022,2.29
OA 290,PPM 209025,4.27
OA 291,PPM 209030,1.28
OA 292,PPM 243002,3.31
OA 293,PPM 243001,2.50
OA 294,PPM 243006,2.83
OA 295,PPM 243005,2.47
OA 296,PPM 243016,6.04
OA 297,PPM 209042,6.29
OA 299,PPM 243018,6.17
OA 300,PPM 209044,2.95
OA 301,PPM 243021,4.04
OA 302,PPM 243022,4.57
OA 303,PPM 243024,4.51
OA 304,PPM 243025,3.13
OA 305,PPM 243027,9.00
OA 306,PPM 209059,0.77
OA 307,PPM 209063,1.58
OA 308,PPM 243039,2.88
OA 309,PPM 209078,4.49
OA 311,PPM 243051,2.69
OA 312,PPM 243047,6.07
OA 314,PPM 209085,1.90
OA 315,PPM 243053,2.54
OA 316,PPM 243056,2.10
OA 317,PPM 243061,4.07
OA 318,PPM 209099,0.67
OA 319,PPM 243062,1.47
OA 321,PPM 209101,2.07
OA 322,PPM 243065,3.18
OA 323,PPM 209104,1.82
OA 325,PPM 243067,2.68
OA 326,PPM 243070,3.85
OA 327,PPM 243072,2.04
OA 328,PPM 243078,3.68
OA 329,PPM 243076,9.02
OA 331,PPM 209113,4.65
OA 332,PPM 243081,3.28
OA 335,PPM 243089,2.67
OA 336,PPM 209121,4.81
OA 337,PPM 243093,15.40
OA 338,PPM 209123,2.10
OA 340,PPM 243101,0.91
OA 342,PPM 209141,0.99
OA 343,PPM 209142,4.48
OA 345,PPM 243110,2.60
OA 347,PPM 209143,3.46
OA 348,PPM 243108,4.99
OA 349,PPM 243109,15.19
OA 350,PPM 243111,4.82
OA 352,PPM 243113,5.29
OA 353,PPM 243117,2.11
OA 354,PPM 243118,8.70
OA 355,PPM 209158,11.25
OA 356,PPM 243124,1.77
OA 358,PPM 243125,0.73
OA 359,PPM 209170,1.43
OA 360,PPM 243127,2.82
OA 361,PPM 209177,4.09
OA 363,PPM 243137,4.32
OA 364,PPM 243139,13.61
OA 366,PPM 209187,5.26
OA 368,PPM 243146,4.51
OA 369,PPM 243148,1.58
OA 370,PPM 209195,4.18
OA 371,PPM 243149,5.48
OA 372,PPM 243153,2.99
OA 373,PPM 209199,4.77
OA 374,PPM 243158,3.40
OA 375,PPM 243160,3.08
OA 376,PPM 209204,7.73
OA 377,PPM 243163,2.48
OA 378,PPM 209214,2.72
OA 380,PPM 276305,9.23
OA 381,PPM 243172,4.89
OA 383,PPM 209228,0.57
OA 384,PPM 276314,7.89
OA 385,PPM 243176,1.27
OA 387,PPM 243178,2.06
OA 388,PPM 243179,3.49
OA 389,PPM 209236,3.52
OA 390,PPM 243183,0.61
OA 392,PPM 243185,3.66
OA 394,PPM 209243,1.98
OA 395,PPM 243192,0.84
OA 396,PPM 243201,2.62
OA 397,PPM 209258,1.51
OA 399,PPM 243199,3.77
OA 401,PPM 209265,2.06
OA 402,PPM 243206,0.17
OA 403,PPM 243215,1.06
OA 405,PPM 243214,1.98
OA 407,PPM 209272,3.30
OA 408,PPM 243227,8.65
OA 409,PPM 209278,5.64
OA 410,PPM 276362,4.36
OA 411,PPM 209281,3.62
OA 412,PPM 209283,5.83
OA 413,PPM 209288,5.12
OA 414,PPM 209291,5.34
OA 415,PPM 243233,7.39
OA 417,PPM 243232,2.97
OA 418,PPM 243234,11.29
OA 419,PPM 243238,1.90
OA 420,PPM 243244,1.23
OA 422,PPM 243243,5.59
OA 423,PPM 209307,3.74
OA 424,PPM 243246,3.27
OA 425,PPM 243252,2.78
OA 426,PPM 243250,4.84
OA 428,PPM 209324,2.61
OA 429,PPM 243258,1.24
OA 430,PPM 209326,3.44
OA 431,PPM 209329,3.36
OA 432,PPM 243261,4.20
OA 435,PPM 243264,5.64
OA 438,PPM 243270,18.80
OA 439,PPM 243275,2.85
OA 440,PPM 243277,4.01
OA 442,PPM 243283,0.51
OA 443,PPM 243280,2.92
OA 444,PPM 243281,2.54
OA 445,PPM 243282,0.75
OA 446,PPM 209345,1.40
OA 447,PPM 243285,1.59
OA 448,PPM 209347,3.68
OA 449,PPM 243288,1.30
OA 450,PPM 209355,4.99
OA 451,PPM 243290,4.48
OA 437,PPM 243294,4.12
OA 453,PPM 209363,3.36
OA 454,PPM 243299,2.51
OA 455,PPM 243302,9.35
OA 456,PPM 209369,6.39
OA 457,PPM 209371,0.29
OA 458,PPM 243309,10.67
OA 459,PPM 243312,4.65
OA 461,PPM 209376,1.47
OA 462,PPM 243315,7.20
OA 463,PPM 209388,3.10
OA 464,PPM 243324,0.86
OA 466,PPM 209396,3.42
OA 467,PPM 243330,4.59
OA 468,PPM 243328,6.00
OA 470,PPM 209404,4.68
OA 471,PPM 243334,5.10
OA 472,PPM 209414,0.46
OA 473,PPM 243338,2.57
OA 474,PPM 243337,3.24
OA 475,PPM 243339,2.90
OA 477,PPM 209419,4.15
OA 478,PPM 243343,2.01
OA 479,PPM 243346,1.85
OA 480,PPM 209426,4.90
OA 481,PPM 276466,3.34
OA 483,PPM 209432,2.34
OA 484,PPM 243350,2.84
OA 485,PPM 243352,0.28
OA 486,PPM 209440,1.14
OA 487,PPM 243358,2.17
OA 490,PPM 243361,4.73
OA 491,PPM 243365,2.13
OA 492,PPM 209459,5.25
OA 493,PPM 243363,6.28
OA 495,PPM 243366,8.08
OA 496,PPM 243368,1.79
OA 497,PPM 209461,0.67
OA 498,PPM 209462,5.40
OA 500,PPM 243381,1.45
OA 501,PPM 243382,4.23
OA 502,PPM 243383,7.97
OA 505,PPM 209478,3.66
OA 506,PPM 209480,1.77
OA 507,PPM 243394,3.50
OA 508,PPM 243396,1.76
OA 509,PPM 209497,4.10
OA 511,PPM 209496,3.44
OA 512,PPM 243398,4.90
OA 513,PPM 209493,3.22
OA 515,PPM 209499,1.91
OA 516,PPM 243404,5.53
OA 518,PPM 243408,3.27
OA 519,PPM 243418,10.15
OA 520,PPM 243419,4.95
OA 522,PPM 209520,13.32
OA 523,PPM 209521,2.67
OA 524,PPM 243421,0.65
OA 525,PPM 209525,0.55
OA 526,PPM 209526,4.28
OA 527,PPM 209528,1.33
OA 528,PPM 243425,18.70
OA 529,PPM 243428,7.25
OA 531,PPM 209540,1.75
OA 532,PPM 209545,3.26
OA 533,PPM 243432,8.92
OA 534,PPM 243438,3.51
OA 535,PPM 243434,4.50
OA 536,PPM 243439,6.38
OA 538,PPM 243441,4.22
OA 539,PPM 243442,3.76
OA 541,PPM 243444,4.44
OA 542,PPM 243443,5.98
OA 543,PPM 209554,2.55
OA 544,PPM 209560,4.87
OA 545,PPM 209564,0.97
OA 546,PPM 243446,4.32
OA 548,PPM 209570,4.49
OA 549,PPM 209568,4.50
OA 550,PPM 209574,2.82
OA 551,PPM 243452,3.30
OA 552,PPM 209582,11.17
OA 553,PPM 243458,9.05
OA 554,PPM 243462,2.18
OA 555,PPM 209592,3.36
OA 557,PPM 243467,19.13
OA 558,PPM 243464,5.92
OA 559,PPM 209594,2.41
OA 561,PPM 243468,2.60
OA 562,PPM 243476,3.15
OA 565,PPM 209604,1.23
OA 567,PPM 209605,3.90
OA 569,PPM 243479,2.71
OA 570,PPM 243483,3.59
OA 571,PPM 243481,2.94
OA 572,PPM 243484,1.62
OA 574,PPM 243485,8.19
OA 575,PPM 243487,10.42
OA 576,PPM 209611,4.19
OA 577,PPM 243495,7.35
OA 578,PPM 243498,3.04
OA 579,PPM 209624,13.55
OA 580,PPM 209629,1.61
OA 581,PPM 209633,0.80
OA 582,PPM 243501,3.45
OA 584,PPM 209641,3.31
OA 585,PPM 243506,1.00
OA 586,PPM 209651,4.33
OA 589,PPM 243509,1.45
OA 590,PPM 243513,1.72
OA 592,PPM 243524,3.71
OA 594,PPM 209668,3.71
OA 595,PPM 243528,1.15
OA 596,PPM 243531,3.85
OA 597,PPM 243529,3.31
OA 598,PPM 209677,1.70
OA 599,PPM 209687,3.78
OA 600,PPM 209689,3.50
OA 601,PPM 209696,7.99
OA 602,PPM 243544,3.73
OA 603,PPM 243543,9.04
OA 604,PPM 209702,15.68
OA 605,PPM 243550,11.57
