index1,index2,dist
1G Ant,CD -34°5895,19.09
epsilon Ant,CD -35°5724,14.73
3G Ant,CD -26°7117,6.58
4G Ant,CD -37°5817,19.35
5G Ant,CD -27°6651,18.77
6G Ant,CD -30°7611,21.40
7G Ant,CD -28°7348,15.99
zeta1 Ant,CD -31°7355,8.78
zeta2 Ant,CD -31°7369,6.14
11G Ant,CD -35°5751,20.50
S Ant,CD -28°7373,28.07
13G Ant,CD -38°5676,18.93
14G Ant,CD -35°5803,12.06
15G Ant,CD -24°8263,36.64
16G Ant,CD -24°8272,5.45
17G Ant,CD -31°7458,13.04
18G Ant,CD -35°5833,36.08
19G Ant,CD -39°5697,24.03
20G Ant,CD -32°6646,6.13
21G Ant,CD -29°7712,42.18
22G Ant,CD -34°6097,6.12
theta Ant,CD -27°6881,30.12
24G Ant,CD -38°5850,19.31
25G Ant,CD -29°7758,14.35
26G Ant,CD -32°6709,6.13
27G Ant,CD -35°5917,7.04
28G Ant,CD -32°6725,18.69
29G Ant,CD -32°6749,7.10
30G Ant,CD -25°7510,15.27
31G Ant,CD -36°5955,14.54
32G Ant,CD -35°5961,3.65
33G Ant,CD -26°7505,25.31
34G Ant,CD -27°7035,36.61
35G Ant,CD -30°8043,6.14
36G Ant,CD -32°6895,17.40
37G Ant,CD -26°7551,24.59
eta Ant,CD -35°6050,12.06
39G Ant,CD -29°8034,42.02
40G Ant,CD -32°7009,13.02
41G Ant,CD -27°7179,11.07
42G Ant,CD -27°7183,1.33
43G Ant,CD -39°6100,15.17
44G Ant,CD -35°6130,10.42
45G Ant,CD -34°6405,7.78
46G Ant,CD -32°7040,24.81
47G Ant,CD -30°8169,12.61
48G Ant,CD -36°6156,12.06
49G Ant,CD -35°6194,24.03
R Ant,CD -37°6338,20.97
51G Ant,CD -38°6249,48.00
52G Ant,CD -33°6736,1.25
53G Ant,CD -27°7266,24.04
54G Ant,CD -32°7158,1.27
55G Ant,CD -39°6222,6.92
56G Ant,CD -39°6225,24.00
57G Ant,CD -38°6302,19.79
58G Ant,CD -35°6260,17.08
59G Ant,CD -28°8070,18.76
60G Ant,CD -36°6281,45.76
61G Ant,CD -33°6863,15.59
62G Ant,CD -31°8175,8.78
63G Ant,CD -29°8306,24.32
64G Ant,CD -37°6509,54.21
65G Ant,CD -37°6528,9.31
66G Ant,CD -38°6472,6.95
alpha Ant,CD -30°8465,18.41
delta Ant,CD -29°8383,31.75
69G Ant,CD -39°6488,24.44
70G Ant,CD -36°6485,18.98
U Ant,CD -38°6579,10.50
72G Ant,CD -32°7479,36.79
73G Ant,CD -31°8383,12.60
74G Ant,CD -35°6590,36.08
75G Ant,CD -36°6565,25.08
76G Ant,CD -35°6646,42.07
77G Ant,CD -35°6656,60.05
78G Ant,CD -32°7572,1.27
