index1,index2,dist
1G Ant,CPD -34°3539,3.71
epsilon Ant,CPD -35°3546,2.45
3G Ant,CPD -26°3958,5.39
4G Ant,CPD -37°3549,2.37
5G Ant,CPD -27°3782,14.57
6G Ant,CPD -31°2747,11.57
7G Ant,CPD -28°3757,13.22
zeta1 Ant,CPD -31°2750,11.53
zeta2 Ant,CPD -31°2757,2.56
11G Ant,CPD -35°3586,6.48
S Ant,CPD -28°3764,6.00
13G Ant,CPD -38°3438,11.73
14G Ant,CPD -35°3643,1.22
15G Ant,CPD -24°4141,8.12
16G Ant,CPD -24°4144,5.45
17G Ant,CPD -31°2797,3.83
18G Ant,CPD -35°3670,0.00
19G Ant,CPD -39°3779,4.66
20G Ant,CPD -32°2678,11.73
21G Ant,CPD -29°3077,2.60
22G Ant,CPD -34°3707,3.69
theta Ant,CPD -27°3851,17.10
24G Ant,CPD -38°3586,4.66
25G Ant,CPD -29°3094,2.61
26G Ant,CPD -32°2710,8.89
27G Ant,CPD -35°3737,6.12
28G Ant,CPD -32°2715,11.72
29G Ant,CPD -32°2722,10.68
30G Ant,CPD -25°4274,6.58
31G Ant,CPD -36°3909,7.00
32G Ant,CPD -35°3778,9.46
33G Ant,CPD -26°4079,17.16
34G Ant,CPD -27°3913,8.02
35G Ant,CPD -30°2999,8.82
36G Ant,CPD -32°2771,11.73
eta Ant,CPD -35°3857,7.74
39G Ant,CPD -29°3171,3.90
40G Ant,CPD -32°2806,3.79
41G Ant,CPD -27°3981,14.41
42G Ant,CPD -27°3985,5.32
43G Ant,CPD -39°4171,8.34
44G Ant,CPD -35°3929,0.00
45G Ant,CPD -34°3901,7.06
46G Ant,CPD -32°2814,3.78
47G Ant,CPD -30°3042,0.00
48G Ant,CPD -36°4099,12.37
49G Ant,CPD -35°3974,0.00
R Ant,CPD -37°3982,9.57
51G Ant,CPD -38°3931,2.35
52G Ant,CPD -33°2834,11.65
53G Ant,CPD -27°4055,8.94
54G Ant,CPD -32°2849,16.46
55G Ant,CPD -39°4264,6.00
56G Ant,CPD -39°4270,7.57
57G Ant,CPD -38°3977,7.62
58G Ant,CPD -35°4023,0.00
59G Ant,CPD -28°4082,5.28
60G Ant,CPD -36°4222,18.16
61G Ant,CPD -33°2867,2.49
62G Ant,CPD -31°3030,10.80
63G Ant,CPD -29°3233,9.87
64G Ant,CPD -37°4123,7.66
65G Ant,CPD -37°4146,11.87
66G Ant,CPD -38°4129,6.11
alpha Ant,CPD -30°3121,6.14
delta Ant,CPD -29°3260,6.50
69G Ant,CPD -39°4512,3.47
70G Ant,CPD -36°4420,6.46
U Ant,CPD -38°4227,6.00
72G Ant,CPD -32°2925,5.05
73G Ant,CPD -31°3076,6.42
74G Ant,CPD -35°4268,2.46
75G Ant,CPD -36°4490,12.24
76G Ant,CPD -35°4320,7.75
77G Ant,CPD -35°4325,7.75
78G Ant,CPD -32°2953,0.00
79G Ant,CPD -36°4561,3.63
80G Ant,CPD -33°2973,6.50
81G Ant,CPD -34°4361,2.46
82G Ant,CPD -35°4484,3.65
83G Ant,CPD -38°4450,7.08
iota Ant,CPD -36°4700,8.51
85G Ant,CPD -35°4592,3.68
1G Aps,CPD -72°1452,6.41
2G Aps,CPD -72°1455,0.00
3G Aps,CPD -77°922,0.00
theta Aps,CPD -76°799,6.99
5G Aps,CPD -74°1142,12.67
eta Aps,CPD -80°706,2.50
7G Aps,CPD -77°940,12.12
8G Aps,CPD -82°601,4.04
epsilon Aps,CPD -79°755,2.73
10G Aps,CPD -73°1267,6.37
11G Aps,CPD -76°826,6.99
12G Aps,CPD -76°848,3.86
13G Aps,CPD -74°1218,6.32
alpha Aps,CPD -78°893,8.47
15G Aps,CPD -76°894,6.04
16G Aps,CPD -74°1246,6.01
17G Aps,CPD -72°1604,12.52
R Aps,CPD -76°924,6.01
19G Aps,CPD -76°931,6.35
20G Aps,CPD -74°1281,1.20
21G Aps,CPD -70°1891,1.47
22G Aps,CPD -79°795,6.56
