index1,index2,dist
USNO 1,CD -38°7,37.24
USNO 2,CD -23°7,29.00
USNO 7,CD -23°13,9.84
USNO 12,CD -34°17,11.28
USNO 22,CD -35°20,2.98
USNO 26,CD -22°13,11.90
USNO 28,CD -28°16,5.48
USNO 34,CD -26°35,14.69
USNO 39,CD -22°24,19.80
USNO 43,CD -35°36,10.46
USNO 47,CD -33°35,8.54
USNO 48,CD -28°26,23.37
USNO 51,CD -35°42,27.89
USNO 54,CD -42°32,0.48
USNO 58,CD -27°37,9.97
USNO 62,CD -43°30,8.70
USNO 70,CD -43°32,7.73
USNO 71,CD -27°38,40.03
USNO 72,CD -38°40,12.48
USNO 77,CD -23°52,9.53
USNO 78,CD -26°57,7.69
USNO 89,CD -32°66,8.07
USNO 90,CD -35°65,2.08
USNO 92,CD -32°69,16.61
USNO 96,CD -41°55,4.88
USNO 98,CD -35°69,21.31
USNO 101,CD -32°72,28.76
USNO 106,CD -33°71,7.50
USNO 110,CD -33°73,4.78
USNO 123,CD -30°79,8.87
USNO 135,CD -25°96,29.66
USNO 139,CD -36°100,13.79
USNO 140,CD -33°95,19.80
USNO 142,CD -24°103,2.66
USNO 148,CD -30°91,6.09
USNO 149,CD -39°72,5.82
USNO 152,CD -36°104,6.01
USNO 154,CD -29°86,34.97
USNO 158,CD -23°111,20.71
USNO 166,CD -36°112,20.58
USNO 167,CD -39°83,2.71
USNO 168,CD -38°93,18.77
USNO 170,CD -31°138,63.39
USNO 171,CD -30°101,8.15
USNO 172,CD -38°105,17.89
USNO 173,CD -24°122,37.19
USNO 174,CD -29°106,27.65
USNO 180,CD -24°128,7.80
USNO 181,CD -31°154,12.76
USNO 185,CD -39°92,8.33
USNO 187,CD -22°124,8.49
USNO 188,CD -28°118,18.39
USNO 193,CD -31°162,11.12
USNO 198,CD -22°128,12.49
USNO 199,CD -42°116,5.45
USNO 204,CD -26°138,9.67
USNO 206,CD -32°136,34.21
USNO 210,CD -33°152,22.59
USNO 214,CD -29°126,1.94
USNO 216,CD -36°144,5.70
USNO 217,CD -25°155,29.52
USNO 221,CD -36°149,16.88
USNO 233,CD -24°179,11.77
USNO 244,CD -25°185,9.61
USNO 249,CD -26°160,32.67
USNO 256,CD -26°164,5.18
USNO 258,CD -30°156,21.74
USNO 259,CD -39°128,4.28
USNO 261,CD -35°170,9.13
USNO 262,CD -35°170,12.79
USNO 266,CD -32°183,21.35
USNO 275,CD -26°171,6.99
USNO 283,CD -27°169,16.68
USNO 285,CD -23°220,1.32
USNO 292,CD -38°185,19.60
USNO 296,CD -25°221,14.49
USNO 298,CD -25°222,35.72
USNO 301,CD -25°225,21.23
USNO 309,CD -30°178,11.82
USNO 312,CD -42°198,2.91
USNO 313,CD -25°233,8.87
USNO 314,CD -32°217,7.42
USNO 316,CD -25°234,7.34
USNO 324,CD -25°245,10.95
USNO 326,CD -42°209,3.09
USNO 327,CD -34°224,14.89
USNO 331,CD -24°263,18.96
USNO 335,CD -30°195,20.99
USNO 343,CD -25°264,6.78
USNO 357,CD -36°241,1.75
USNO 358,CD -39°175,4.33
USNO 368,CD -39°181,10.22
USNO 369,CD -27°223,50.65
USNO 371,CD -22°239,9.15
USNO 374,CD -32°274,6.85
USNO 383,CD -23°293,5.70
USNO 390,CD -30°228,9.05
USNO 400,CD -37°273,5.26
USNO 401,CD -32°302,14.86
USNO 406,CD -22°261,18.14
USNO 407,CD -30°240,20.97
USNO 416,CD -29°225,12.73
USNO 417,CD -24°339,30.46
USNO 423,CD -24°345,24.13
USNO 428,CD -23°315,40.38
USNO 429,CD -24°346,26.14
USNO 432,CD -24°347,13.64
USNO 435,CD -24°351,6.17
USNO 447,CD -39°208,28.23
USNO 457,CD -24°376,30.34
USNO 462,CD -31°325,12.97
USNO 466,CD -25°338,4.28
USNO 467,CD -25°338,2.13
USNO 481,CD -33°337,8.19
USNO 490,CD -25°355,10.50
USNO 496,CD -28°288,12.50
USNO 497,CD -27°299,21.61
USNO 501,CD -26°303,9.48
USNO 511,CD -27°308,16.19
USNO 516,CD -30°297,16.97
USNO 523,CD -35°336,9.39
USNO 529,CD -26°326,6.57
USNO 536,CD -34°387,11.40
USNO 537,CD -39°260,14.13
USNO 539,CD -38°344,7.36
USNO 547,CD -32°410,10.30
USNO 553,CD -24°457,41.69
USNO 554,CD -24°458,29.64
USNO 557,CD -23°383,7.73
USNO 558,CD -28°322,37.30
USNO 559,CD -30°325,1.44
USNO 562,CD -32°412,8.16
USNO 566,CD -34°411,17.60
USNO 572,CD -28°336,13.35
USNO 573,CD -27°352,34.15
USNO 578,CD -27°353,5.63
USNO 581,CD -27°355,13.10
USNO 583,CD -24°484,15.62
USNO 588,CD -36°417,7.08
USNO 590,CD -25°438,26.07
USNO 591,CD -24°496,26.77
USNO 596,CD -28°348,56.94
USNO 599,CD -33°409,14.55
USNO 616,CD -26°377,17.90
USNO 623,CD -32°469,10.25
USNO 634,CD -35°420,15.06
USNO 636,CD -36°460,12.90
USNO 645,CD -24°540,4.36
USNO 654,CD -34°483,28.14
USNO 666,CD -29°411,31.78
USNO 679,CD -29°422,9.51
USNO 688,CD -37°516,22.82
USNO 693,CD -25°555,23.82
USNO 697,CD -32°548,16.36
USNO 701,CD -29°447,69.51
USNO 715,CD -22°503,15.97
USNO 723,CD -22°507,3.56
USNO 724,CD -27°495,15.68
USNO 727,CD -25°597,5.77
USNO 728,CD -30°490,14.05
USNO 729,CD -37°564,11.81
USNO 735,CD -26°502,4.30
USNO 743,CD -30°506,2.18
USNO 744,CD -28°475,28.25
USNO 745,CD -24°651,8.76
USNO 748,CD -27°522,12.60
USNO 749,CD -27°522,8.74
USNO 754,CD -24°658,18.01
USNO 755,CD -37°589,7.24
USNO 761,CD -29°508,2.74
USNO 763,CD -28°489,6.77
USNO 764,CD -28°490,15.93
USNO 765,CD -24°666,2.59
USNO 768,CD -35°552,35.05
USNO 769,CD -32°613,15.76
USNO 770,CD -24°669,12.11
USNO 771,CD -30°529,5.04
USNO 772,CD -30°530,8.50
USNO 780,CD -30°540,15.51
USNO 784,CD -32°623,39.27
USNO 795,CD -37°620,1.58
USNO 796,CD -25°670,12.75
USNO 797,CD -32°639,35.12
USNO 806,CD -29°542,4.79
USNO 812,CD -23°620,8.95
USNO 825,CD -34°661,12.41
USNO 832,CD -32°666,13.16
USNO 842,CD -29°564,52.71
USNO 846,CD -26°621,10.66
USNO 848,CD -27°592,1.38
USNO 849,CD -25°704,10.36
USNO 850,CD -26°622,19.37
USNO 851,CD -36°664,30.68
USNO 852,CD -26°623,9.85
USNO 853,CD -27°595,12.95
USNO 871,CD -26°642,7.00
USNO 882,CD -29°602,6.82
USNO 886,CD -39°553,6.49
USNO 887,CD -23°678,10.43
USNO 898,CD -23°686,0.76
USNO 909,CD -26°675,19.05
USNO 915,CD -39°573,14.44
USNO 922,CD -27°665,3.65
USNO 923,CD -29°646,15.53
USNO 925,CD -25°763,17.85
USNO 926,CD -36°737,19.14
USNO 928,CD -23°721,17.04
USNO 933,CD -26°703,11.53
USNO 943,CD -23°737,5.74
USNO 944,CD -23°737,6.09
USNO 945,CD -41°546,24.08
USNO 946,CD -27°688,17.01
USNO 947,CD -24°840,20.84
USNO 951,CD -41°552,22.51
USNO 952,CD -25°789,29.47
USNO 955,CD -41°556,25.79
USNO 958,CD -30°703,18.82
USNO 960,CD -26°723,27.47
USNO 965,CD -22°684,8.11
USNO 966,CD -27°713,15.27
USNO 967,CD -24°872,17.65
USNO 968,CD -22°687,21.04
USNO 971,CD -25°805,14.57
USNO 977,CD -29°706,7.78
USNO 998,CD -28°675,23.34
USNO 1004,CD -23°799,55.08
USNO 1007,CD -24°921,7.24
USNO 1009,CD -29°752,10.22
USNO 1013,CD -28°692,31.33
USNO 1017,CD -28°694,5.89
USNO 1023,CD -38°725,33.25
USNO 1034,CD -29°767,12.22
USNO 1036,CD -29°770,34.75
USNO 1041,CD -29°784,8.52
USNO 1048,CD -24°980,17.11
USNO 1050,CD -23°840,14.31
USNO 1054,CD -27°780,11.51
USNO 1080,CD -26°828,31.48
USNO 1084,CD -24°1023,24.76
USNO 1096,CD -28°752,17.31
USNO 1097,CD -24°1038,20.06
USNO 1102,CD -30°852,15.99
USNO 1103,CD -27°827,13.30
USNO 1111,CD -26°857,21.58
USNO 1115,CD -22°811,24.94
USNO 1117,CD -24°1074,18.09
USNO 1122,CD -24°1076,4.49
USNO 1125,CD -24°1082,28.67
USNO 1134,CD -26°882,21.25
USNO 1136,CD -34°905,11.71
USNO 1140,CD -31°990,25.80
USNO 1141,CD -23°932,27.65
USNO 1144,CD -27°871,4.62
USNO 1147,CD -24°1106,10.50
USNO 1150,CD -23°942,13.12
USNO 1152,CD -25°979,12.77
USNO 1155,CD -23°947,37.31
USNO 1157,CD -33°849,59.68
USNO 1164,CD -23°957,4.68
USNO 1165,CD -33°860,12.11
USNO 1166,CD -27°882,5.21
USNO 1173,CD -28°819,44.94
USNO 1174,CD -28°819,46.88
USNO 1176,CD -22°874,33.89
USNO 1178,CD -33°870,13.42
USNO 1189,CD -29°935,4.81
USNO 1191,CD -27°900,13.71
USNO 1194,CD -30°958,14.90
USNO 1195,CD -24°1157,6.82
USNO 1200,CD -29°951,20.38
USNO 1201,CD -35°903,5.20
USNO 1203,CD -23°998,11.18
USNO 1205,CD -34°956,11.94
USNO 1207,CD -26°953,6.96
USNO 1208,CD -31°1072,8.71
USNO 1213,CD -28°848,18.02
USNO 1215,CD -26°958,16.08
USNO 1224,CD -31°1081,11.51
USNO 1225,CD -24°1196,6.09
USNO 1231,CD -28°869,36.38
USNO 1234,CD -38°894,12.37
USNO 1235,CD -28°870,14.90
USNO 1242,CD -28°875,21.56
USNO 1243,CD -28°878,3.72
USNO 1244,CD -26°996,10.62
USNO 1250,CD -25°1099,14.05
USNO 1256,CD -23°1061,12.62
USNO 1263,CD -25°1114,9.52
USNO 1264,CD -34°1016,5.36
USNO 1269,CD -32°1025,10.31
USNO 1272,CD -31°1133,43.02
USNO 1273,CD -25°1120,31.09
USNO 1276,CD -28°903,15.40
USNO 1279,CD -23°1086,25.10
USNO 1281,CD -30°1072,59.42
USNO 1282,CD -31°1148,45.80
USNO 1286,CD -22°982,26.28
USNO 1288,CD -22°984,6.56
USNO 1290,CD -41°827,34.00
USNO 1292,CD -23°1106,13.58
USNO 1297,CD -23°1110,12.17
USNO 1303,CD -31°1162,17.83
USNO 1308,CD -25°1160,18.81
USNO 1312,CD -23°1122,3.88
USNO 1321,CD -25°1168,4.70
USNO 1322,CD -25°1169,18.98
USNO 1323,CD -24°1336,2.40
USNO 1331,CD -27°1043,13.21
USNO 1335,CD -34°1071,10.86
USNO 1336,CD -25°1191,25.19
USNO 1337,CD -33°1042,6.75
USNO 1339,CD -28°982,10.97
USNO 1344,CD -28°987,34.52
USNO 1348,CD -24°1387,20.07
USNO 1355,CD -23°1200,21.58
USNO 1358,CD -34°1098,16.72
USNO 1359,CD -26°1132,26.12
USNO 1368,CD -30°1185,14.73
USNO 1370,CD -32°1159,48.25
USNO 1371,CD -28°1028,12.13
USNO 1373,CD -30°1195,22.97
USNO 1381,CD -28°1038,11.02
USNO 1390,CD -24°1480,12.61
USNO 1395,CD -29°1177,19.51
USNO 1400,CD -32°1194,44.67
USNO 1405,CD -28°1067,18.77
USNO 1406,CD -29°1183,52.48
USNO 1407,CD -30°1238,3.77
USNO 1412,CD -26°1210,20.38
USNO 1416,CD -28°1075,32.65
USNO 1421,CD -31°1303,11.42
USNO 1426,CD -23°1308,19.44
USNO 1427,CD -26°1228,4.03
USNO 1431,CD -22°1146,15.51
USNO 1439,CD -22°1154,9.44
USNO 1440,CD -24°1578,10.08
USNO 1447,CD -24°1586,13.75
USNO 1449,CD -26°1246,31.53
USNO 1450,CD -27°1183,18.13
USNO 1451,CD -24°1600,35.61
USNO 1454,CD -26°1257,23.61
USNO 1463,CD -28°1126,1.77
USNO 1474,CD -27°1216,6.82
USNO 1477,CD -27°1228,16.71
USNO 1480,CD -29°1268,66.11
USNO 1487,CD -36°1306,10.11
USNO 1492,CD -36°1310,22.96
USNO 1498,CD -23°1412,19.59
USNO 1500,CD -22°1214,13.90
USNO 1504,CD -28°1171,19.93
USNO 1508,CD -33°1258,12.43
USNO 1509,CD -26°1333,28.25
USNO 1514,CD -25°1452,24.62
USNO 1515,CD -26°1336,21.18
USNO 1522,CD -31°1449,4.67
USNO 1526,CD -26°1348,26.15
USNO 1527,CD -32°1358,23.15
USNO 1533,CD -23°1460,2.21
USNO 1543,CD -22°1259,20.78
USNO 1546,CD -31°1479,20.54
USNO 1548,CD -28°1225,34.69
USNO 1554,CD -28°1235,7.25
USNO 1556,CD -34°1355,27.29
USNO 1560,CD -28°1241,38.55
USNO 1580,CD -25°1513,8.47
USNO 1583,CD -23°1522,35.69
USNO 1594,CD -32°1430,12.24
USNO 1615,CD -31°1514,23.04
USNO 1620,CD -22°1297,18.06
USNO 1630,CD -29°1401,26.03
USNO 1645,CD -23°1547,2.45
USNO 1703,CD -29°1413,7.73
USNO 1705,CD -23°1565,13.13
USNO 1727,CD -24°1877,24.71
USNO 1731,CD -26°1434,14.11
USNO 1740,CD -26°1440,24.22
USNO 1742,CD -27°1411,18.63
USNO 1744,CD -32°1487,4.34
USNO 1750,CD -31°1570,28.38
USNO 1758,CD -22°1366,21.98
USNO 1764,CD -24°1945,24.72
USNO 1766,CD -23°1619,5.96
USNO 1771,CD -28°1326,26.11
USNO 1775,CD -26°1478,20.38
USNO 1776,CD -26°1479,7.37
USNO 1779,CD -26°1480,11.21
USNO 1782,CD -30°1564,9.34
USNO 1783,CD -25°1653,6.39
USNO 1787,CD -28°1353,10.08
USNO 1792,CD -29°1517,17.04
USNO 1795,CD -24°2022,8.82
USNO 1797,CD -27°1497,14.40
USNO 1799,CD -30°1597,3.64
USNO 1800,CD -22°1424,19.04
USNO 1801,CD -26°1521,4.06
USNO 1807,CD -28°1379,15.59
USNO 1808,CD -34°1491,10.37
USNO 1811,CD -27°1517,8.11
USNO 1814,CD -26°1534,44.95
USNO 1815,CD -26°1535,14.74
USNO 1824,CD -30°1636,6.48
USNO 1826,CD -30°1638,16.44
USNO 1831,CD -27°1540,12.08
USNO 1833,CD -31°1687,9.67
USNO 1834,CD -23°1739,20.69
USNO 1836,CD -31°1697,49.38
USNO 1837,CD -27°1560,20.39
USNO 1843,CD -25°1748,33.11
USNO 1846,CD -28°1423,32.90
USNO 1849,CD -25°1754,11.78
USNO 1854,CD -26°1583,33.58
USNO 1855,CD -34°1545,18.22
USNO 1856,CD -25°1763,17.93
USNO 1866,CD -27°1599,32.49
USNO 1868,CD -24°2153,29.54
USNO 1869,CD -28°1453,29.81
USNO 1873,CD -23°1810,19.82
USNO 1878,CD -33°1614,10.82
USNO 1880,CD -31°1744,8.80
USNO 1883,CD -30°1710,9.60
USNO 1884,CD -32°1671,14.73
USNO 1892,CD -30°1719,23.91
USNO 1896,CD -23°1836,8.77
USNO 1897,CD -22°1545,15.11
USNO 1905,CD -30°1734,6.25
USNO 1906,CD -39°1410,7.18
USNO 1911,CD -34°1613,3.69
USNO 1912,CD -23°1856,38.41
USNO 1914,CD -27°1650,22.79
USNO 1915,CD -23°1866,14.44
USNO 1919,CD -34°1622,11.30
USNO 1920,CD -31°1794,22.30
