index1,index2,dist
USNO 1,PPM 275709,2.86
USNO 2,PPM 242523,0.48
USNO 3,PPM 208366,0.67
USNO 4,PPM 65028,0.40
USNO 5,PPM 181879,0.47
USNO 6,PPM 174673,3.92
USNO 7,PPM 242530,2.54
USNO 8,PPM 65029,1.07
USNO 9,PPM 208374,1.18
USNO 10,PPM 25034,3.19
USNO 11,PPM 65032,2.12
USNO 12,PPM 275726,0.75
USNO 13,PPM 181887,0.72
USNO 14,PPM 89441,1.55
USNO 15,PPM 208392,1.15
USNO 16,PPM 143173,1.67
USNO 17,PPM 143175,0.57
USNO 18,PPM 208393,1.80
USNO 19,PPM 25046,2.62
USNO 20,PPM 143184,3.78
USNO 21,PPM 143187,2.76
USNO 22,PPM 275737,2.54
USNO 23,PPM 143189,1.93
USNO 24,PPM 25054,5.98
USNO 25,PPM 116170,1.51
USNO 26,PPM 242549,1.74
USNO 27,PPM 116175,0.69
USNO 28,PPM 242561,2.16
USNO 29,PPM 143198,4.37
USNO 30,PPM 208418,1.80
USNO 31,PPM 116191,1.95
USNO 32,PPM 181921,0.74
USNO 33,PPM 143206,2.07
USNO 34,PPM 242571,1.21
USNO 35,PPM 181922,1.18
USNO 36,PPM 181928,0.83
USNO 37,PPM 25084,1.01
USNO 38,PPM 181935,0.55
USNO 39,PPM 242578,2.21
USNO 40,PPM 143220,1.70
USNO 41,PPM 65066,1.22
USNO 42,PPM 65070,1.26
USNO 43,PPM 275777,1.68
USNO 44,PPM 143222,2.54
USNO 45,PPM 143227,2.30
USNO 46,PPM 143233,2.88
USNO 47,PPM 275784,2.44
USNO 48,PPM 242592,1.07
USNO 49,PPM 143234,1.01
USNO 50,PPM 143241,1.12
USNO 51,PPM 275790,2.22
USNO 52,PPM 174680,1.69
USNO 53,PPM 65083,1.45
USNO 54,PPM 304655,2.09
USNO 55,PPM 208476,0.61
USNO 56,PPM 208477,0.92
USNO 57,PPM 65092,2.29
USNO 58,PPM 242608,1.87
USNO 59,PPM 208490,1.68
USNO 60,PPM 65095,0.59
USNO 61,PPM 143258,1.49
USNO 62,PPM 304663,2.44
USNO 63,PPM 65099,1.35
USNO 64,PPM 143260,3.13
USNO 65,PPM 143261,2.21
USNO 66,PPM 143262,3.95
USNO 67,PPM 116243,0.12
USNO 68,PPM 208500,2.47
USNO 69,PPM 208502,2.04
USNO 70,PPM 304671,2.89
USNO 71,PPM 242622,0.73
USNO 72,PPM 275815,0.80
USNO 73,PPM 42707,2.07
USNO 74,PPM 143269,3.29
USNO 75,PPM 143274,1.13
USNO 76,PPM 143275,1.08
USNO 77,PPM 242633,0.94
USNO 78,PPM 242632,1.72
USNO 79,PPM 143280,4.10
USNO 80,PPM 208518,0.76
USNO 81,PPM 174682,0.25
USNO 82,PPM 143281,4.94
USNO 83,PPM 143285,1.67
USNO 84,PPM 143289,2.18
USNO 85,PPM 143290,1.84
USNO 86,PPM 143293,1.95
USNO 87,PPM 143294,7.87
USNO 88,PPM 65127,1.21
USNO 89,PPM 275833,1.59
USNO 90,PPM 275835,1.80
USNO 91,PPM 182030,1.01
USNO 92,PPM 275844,2.62
USNO 93,PPM 4330,0.59
USNO 94,PPM 65134,0.64
USNO 95,PPM 143305,0.62
USNO 96,PPM 304711,2.77
USNO 97,PPM 65138,2.25
USNO 98,PPM 275850,2.53
USNO 99,PPM 143311,2.86
USNO 100,PPM 143313,1.96
USNO 101,PPM 275854,2.74
USNO 102,PPM 208577,0.40
USNO 103,PPM 143320,1.29
USNO 104,PPM 65147,1.13
USNO 105,PPM 65149,0.53
USNO 106,PPM 275862,1.39
USNO 107,PPM 143321,1.36
USNO 108,PPM 65150,0.55
USNO 109,PPM 65153,2.15
USNO 110,PPM 275867,1.69
USNO 112,PPM 65154,2.42
USNO 113,PPM 65156,1.39
USNO 114,PPM 65164,0.89
USNO 115,PPM 143339,3.19
USNO 116,PPM 42798,33.05
USNO 117,PPM 143346,1.07
USNO 118,PPM 182083,0.96
USNO 119,PPM 182084,2.16
USNO 120,PPM 143355,15.16
USNO 121,PPM 65183,0.65
USNO 122,PPM 275891,0.46
USNO 123,PPM 242705,2.89
USNO 124,PPM 208636,2.29
USNO 125,PPM 143358,6.44
USNO 126,PPM 143371,0.25
USNO 127,PPM 143376,2.34
USNO 128,PPM 182115,1.32
USNO 129,PPM 208649,1.81
USNO 130,PPM 65202,0.86
USNO 131,PPM 182117,2.32
USNO 132,PPM 116345,0.70
USNO 133,PPM 65208,4.61
USNO 134,PPM 143387,0.07
USNO 135,PPM 242731,0.57
USNO 136,PPM 208660,0.58
USNO 137,PPM 143388,1.36
USNO 138,PPM 42830,3.20
USNO 139,PPM 275915,2.20
USNO 140,PPM 275917,2.85
USNO 141,PPM 143399,0.63
USNO 142,PPM 242745,2.59
USNO 143,PPM 65222,0.95
USNO 144,PPM 116365,1.71
USNO 145,PPM 42849,2.42
USNO 146,PPM 65225,2.82
USNO 147,PPM 65224,2.13
USNO 148,PPM 242747,1.40
USNO 149,PPM 275926,2.37
USNO 150,PPM 116371,2.53
USNO 151,PPM 208679,1.04
USNO 152,PPM 275935,1.18
USNO 153,PPM 42859,2.33
USNO 154,PPM 242755,0.39
USNO 155,PPM 143416,0.49
USNO 156,PPM 242758,1.56
USNO 157,PPM 174710,1.91
USNO 158,PPM 242762,1.96
USNO 159,PPM 143418,1.84
USNO 160,PPM 65242,1.43
USNO 161,PPM 182173,0.91
USNO 162,PPM 42869,0.97
USNO 163,PPM 143423,2.91
USNO 164,PPM 65251,0.84
USNO 165,PPM 208709,2.04
USNO 166,PPM 275959,1.50
USNO 167,PPM 275960,3.69
USNO 168,PPM 275962,1.90
USNO 169,PPM 65259,29.08
USNO 170,PPM 275965,1.27
USNO 171,PPM 242788,1.58
USNO 172,PPM 275976,2.39
USNO 173,PPM 242800,0.94
USNO 174,PPM 242801,1.24
USNO 175,PPM 182216,2.54
USNO 176,PPM 143460,1.37
USNO 177,PPM 25320,1.65
USNO 178,PPM 143467,2.52
USNO 179,PPM 65280,1.15
USNO 180,PPM 242811,0.66
USNO 181,PPM 275985,3.03
USNO 182,PPM 143479,0.69
USNO 183,PPM 65290,1.02
USNO 184,PPM 65291,0.93
USNO 185,PPM 275989,2.28
USNO 186,PPM 143484,1.68
USNO 187,PPM 242822,1.43
USNO 188,PPM 242824,0.19
USNO 189,PPM 143489,2.20
USNO 190,PPM 182240,2.17
USNO 191,PPM 89756,1.30
USNO 192,PPM 143496,2.27
USNO 193,PPM 276002,1.94
USNO 194,PPM 25350,2.00
USNO 195,PPM 143501,0.15
USNO 196,PPM 143502,0.68
USNO 197,PPM 143503,1.97
USNO 198,PPM 242831,1.41
USNO 199,PPM 304876,2.84
USNO 200,PPM 42947,1.86
USNO 201,PPM 42948,1.08
USNO 202,PPM 182260,1.51
USNO 203,PPM 182264,1.80
USNO 204,PPM 242850,1.02
USNO 205,PPM 143525,1.50
USNO 206,PPM 276030,1.30
USNO 207,PPM 143532,1.18
USNO 208,PPM 242853,0.31
USNO 209,PPM 116482,1.44
USNO 210,PPM 276040,0.35
USNO 211,PPM 143538,5.63
USNO 212,PPM 143539,3.58
USNO 213,PPM 242868,3.68
USNO 214,PPM 242872,0.79
USNO 215,PPM 65357,0.93
USNO 216,PPM 276049,3.50
USNO 217,PPM 242877,1.45
USNO 218,PPM 4399,6.73
USNO 219,PPM 143551,1.33
USNO 221,PPM 276066,2.33
USNO 222,PPM 182321,2.77
USNO 223,PPM 174728,0.43
USNO 224,PPM 89834,1.22
USNO 225,PPM 43007,20.65
USNO 226,PPM 43008,7.98
USNO 227,PPM 104,0.95
USNO 228,PPM 182329,1.18
USNO 229,PPM 143562,1.89
USNO 230,PPM 143567,1.10
USNO 231,PPM 143568,0.79
USNO 232,PPM 174731,0.90
USNO 233,PPM 242897,2.24
USNO 234,PPM 116524,1.25
USNO 235,PPM 43020,1.04
USNO 236,PPM 65390,0.53
USNO 237,PPM 143581,1.21
USNO 238,PPM 116539,1.96
USNO 239,PPM 65399,0.60
USNO 240,PPM 12303,0.65
USNO 241,PPM 143599,0.69
USNO 242,PPM 65414,1.12
USNO 243,PPM 89892,1.29
USNO 244,PPM 242927,0.58
USNO 245,PPM 65416,1.76
USNO 246,PPM 182372,1.12
USNO 247,PPM 143605,1.44
USNO 248,PPM 174739,1.30
USNO 249,PPM 242933,1.30
USNO 250,PPM 182382,0.25
USNO 251,PPM 143616,2.25
USNO 252,PPM 182385,0.67
USNO 253,PPM 12315,2.68
USNO 254,PPM 174741,2.25
USNO 255,PPM 89911,0.42
USNO 256,PPM 242957,1.43
USNO 257,PPM 143622,0.16
USNO 258,PPM 242961,2.01
USNO 259,PPM 276150,2.52
USNO 260,PPM 182392,1.48
USNO 261,PPM 276152,8.94
USNO 262,PPM 276152,13.52
USNO 263,PPM 143627,0.93
USNO 264,PPM 116583,1.65
USNO 265,PPM 143630,0.97
USNO 266,PPM 276160,61.80
USNO 267,PPM 182399,0.90
USNO 268,PPM 182400,2.32
USNO 269,PPM 65442,13.05
USNO 270,PPM 65443,1.57
USNO 271,PPM 143646,0.57
USNO 272,PPM 143647,4.43
USNO 273,PPM 65451,2.48
USNO 274,PPM 182410,1.59
USNO 275,PPM 242981,0.85
USNO 276,PPM 65452,3.06
USNO 277,PPM 143659,1.67
USNO 278,PPM 143658,0.53
USNO 279,PPM 174750,0.48
USNO 280,PPM 143661,5.17
USNO 281,PPM 65461,1.13
USNO 282,PPM 116613,1.48
USNO 283,PPM 242988,0.32
USNO 284,PPM 143671,1.04
USNO 285,PPM 243001,2.47
USNO 286,PPM 143674,1.01
