index1,index2,dist
W 1,CD -29°11,17.52
W 6,CD -22°11,10.97
W 8,CD -24°14,11.99
W 9,CD -26°22,25.57
W 12,CD -22°13,12.27
W 13,CD -26°29,37.33
W 15,CD -29°20,37.70
W 16,CD -28°16,11.43
W 18,CD -22°18,23.99
W 20,CD -22°20,4.94
W 22,CD -26°35,16.12
W 29,CD -22°24,23.62
W 33,CD -30°33,20.92
W 34,CD -27°25,30.02
W 35,CD -26°42,27.70
W 36,CD -24°35,24.62
W 39,CD -23°37,5.50
W 40,CD -27°28,4.68
W 44,CD -22°30,24.54
W 45,CD -27°37,13.54
W 47,CD -22°33,19.88
W 48,CD -30°42,10.06
W 49,CD -23°46,17.15
W 50,CD -27°38,40.55
W 51,CD -24°51,11.60
W 54,CD -30°48,21.17
W 55,CD -26°56,3.78
W 56,CD -23°52,12.09
W 57,CD -26°57,9.00
W 60,CD -22°44,38.00
W 62,CD -29°46,11.74
W 64,CD -27°43,8.57
W 68,CD -28°51,30.13
W 70,CD -29°50,46.59
W 71,CD -25°67,7.94
W 72,CD -23°61,8.28
W 73,CD -25°70,17.81
W 74,CD -23°70,29.24
W 76,CD -28°61,11.19
W 77,CD -23°72,12.04
W 79,CD -23°74,26.54
W 82,CD -22°61,14.71
W 83,CD -22°60,18.25
W 89,CD -26°81,15.17
W 90,CD -22°71,3.88
W 93,CD -28°75,11.89
W 94,CD -28°77,8.38
W 95,CD -30°79,18.18
W 96,CD -25°91,10.14
W 97,CD -23°91,10.59
W 98,CD -24°89,10.92
W 102,CD -22°84,28.27
W 104,CD -23°95,14.92
W 108,CD -25°99,9.19
W 109,CD -26°101,24.56
W 112,CD -30°91,0.74
W 113,CD -26°104,12.05
W 114,CD -29°86,37.75
W 116,CD -25°107,22.11
W 118,CD -23°111,19.38
W 119,CD -23°110,8.45
W 120,CD -27°98,24.04
W 122,CD -25°114,19.18
W 123,CD -27°101,49.30
W 124,CD -25°117,19.34
W 130,CD -23°123,21.82
W 132,CD -30°101,11.72
W 134,CD -30°104,4.02
W 138,CD -24°122,33.86
W 139,CD -27°108,27.99
W 140,CD -25°126,28.06
W 141,CD -29°106,34.17
W 142,CD -27°110,17.96
W 143,CD -25°127,18.30
W 144,CD -24°127,9.39
W 146,CD -24°128,10.49
W 152,CD -25°134,31.09
W 156,CD -28°118,19.83
W 158,CD -28°121,2.69
W 161,CD -23°152,12.96
W 163,CD -29°118,14.18
W 165,CD -23°157,3.21
W 168,CD -23°159,9.64
W 169,CD -26°138,7.31
W 171,CD -28°130,13.77
W 174,CD -25°150,18.69
W 175,CD -25°151,17.52
W 176,CD -28°132,5.29
W 177,CD -25°153,3.12
W 178,CD -29°125,12.16
W 180,CD -23°165,20.56
W 181,CD -29°126,7.80
W 183,CD -29°128,14.58
W 184,CD -25°155,33.61
W 185,CD -24°168,40.53
W 187,CD -27°132,2.00
W 189,CD -25°162,4.50
W 192,CD -27°140,8.44
W 193,CD -22°143,10.19
W 196,CD -24°179,10.98
W 199,CD -29°137,16.18
W 200,CD -28°144,46.90
W 201,CD -22°149,21.64
W 203,CD -26°157,18.01
W 206,CD -25°185,11.87
W 208,CD -29°146,20.01
W 209,CD -26°160,29.48
W 210,CD -24°196,14.21
W 211,CD -22°160,25.05
W 212,CD -25°190,32.32
W 215,CD -29°151,9.36
W 216,CD -26°164,8.33
W 219,CD -29°155,18.32
W 220,CD -24°205,28.71
