index1,index2,dist
WEI 1,PPM 242531,5.94
WEI 2,PPM 208380,1.68
WEI 3,PPM 208383,4.97
WEI 4,PPM 208389,1.48
WEI 5,PPM 208392,13.07
WEI 6,PPM 242535,3.32
WEI 7,PPM 208393,3.97
WEI 8,PPM 242540,3.09
WEI 9,PPM 242542,2.87
WEI 10,PPM 208398,2.61
WEI 11,PPM 208403,1.07
WEI 12,PPM 242549,1.80
WEI 13,PPM 242552,5.14
WEI 14,PPM 242553,4.71
WEI 15,PPM 242558,0.96
WEI 16,PPM 242561,4.34
WEI 17,PPM 208419,6.99
WEI 18,PPM 242564,4.88
WEI 19,PPM 208422,3.73
WEI 20,PPM 242567,2.62
WEI 21,PPM 208428,4.49
WEI 22,PPM 242571,0.46
WEI 23,PPM 208429,4.77
WEI 24,PPM 208430,5.18
WEI 25,PPM 208433,3.69
WEI 26,PPM 208435,3.29
WEI 27,PPM 208438,1.06
WEI 28,PPM 208439,3.40
WEI 29,PPM 242578,2.56
WEI 30,PPM 208446,1.67
WEI 31,PPM 208450,2.14
WEI 32,PPM 242587,1.57
WEI 33,PPM 242586,2.18
WEI 34,PPM 242588,5.99
WEI 35,PPM 242590,3.13
WEI 36,PPM 242593,2.32
WEI 37,PPM 208469,4.96
WEI 38,PPM 208470,7.87
WEI 39,PPM 242597,2.40
WEI 40,PPM 723483,8.96
WEI 41,PPM 208476,4.74
WEI 42,PPM 208477,2.96
WEI 43,PPM 208480,3.57
WEI 44,PPM 242605,2.65
WEI 45,PPM 242608,3.12
WEI 46,PPM 208490,2.45
WEI 47,PPM 242611,2.54
WEI 48,PPM 275811,8.02
WEI 49,PPM 242617,6.58
WEI 50,PPM 242622,0.27
WEI 51,PPM 242624,1.48
WEI 52,PPM 709784,4.46
WEI 53,PPM 208505,1.28
WEI 54,PPM 242628,5.39
WEI 55,PPM 242631,0.99
WEI 56,PPM 242633,2.19
WEI 57,PPM 242632,4.00
WEI 58,PPM 208512,2.22
WEI 59,PPM 208521,8.31
WEI 60,PPM 242642,2.28
WEI 61,PPM 242643,2.64
WEI 62,PPM 242644,9.08
WEI 63,PPM 208532,13.93
WEI 64,PPM 242645,2.33
WEI 65,PPM 208531,3.54
WEI 66,PPM 208541,1.70
WEI 67,PPM 208549,0.42
WEI 68,PPM 242651,8.93
WEI 69,PPM 208551,5.60
WEI 70,PPM 242652,9.19
WEI 71,PPM 242654,2.40
WEI 72,PPM 242656,3.19
WEI 73,PPM 242660,2.00
WEI 74,PPM 242667,6.92
WEI 75,PPM 208574,1.38
WEI 76,PPM 242671,5.75
WEI 77,PPM 242672,3.34
WEI 78,PPM 208577,3.75
WEI 79,PPM 242676,3.50
WEI 80,PPM 208581,4.43
WEI 81,PPM 208582,1.02
WEI 82,PPM 242679,15.18
WEI 83,PPM 242678,7.70
WEI 84,PPM 208595,2.09
WEI 85,PPM 208597,4.19
WEI 86,PPM 208603,9.10
WEI 87,PPM 208610,1.66
WEI 88,PPM 208618,2.59
WEI 89,PPM 242692,5.70
WEI 90,PPM 242694,3.48
WEI 91,PPM 208622,0.99
WEI 92,PPM 242697,2.75
WEI 93,PPM 242701,3.34
WEI 94,PPM 242702,6.44
WEI 95,PPM 242705,8.49
WEI 96,PPM 242711,4.51
WEI 97,PPM 242714,6.08
WEI 98,PPM 242716,1.03
WEI 99,PPM 208648,0.96
WEI 100,PPM 242720,10.81
WEI 101,PPM 208649,2.86
WEI 102,PPM 242725,3.27
WEI 103,PPM 208652,10.97
WEI 104,PPM 242726,3.17
WEI 105,PPM 208659,5.60
WEI 106,PPM 208660,4.45
WEI 107,PPM 208664,7.62
WEI 108,PPM 242737,5.70
WEI 109,PPM 242742,5.63
WEI 110,PPM 208667,2.17
WEI 111,PPM 208672,2.74
WEI 112,PPM 242747,7.29
WEI 113,PPM 242751,5.47
WEI 114,PPM 242755,1.95
WEI 115,PPM 208684,2.03
WEI 116,PPM 242756,1.64
WEI 117,PPM 242758,3.13
WEI 118,PPM 242762,5.59
WEI 119,PPM 242760,6.00
WEI 120,PPM 242765,0.51
WEI 121,PPM 242767,2.54
WEI 122,PPM 242769,5.02
WEI 123,PPM 242772,1.25
WEI 124,PPM 242775,1.78
WEI 125,PPM 208705,1.33
WEI 126,PPM 208712,3.16
WEI 127,PPM 208715,1.61
WEI 128,PPM 208717,3.23
WEI 129,PPM 208721,5.68
WEI 130,PPM 242785,2.65
WEI 131,PPM 208727,1.96
WEI 132,PPM 242788,3.77
WEI 133,PPM 242790,3.18
WEI 134,PPM 242794,8.60
WEI 135,PPM 208740,3.19
WEI 136,PPM 208749,4.43
WEI 137,PPM 208750,2.74
WEI 138,PPM 242800,3.85
WEI 139,PPM 242803,3.72
WEI 140,PPM 242802,4.44
WEI 141,PPM 242801,6.76
WEI 142,PPM 242804,3.52
WEI 143,PPM 242806,2.53
WEI 144,PPM 242810,2.72
WEI 145,PPM 208764,4.77
WEI 146,PPM 242811,3.13
WEI 147,PPM 208767,1.20
WEI 148,PPM 208770,4.43
WEI 149,PPM 208769,2.99
WEI 150,PPM 208772,0.63
WEI 151,PPM 208776,2.93
WEI 152,PPM 242818,1.70
WEI 153,PPM 208778,2.79
WEI 154,PPM 208780,0.97
WEI 155,PPM 208779,1.28
