index1,index2,dist
ZC 0h 672,CPD -31°62,8.79
ZC 0h 673,CPD -28°36,9.87
ZC 0h 690,CPD -29°51,5.10
ZC 0h 693,CPD -28°37,10.06
ZC 0h 1191,CPD -31°89,3.40
ZC 0h 1201,CPD -31°90,10.48
ZC 0h 1387,CPD -25°102,2.49
ZC 0h 1397,CPD -22°115,2.00
ZC 0h 1459,CPD -50°149,3.91
ZC 1h 587,CPD -26°130,3.55
ZC 1h 788,CPD -32°180,3.52
ZC 5h 202,CPD -61°411,2.29
ZC 5h 534,CPD -33°759,4.74
ZC 5h 1088,CPD -75°314,5.38
ZC 6h 213,CPD -77°229,4.04
ZC 6h 333,CPD -40°938,8.19
ZC 6h 430,CPD -49°883,6.37
ZC 6h 1522,CPD -26°1367,13.53
ZC 6h 2061,CPD -32°1298,8.33
ZC 6h 2298,CPD -25°1686,10.77
ZC 6h 2324,CPD -64°623,9.36
ZC 6h 2418,CPD -29°1482,1.69
ZC 7h 33,CPD -42°1196,4.55
ZC 7h 2892,CPD -37°1528,2.48
ZC 7h 3157,CPD -37°1618,10.47
ZC 7h 3217,CPD -37°1628,10.29
ZC 7h 3794,CPD -37°1725,1.56
ZC 8h 473,CPD -46°2204,7.95
ZC 8h 3254,CPD -52°1622,6.31
ZC 8h 3404,CPD -41°2938,6.46
ZC 8h 3434,CPD -42°2921,0.45
ZC 8h 3454,CPD -42°2927,9.79
ZC 8h 3507,CPD -42°2936,8.79
ZC 8h 3512,CPD -42°2938,6.16
ZC 8h 3513,CPD -42°2938,3.60
ZC 8h 3526,CPD -42°2941,3.66
ZC 8h 3530,CPD -42°2942,3.73
ZC 8h 3552,CPD -41°2975,7.85
ZC 8h 3620,CPD -42°2979,6.39
ZC 8h 3664,CPD -41°3019,9.24
ZC 9h 4291,CPD -59°1589,4.51
ZC 9h 4293,CPD -59°1591,4.40
ZC 9h 4351,CPD -59°1627,5.82
ZC 9h 4429,CPD -59°1671,4.76
ZC 9h 4528,CPD -59°1749,3.54
ZC 9h 4554,CPD -59°1771,4.23
ZC 10h 153,CPD -59°1865,7.31
ZC 10h 393,CPD -41°4364,13.31
ZC 10h 713,CPD -41°4425,10.24
ZC 10h 2024,CPD -57°3403,3.46
ZC 10h 2068,CPD -57°3423,2.74
ZC 10h 2169,CPD -57°3463,0.91
ZC 10h 2265,CPD -57°3523,4.76
ZC 10h 2596,CPD -59°2411,3.98
ZC 10h 2604,CPD -59°2416,6.95
ZC 10h 2707,CPD -59°2468,8.08
ZC 10h 2717,CPD -58°2560,3.46
ZC 10h 2745,CPD -58°2575,1.91
ZC 10h 2842,CPD -58°2617,10.51
ZC 10h 2854,CPD -58°2620,10.24
ZC 10h 2915,CPD -58°2665,8.92
ZC 10h 2946,CPD -59°2633,5.78
ZC 10h 2947,CPD -59°2636,5.37
ZC 10h 2952,CPD -59°2641,2.94
ZC 10h 2957,CPD -58°2675,1.58
ZC 10h 3032,CPD -58°2695,7.57
ZC 10h 3042,CPD -59°2679,5.88
ZC 10h 3047,CPD -58°2698,6.98
ZC 10h 3077,CPD -59°2692,7.86
ZC 10h 3082,CPD -59°2693,8.58
ZC 10h 3113,CPD -59°2712,9.87
ZC 10h 3114,CPD -58°2715,10.26
ZC 10h 3165,CPD -58°2733,6.06
ZC 10h 3166,CPD -58°2734,5.86
ZC 10h 3210,CPD -59°2735,10.68
ZC 10h 3242,CPD -59°2746,10.99
ZC 10h 3247,CPD -59°2750,3.64
ZC 10h 3256,CPD -59°2761,1.67
ZC 10h 3268,CPD -59°2765,10.12
ZC 10h 3290,CPD -58°2769,8.96
