index1,index2,dist
ZC 0h 672,PPM 276117,1.59
ZC 0h 673,PPM 242922,2.61
ZC 0h 690,PPM 242931,3.73
ZC 0h 693,PPM 242932,0.83
ZC 0h 1191,PPM 276442,0.62
ZC 0h 1201,PPM 276448,1.71
ZC 0h 1387,PPM 243461,0.58
ZC 0h 1397,PPM 243471,0.49
ZC 0h 1459,PPM 305492,1.32
ZC 1h 587,PPM 244004,1.78
ZC 1h 788,PPM 277154,2.59
ZC 5h 202,PPM 354550,1.36
ZC 5h 534,PPM 281315,2.04
ZC 5h 1088,PPM 368774,1.10
ZC 6h 213,PPM 369005,3.78
ZC 6h 333,PPM 310487,2.18
ZC 6h 430,PPM 310508,1.98
ZC 6h 1522,PPM 250718,2.10
ZC 6h 2061,PPM 283121,2.51
ZC 6h 2298,PPM 251120,3.25
ZC 6h 2324,PPM 355614,2.66
ZC 6h 2418,PPM 251180,3.93
ZC 7h 33,PPM 311428,5.44
ZC 7h 2892,PPM 284362,2.18
ZC 7h 3157,PPM 284429,1.77
ZC 7h 3217,PPM 740449,1.61
ZC 7h 3794,PPM 284585,1.15
ZC 8h 473,PPM 312671,2.31
ZC 8h 3254,PPM 337180,4.23
ZC 8h 3404,PPM 313544,1.74
ZC 8h 3434,PPM 313556,1.42
ZC 8h 3454,PPM 313568,2.72
ZC 8h 3526,PPM 313595,1.46
ZC 8h 3530,PPM 313598,0.19
ZC 8h 3552,PPM 313608,2.82
ZC 8h 3620,PPM 313633,1.00
ZC 8h 3664,PPM 313645,2.43
ZC 9h 4293,PPM 777747,3.40
ZC 9h 4351,PPM 777754,1.84
ZC 9h 4429,PPM 357704,1.36
ZC 9h 4528,PPM 777767,1.54
ZC 9h 4554,PPM 338625,1.67
ZC 10h 393,PPM 315082,2.73
ZC 10h 713,PPM 315169,3.85
ZC 10h 2024,PPM 339143,1.56
ZC 10h 2068,PPM 339157,2.25
ZC 10h 2169,PPM 339188,2.25
ZC 10h 2596,PPM 339311,1.75
ZC 10h 2604,PPM 769357,1.74
ZC 10h 2717,PPM 339350,1.53
ZC 10h 3032,PPM 339438,1.76
ZC 10h 3082,PPM 358248,1.50
ZC 10h 3113,PPM 358254,2.75
ZC 10h 3165,PPM 339475,0.84
ZC 10h 3166,PPM 339474,1.75
ZC 10h 3242,PPM 778161,1.61
ZC 10h 3256,PPM 358281,1.88
ZC 10h 3290,PPM 339496,2.13
ZC 10h 3366,PPM 769450,2.16
ZC 10h 3431,PPM 339521,2.75
ZC 10h 3447,PPM 339531,0.74
ZC 10h 3538,PPM 339552,1.74
ZC 10h 3619,PPM 339570,10.25
ZC 10h 3658,PPM 769488,2.14
ZC 10h 3715,PPM 339589,3.61
ZC 10h 3761,PPM 339596,2.59
ZC 10h 3815,PPM 339611,1.80
ZC 10h 3819,PPM 769502,2.44
ZC 10h 3826,PPM 769503,1.99
ZC 10h 3924,PPM 769511,2.82
ZC 10h 3929,PPM 339645,1.88
ZC 10h 3946,PPM 339647,1.83
ZC 10h 3960,PPM 339652,1.30
ZC 10h 3971,PPM 339651,1.91
ZC 10h 3983,PPM 339660,2.32
ZC 10h 4001,PPM 339664,1.90
ZC 10h 4079,PPM 339683,2.92
ZC 10h 4134,PPM 339691,3.20
ZC 10h 4241,PPM 769553,3.37
ZC 10h 4283,PPM 769563,2.37
ZC 10h 4310,PPM 339727,2.96
ZC 10h 4339,PPM 769571,2.05
ZC 10h 4356,PPM 339737,1.21
ZC 11h 2,PPM 339742,3.05
ZC 11h 31,PPM 769581,2.26
ZC 11h 50,PPM 769585,1.72
ZC 11h 100,PPM 769590,1.31
ZC 11h 116,PPM 339776,4.20
ZC 11h 122,PPM 339778,4.07
ZC 11h 128,PPM 339781,2.85
ZC 11h 133,PPM 339782,0.04
ZC 11h 181,PPM 339792,3.39
ZC 11h 185,PPM 339793,2.54
ZC 11h 231,PPM 339800,1.99
ZC 11h 285,PPM 339811,2.15
ZC 11h 318,PPM 339818,1.19
ZC 11h 327,PPM 769618,1.37
ZC 11h 353,PPM 339827,1.61
ZC 11h 365,PPM 339829,2.70
ZC 11h 386,PPM 769627,3.19
ZC 11h 442,PPM 769637,1.95
ZC 12h 2753,PPM 359722,0.68
ZC 12h 2846,PPM 359745,2.09
ZC 13h 559,PPM 341755,2.16
ZC 13h 1225,PPM 291406,4.41
ZC 13h 1246,PPM 291413,2.60
ZC 13h 1554,PPM 342026,2.79
ZC 13h 1586,PPM 342030,2.32
ZC 13h 2013,PPM 291684,3.65
ZC 13h 2497,PPM 342290,2.74
ZC 13h 3032,PPM 342425,1.13
ZC 13h 3055,PPM 319030,3.79
ZC 13h 3694,PPM 360574,2.15
ZC 14h 5,PPM 372172,3.89
ZC 14h 124,PPM 292265,3.31
ZC 14h 324,PPM 360630,1.78
ZC 14h 376,PPM 360641,1.56
ZC 14h 594,PPM 342714,2.57
ZC 14h 660,PPM 372239,1.54
ZC 14h 689,PPM 372245,3.43
ZC 14h 2250,PPM 292976,1.49
ZC 14h 3040,PPM 361112,2.89
ZC 14h 3205,PPM 320099,2.06
ZC 14h 3455,PPM 320166,1.20
ZC 14h 3479,PPM 320176,1.80
ZC 14h 3645,PPM 293433,2.96
ZC 15h 121,PPM 293503,1.36
ZC 15h 356,PPM 760964,2.29
ZC 15h 2488,PPM 294192,1.15
ZC 15h 2512,PPM 294197,1.47
ZC 15h 2540,PPM 294205,3.11
ZC 15h 2897,PPM 294299,1.79
ZC 15h 3001,PPM 321123,3.27
ZC 15h 3096,PPM 361724,1.53
ZC 15h 3101,PPM 361725,2.86
ZC 15h 3312,PPM 772168,2.18
ZC 15h 3317,PPM 344390,1.08
ZC 15h 3447,PPM 344425,1.70
ZC 16h 162,PPM 747513,2.10
ZC 16h 190,PPM 294759,4.42
ZC 16h 955,PPM 321637,2.09
ZC 16h 1548,PPM 761978,2.45
ZC 16h 1880,PPM 345232,0.61
ZC 16h 1974,PPM 295239,1.04
ZC 16h 1977,PPM 295240,2.10
ZC 16h 3305,PPM 295642,2.10
ZC 16h 3546,PPM 266187,1.99
ZC 16h 3568,PPM 266190,1.91
ZC 16h 4151,PPM 322608,1.98
ZC 17h 554,PPM 787076,1.40
ZC 17h 2345,PPM 346274,1.81
ZC 17h 2848,PPM 296869,1.86
ZC 17h 2852,PPM 781780,2.12
ZC 17h 4031,PPM 267878,2.51
ZC 18h 16,PPM 267906,2.43
ZC 18h 1147,PPM 346905,3.30
ZC 18h 2826,PPM 347378,1.59
ZC 18h 2960,PPM 298489,1.08
ZC 19h 179,PPM 363875,8.13
ZC 19h 453,PPM 347610,1.12
ZC 19h 467,PPM 363956,7.63
ZC 19h 1541,PPM 364199,2.14
ZC 19h 1688,PPM 270271,1.53
ZC 19h 2005,PPM 735743,1.52
ZC 20h 1717,PPM 326784,1.61
ZC 20h 1720,PPM 374879,3.52
ZC 20h 1869,PPM 272043,1.84
ZC 20h 1888,PPM 272051,0.33
ZC 21h 663,PPM 272547,3.82
ZC 21h 1065,PPM 301720,1.42
ZC 21h 1732,PPM 327829,3.16
ZC 21h 1878,PPM 349978,1.02
ZC 21h 1884,PPM 349979,1.17
ZC 22h 31,PPM 302225,2.44
ZC 22h 191,PPM 328026,1.37
ZC 22h 192,PPM 328027,1.65
ZC 0h 88,PPM 242565,1.49
ZC 0h 275,PPM 275860,4.30
ZC 0h 295,PPM 351723,0.79
ZC 0h 325,PPM 351742,1.35
ZC 0h 388,PPM 366878,1.85
ZC 0h 391,PPM 351769,1.13
ZC 0h 412,PPM 351777,3.07
ZC 0h 459,PPM 351795,0.96
ZC 0h 474,PPM 366896,1.43
ZC 0h 515,PPM 351811,1.66
ZC 0h 531,PPM 351818,1.51
ZC 0h 585,PPM 304901,2.85
ZC 0h 600,PPM 276051,1.68
ZC 0h 685,PPM 366947,0.56
ZC 0h 788,PPM 276193,0.94
ZC 0h 797,PPM 305043,2.11
ZC 0h 825,PPM 276215,2.27
ZC 0h 886,PPM 305114,1.33
ZC 0h 902,PPM 276248,2.67
ZC 0h 1065,PPM 276363,2.13
ZC 0h 1237,PPM 276472,2.96
ZC 0h 1268,PPM 276490,3.39
ZC 0h 1294,PPM 305385,2.47
ZC 0h 1490,PPM 276644,1.52
ZC 0h 1546,PPM 305546,1.40
ZC 1h 86,PPM 276750,2.25
ZC 1h 168,PPM 305667,1.92
ZC 1h 174,PPM 305668,1.70
ZC 1h 233,PPM 305710,1.18
ZC 1h 245,PPM 276851,1.28
ZC 1h 247,PPM 276858,1.74
ZC 1h 304,PPM 276896,1.45
ZC 1h 323,PPM 243809,1.56
ZC 1h 397,PPM 276950,0.88
ZC 1h 401,PPM 305796,1.70
ZC 1h 404,PPM 276955,1.31
ZC 1h 481,PPM 243935,1.42
ZC 1h 682,PPM 277110,2.95
ZC 1h 744,PPM 277130,1.94
ZC 1h 1190,PPM 352603,1.39
ZC 1h 1251,PPM 331423,0.34
ZC 2h 314,PPM 277809,3.51
ZC 2h 379,PPM 277851,2.67
ZC 2h 462,PPM 244938,1.97
ZC 2h 556,PPM 245002,2.15
ZC 2h 633,PPM 306777,2.09
ZC 2h 703,PPM 306815,2.36
ZC 2h 748,PPM 278053,3.05
ZC 2h 782,PPM 278077,2.72
ZC 2h 844,PPM 306878,2.13
ZC 2h 1538,PPM 245716,3.23
ZC 2h 1560,PPM 245736,3.19
ZC 3h 686,PPM 332659,2.95
ZC 3h 865,PPM 279168,1.10
ZC 3h 1638,PPM 308150,2.74
ZC 4h 63,PPM 279852,7.89
ZC 4h 1015,PPM 280396,1.97
ZC 4h 1060,PPM 354185,0.59
ZC 5h 1275,PPM 368808,2.73
ZC 5h 2136,PPM 334766,2.74
ZC 6h 102,PPM 249877,2.90
ZC 6h 584,PPM 310576,3.09
ZC 6h 983,PPM 310736,3.63
ZC 6h 2663,PPM 355677,2.26
ZC 7h 367,PPM 283591,3.09
ZC 7h 2013,PPM 311890,1.85
ZC 7h 2903,PPM 312097,2.49
ZC 7h 2917,PPM 284369,2.54
ZC 7h 3036,PPM 312120,1.94
ZC 7h 3039,PPM 312119,2.20
ZC 8h 667,PPM 284932,0.15
ZC 8h 1559,PPM 777029,1.27
ZC 8h 2043,PPM 313117,1.72
ZC 8h 2925,PPM 337097,1.88
ZC 9h 1171,PPM 756580,3.14
ZC 9h 1298,PPM 286357,5.80
ZC 9h 2356,PPM 286630,3.42
ZC 9h 3069,PPM 777630,0.93
ZC 9h 3882,PPM 357631,9.44
ZC 10h 726,PPM 315174,1.53
ZC 10h 1370,PPM 257616,1.48
ZC 10h 1493,PPM 257654,0.44
ZC 10h 1585,PPM 357982,3.29
