RAh,Decl,name1,mag1,name2,mag2,x,y,z,dist
0,-64,GC 451,4.3,GC 452,4.7,0.44109110,0.04987617,-0.89607533,27.4
0,-27,GC 473,7.0,GC 472,7.5,0.88637728,0.10649895,-0.45054776,16.7
1,-70,GC 810,6.5,GC 811,7.7,0.33174733,0.06998522,-0.94076872,20.1
1,-16,GC 889,7.7,GC 890,7.7,0.93497048,0.21560072,-0.28168515,8.0
1,-61,GC 982,7.5,GC 983,7.5,0.47270705,0.12272542,-0.87263195,5.3
1,-56,GC 1069,4.2,GC 1067,8.0,0.53930705,0.15241961,-0.82820056,6.2
1,-9,GC 1149,5.3,GC 1148,8.0,0.94543551,0.28951482,-0.14944187,47.6
1,-51,GC 1154,7.7,GC 1155,8.0,0.59735837,0.18363258,-0.78066770,47.1
1,-70,GC 1210,5.5,GC 1212,7.0,0.33266193,0.10732587,-0.93691899,5.5
2,-31,GC 1546,6.5,GC 1547,7.5,0.79512598,0.33082433,-0.50826169,4.1
2,-54,GC 1606,7.0,GC 1607,7.5,0.53813989,0.23387542,-0.80975783,11.6
2,-38,GC 1613,7.5,GC 1612,8.0,0.72134871,0.31431025,-0.61714269,21.1
2,-57,GC 1633,6.2,GC 1634,6.2,0.50074087,0.22046297,-0.83705117,7.7
2,-61,GC 1908,7.0,GC 1909,7.5,0.42979242,0.22680599,-0.87397798,4.3
2,-29,GC 2693,5.0,GC 2692,8.0,0.69911288,0.52859747,-0.48148302,12.2
3,-60,GC 2860,7.0,GC 2861,7.2,0.38692607,0.31417539,-0.86693831,37.1
3,-41,GC 2905,6.7,GC 2906,7.0,0.58081204,0.48083466,-0.65685265,2.3
3,-25,GC 3182,7.0,GC 3179,7.3,0.66095117,0.61495821,-0.43008134,26.0
3,-41,GC 3223,3.0,GC 3224,5.2,0.55013881,0.51988131,-0.65350648,9.8
3,-52,GC 3350,7.0,GC 3353,7.7,0.43595122,0.43839030,-0.78597740,38.2
3,-79,GC 3568,6.2,GC 3565,8.0,0.12245215,0.13581743,-0.98313737,13.9
4,-41,GC 4055,6.9,GC 4054,8.0,0.44712218,0.61142984,-0.65286699,11.4
4,-38,GC 4242,4.7,GC 4241,5.5,0.44066855,0.65323806,-0.61570388,9.3
4,-3,GC 4328,4.7,GC 4327,7.7,0.54366503,0.83729604,-0.05799721,5.5
4,-40,GC 4409,7.1,GC 4408,7.7,0.40366649,0.64736560,-0.64650687,8.3
4,-36,GC 4713,7.0,GC 4715,7.7,0.37776912,0.70986505,-0.59445951,50.7
4,-57,GC 4985,7.0,GC 4984,7.7,0.22419515,0.49064591,-0.84202323,8.7
4,-10,GC 5149,6.7,GC 5148,8.0,0.37973695,0.90866451,-0.17357608,13.0
5,-13,GC 5221,7.5,GC 5220,7.7,0.36380325,0.90268918,-0.22978127,15.0
5,-9,GC 5311,6.8,GC 5312,7.5,0.34754191,0.92443654,-0.15694489,8.7
5,-59,GC 5325,7.0,GC 5326,7.7,0.17885964,0.47994638,-0.85887176,2.2
5,-54,GC 5555,5.8,GC 5556,6.7,0.18271817,0.56347788,-0.80567161,12.3
5,-32,GC 6015,7.2,GC 6016,8.0,0.18761154,0.82654869,-0.53067803,6.8
5,-19,GC 6116,6.7,GC 6118,7.0,0.18967555,0.92830028,-0.31981521,40.7
5,-52,GC 6313,6.5,GC 6310,7.2,0.10080979,0.60139724,-0.79256466,38.4
5,-42,GC 6438,7.0,GC 6439,7.7,0.10506941,0.73099882,-0.67424117,8.1
6,-66,GC 7579,7.5,GC 7581,8.0,-0.02149786,0.41413343,-0.90996228,20.1
6,-39,GC 7685,7.0,GC 7688,7.7,-0.05280783,0.77056665,-0.63516798,40.5
7,-19,GC 8088,6.4,GC 8087,8.0,-0.12746258,0.93938913,-0.31827872,18.2
7,-48,GC 8227,5.7,GC 8225,7.7,-0.10242772,0.65980826,-0.74442032,14.4
7,-38,GC 8304,7.2,GC 8303,8.0,-0.12971913,0.77422670,-0.61947233,9.7
7,-32,GC 8528,6.3,GC 8532,7.7,-0.16866903,0.83521670,-0.52341553,41.5
7,-43,GC 8936,5.8,GC 8937,7.7,-0.18831739,0.70130635,-0.68753615,20.2
7,-55,GC 9142,8.0,GC 9143,8.0,-0.16577304,0.54337789,-0.82295793,9.1
7,-70,GC 9206,4.5,GC 9199,6.0,-0.10111358,0.32165348,-0.94144309,12.0
7,-23,GC 9247,5.2,GC 9250,7.0,-0.28174958,0.87564122,-0.39226220,27.4
7,-31,GC 9266,6.7,GC 9265,8.0,-0.26622590,0.81784508,-0.51015017,38.5
7,-52,GC 9420,6.8,GC 9422,7.0,-0.20347864,0.57986878,-0.78889076,10.7
7,-48,GC 9448,7.2,GC 9449,8.0,-0.22187992,0.62726823,-0.74652787,23.4
7,-37,GC 9523,7.0,GC 9521,7.5,-0.27418630,0.74956341,-0.60247536,10.9
7,-34,GC 9573,7.2,GC 9572,8.0,-0.29143917,0.77545552,-0.56011780,16.3
7,-32,GC 9616,7.2,GC 9617,7.7,-0.30544820,0.79515107,-0.52386656,7.8
7,-23,GC 9744,6.7,GC 9745,7.0,-0.34813099,0.85064362,-0.39396731,11.6
8,-27,GC 9880,4.5,GC 9881,5.0,-0.35572694,0.82104028,-0.44648762,10.1
8,-74,GC 10006,6.7,GC 10007,7.0,-0.11426164,0.25101059,-0.96121692,2.1
8,-14,GC 10077,7.5,GC 10075,8.0,-0.40834756,0.87835268,-0.24849313,16.7
8,-50,GC 10116,6.8,GC 10121,7.7,-0.27291459,0.57959882,-0.76784298,50.9
8,-41,GC 10184,7.0,GC 10185,7.7,-0.32666421,0.67785713,-0.65863511,48.2
8,-50,GC 10566,6.7,GC 10568,7.0,-0.31318729,0.56688171,-0.76194413,15.5
8,-9,GC 10717,6.5,GC 10716,8.0,-0.49562699,0.85468481,-0.15449197,29.2
8,-42,GC 10859,7.0,GC 10860,8.0,-0.38540263,0.63165734,-0.67266174,7.8
8,-68,GC 10923,4.7,GC 10924,8.0,-0.19570506,0.31466015,-0.92881027,8.3
8,-37,GC 10964,6.9,GC 10931,7.2,-0.42478896,0.68104915,-0.59642803,3.7
8,-47,GC 10986,5.8,GC 10985,7.7,-0.36830714,0.57983338,-0.72673454,34.9
8,-39,GC 11332,7.0,GC 11333,7.2,-0.45271712,0.63637798,-0.62455606,9.8
8,-44,GC 11429,6.2,GC 11428,8.0,-0.42376877,0.57662933,-0.69851174,5.5
9,-60,GC 11759,7.5,GC 11757,8.0,-0.31680584,0.38924964,-0.86493860,2.1
9,-58,GC 11911,7.0,GC 11910,7.5,-0.34180060,0.39973654,-0.85051928,5.0
9,-7,GC 12116,7.0,GC 12115,7.5,-0.66779605,0.73282590,-0.13044015,6.3
