RAh,Decl,name1,mag1,name2,mag2,x,y,z,dist
3,-27,OA 2247,7.5,OA 2248,7.5,0.57854487,0.68113493,-0.44871042,22.2
4,-26,OA 3020,6.5,OA 3022,8.0,0.39275204,0.80823989,-0.43874151,47.6
5,-19,OA 3859,8.0,OA 3860,8.0,0.18967770,0.92830272,-0.31980685,38.5
7,-18,OA 6831,7.0,OA 6833,7.5,-0.33274573,0.88955638,-0.31300117,39.9
8,-27,OA 7179,6.0,OA 7180,6.0,-0.35571816,0.82104706,-0.44648215,10.6
8,-22,OA 7818,7.0,OA 7820,8.0,-0.44916457,0.81117965,-0.37448466,36.5
9,-17,OA 9274,8.0,OA 9275,8.0,-0.66781034,0.68335717,-0.29504630,30.2
10,-17,OA 10327,7.5,OA 10326,8.0,-0.82194682,0.48374720,-0.30065275,32.9
11,-29,OA 11457,6.5,OA 11460,6.5,-0.86855942,0.12950386,-0.47836521,7.6
14,-19,OA 13609,7.0,OA 13608,7.5,-0.77609775,-0.53601386,-0.33220689,36.1
16,-19,OA 15360,5.0,OA 15354,7.0,-0.45539512,-0.82775623,-0.32777264,42.5
17,-19,OA 16136,6.5,OA 16135,8.0,-0.28482894,-0.89955966,-0.33115690,2.0
20,-17,OA 19825,8.0,OA 19826,8.0,0.37334653,-0.87934185,-0.29558465,7.6
20,-19,OA 20549,6.0,OA 20548,8.0,0.55152990,-0.76803984,-0.32546824,22.0
20,-23,OA 20580,7.5,OA 20581,8.0,0.54567493,-0.74488719,-0.38390355,41.6
