RAh,Decl,name1,mag1,name2,mag2,dist
0,-64,T 129,4.0,T 131,4.0,26.5
1,30,T 220,7.5,T 219,8.0,46.3
1,21,T 330,5.5,T 331,6.5,29.1
1,4,T 333,7.0,T 334,8.0,34.3
1,7,T 394,6.0,T 395,7.5,21.8
1,-9,T 400,6.0,T 399,8.0,49.8
1,64,T 420,6.5,T 419,8.0,51.2
1,12,T 506,7.0,T 507,7.5,20.2
2,19,T 615,4.5,T 614,6.0,9.4
2,42,T 667,3.5,T 668,7.5,10.0
2,28,T 751,8.0,T 752,8.0,43.9
2,24,T 866,6.0,T 867,6.5,39.9
3,-41,T 1009,4.5,T 1010,6.0,10.2
4,-38,T 1321,5.0,T 1322,6.0,5.7
5,-9,T 1659,6.5,T 1660,7.5,5.9
5,-54,T 1745,6.0,T 1746,7.0,12.5
6,49,T 2306,6.5,T 2307,7.0,7.3
6,18,T 2527,7.0,T 2526,8.0,19.1
7,60,T 2611,6.0,T 2609,8.0,10.8
7,-43,T 2845,6.0,T 2847,8.0,20.9
7,-52,T 3018,7.5,T 3019,8.0,10.0
7,-48,T 3025,6.5,T 3026,7.5,23.7
7,32,T 3083,3.0,T 3082,4.5,4.2
7,-23,T 3109,6.0,T 3110,6.0,10.2
8,-27,T 3157,5.5,T 3156,6.5,11.3
8,-50,T 3234,6.5,T 3235,7.5,50.5
8,-41,T 3250,7.0,T 3251,7.5,48.8
8,-50,T 3374,6.5,T 3375,8.0,15.0
8,-54,T 3407,6.0,T 3408,8.0,41.3
8,18,T 3448,6.0,T 3449,8.0,8.6
8,25,T 3575,7.0,T 3576,7.5,0.7
8,-24,T 3589,6.0,T 3590,6.0,41.4
9,-2,T 3783,7.5,T 3782,8.0,2.4
9,-59,T 3930,5.0,T 3931,8.0,41.7
10,6,T 4373,7.0,T 4372,8.0,50.7
10,-44,T 4729,6.5,T 4730,6.5,19.0
11,-55,T 4800,5.5,T 4802,7.5,52.0
11,4,T 5223,6.5,T 5224,7.0,29.1
11,-29,T 5276,5.5,T 5275,6.5,8.3
12,-32,T 5473,7.5,T 5474,8.0,21.1
12,-3,T 5636,7.0,T 5638,7.0,21.6
12,19,T 5791,5.5,T 5790,7.0,18.7
13,20,T 5917,7.0,T 5916,8.0,16.9
13,-56,T 5932,5.0,T 5933,6.5,35.3
13,84,T 5957,6.0,T 5956,6.5,20.8
13,-11,T 6094,7.0,T 6096,8.0,48.6
13,56,T 6190,3.0,T 6193,6.5,13.1
14,-40,T 6408,7.5,T 6409,7.5,50.7
14,-52,T 6424,6.5,T 6423,7.5,20.0
14,-32,T 6437,4.5,T 6438,7.0,8.1
15,-45,T 7069,7.5,T 7067,8.0,37.5
15,-48,T 7070,5.0,T 7071,7.0,28.0
16,-34,T 7395,6.5,T 7396,6.5,8.5
16,-39,T 7478,7.0,T 7477,7.5,42.9
16,17,T 7509,5.5,T 7510,8.0,30.9
16,-19,T 7521,4.0,T 7520,7.0,31.2
16,-31,T 7571,6.0,T 7570,8.0,23.0
16,-20,T 7581,7.5,T 7582,8.0,48.0
17,-24,T 7989,5.5,T 7988,7.0,9.0
17,10,T 8133,6.0,T 8132,8.0,43.4
18,3,T 8208,6.5,T 8209,7.5,17.7
18,72,T 8269,5.5,T 8270,7.0,34.8
18,26,T 8406,6.5,T 8407,6.5,40.0
18,80,T 8463,6.5,T 8466,7.0,20.6
18,-39,T 8528,6.0,T 8529,8.0,21.1
19,37,T 8637,5.0,T 8638,6.0,42.1
19,4,T 8701,4.5,T 8702,5.0,21.9
19,-1,T 8747,8.0,T 8748,8.0,25.3
19,28,T 8980,3.0,T 8981,7.0,34.7
20,50,T 9086,6.0,T 9087,7.0,37.1
20,36,T 9100,7.0,T 9101,7.5,16.2
20,-9,T 9148,6.5,T 9149,7.0,37.0
20,20,T 9152,7.0,T 9153,7.0,43.1
20,-1,T 9283,7.0,T 9284,7.0,54.0
20,6,T 9313,7.5,T 9314,7.5,41.1
20,-19,T 9434,6.0,T 9433,7.0,30.5
20,-23,T 9449,8.0,T 9450,8.0,40.9
20,11,T 9457,7.0,T 9458,7.5,17.4
21,16,T 9598,4.0,T 9597,6.5,13.6
21,38,T 9785,5.5,T 9784,6.0,16.9
22,6,T 10044,6.0,T 10043,8.0,40.8
22,59,T 10292,7.0,T 10293,7.5,20.7
22,-17,T 10392,6.5,T 10393,6.5,12.3
22,58,T 10436,4.5,T 10435,7.5,41.4
23,39,T 10471,7.0,T 10472,7.0,21.9
23,-5,T 10542,7.5,T 10541,8.0,54.7
