RAh,Decl,name1,mag1,name2,mag2,const,dist
0,8,U 86,6.0,U 87,7.0,Psc,11.0
0,-36,U 261,6.5,U 262,8.0,Scl,4.6
1,27,U 425,6.5,U 426,6.5,Psc,4.5
1,4,U 570,5.5,U 571,6.0,Psc,33.2
1,7,U 635,5.6,U 638,6.7,Psc,23.6
2,19,U 903,4.3,U 904,4.3,Ari,8.7
2,23,U 930,4.5,U 931,8.0,Ari,37.8
2,-24,U 944,7.2,U 943,7.4,Cet,7.2
2,38,U 1002,6.0,U 1003,7.5,And,17.7
2,-6,U 1169,7.5,U 1170,7.8,Cet,4.7
2,24,U 1186,6.0,U 1185,6.4,Ari,38.6
3,-25,U 1322,7.1,U 1321,7.6,For,29.6
4,38,U 1557,8.0,U 1559,8.0,Per,29.6
6,5,U 2683,5.5,U 2684,7.5,Mon,13.1
6,-7,U 2704,5.7,U 2703,6.9,Mon,9.3
7,-32,U 2839,6.5,U 2840,8.0,CMa,44.0
7,22,U 2949,8.0,U 2950,8.0,Gem,9.4
7,-31,U 3014,6.5,U 3015,8.0,CMa,34.3
8,-27,U 3184,6.2,U 3185,6.7,Pup,11.7
8,-14,U 3220,7.0,U 3219,7.3,Pup,16.1
8,18,U 3375,6.8,U 3376,7.5,Cnc,5.8
8,27,U 3463,7.0,U 3464,7.0,Cnc,4.7
8,25,U 3466,7.0,U 3467,7.5,Cnc,5.4
8,7,U 3547,6.5,U 3548,7.5,Cnc,10.9
9,-2,U 3767,7.5,U 3768,7.5,Hya,5.8
9,-7,U 3839,7.5,U 3840,7.5,Hya,6.4
9,53,U 3944,7.8,U 3945,8.0,UMa,20.8
9,-31,U 4070,6.5,U 4069,7.0,Ant,9.1
11,74,U 4786,7.7,U 4787,7.7,Dra,7.5
11,32,U 4813,4.3,U 4814,4.3,UMa,4.3
11,4,U 4869,7.1,U 4870,8.0,Leo,28.7
11,-29,U 4910,6.2,U 4909,6.5,Hya,10.0
12,19,U 5350,4.5,U 5349,6.7,Com,19.7
13,-1,U 5396,3.5,U 5395,3.8,Vir,3.2
13,84,U 5487,5.4,U 5486,5.8,Cam,21.7
13,39,U 5498,3.0,U 5497,6.7,CVn,21.9
13,56,U 5645,4.0,U 5646,6.5,UMa,14.7
13,-26,U 5710,6.5,U 5709,7.3,Hya,10.7
14,-32,U 5821,6.0,U 5822,7.0,Cen,9.2
14,-27,U 5942,7.7,U 5943,8.0,Hya,51.6
14,-13,U 6015,7.0,U 6014,8.0,Vir,2.3
15,-25,U 6179,6.0,U 6180,7.6,Hya,8.6
15,-21,U 6247,6.6,U 6246,7.8,Lib,14.5
15,6,U 6300,7.3,U 6299,7.5,Vir,11.1
15,48,U 6318,7.0,U 6319,7.0,Boo,4.7
15,-24,U 6498,6.8,U 6497,7.0,Lib,9.4
16,37,U 6575,5.5,U 6574,6.8,CrB,6.8
16,-35,U 6602,6.5,U 6604,7.0,Lup,33.1
16,-25,U 6657,5.5,U 6655,8.0,Sco,39.3
16,-34,U 6681,6.5,U 6682,6.5,Lup,10.3
16,-11,U 6743,5.2,U 6744,8.0,Sco,8.6
16,-39,U 6773,6.3,U 6771,6.8,Sco,45.2
16,17,U 6794,5.5,U 6795,5.8,Her,30.3
16,-19,U 6810,4.1,U 6808,6.0,Sco,42.8
16,-33,U 6882,7.5,U 6883,7.7,Sco,5.6
16,-29,U 6894,6.0,U 6893,7.0,Sco,7.8
16,37,U 6916,7.6,U 6915,7.8,CrB,2.3
17,-19,U 7143,5.5,U 7142,7.5,Oph,4.6
17,-24,U 7296,6.5,U 7295,7.5,Oph,9.5
18,-13,U 7534,7.6,U 7535,7.6,Ser,15.0
18,18,U 7685,7.8,U 7686,7.8,Her,2.6
18,22,U 7741,5.5,U 7742,5.5,Her,6.6
18,3,U 7772,6.0,U 7773,7.2,Oph,6.6
18,26,U 7806,5.5,U 7807,5.5,Her,15.0
18,-19,U 7895,7.2,U 7897,8.0,Sgr,19.0
18,80,U 7896,5.0,U 7898,5.0,Dra,19.9
18,-27,U 7971,7.0,U 7969,8.0,Sgr,44.1
19,-1,U 8115,7.0,U 8116,7.7,Aql,13.6
19,37,U 8125,5.0,U 8128,5.5,Lyr,45.4
19,33,U 8163,3.0,U 8164,7.4,Lyr,46.7
19,4,U 8196,5.8,U 8199,6.0,Ser,22.5
19,-37,U 8224,7.0,U 8225,7.0,CrA,12.7
19,-34,U 8302,7.4,U 8301,8.0,Sgr,10.3
19,-34,U 8342,7.0,U 8343,7.0,Sgr,14.0
19,28,U 8547,3.3,U 8548,7.3,Cyg,34.8
20,-9,U 8761,6.0,U 8762,6.2,Aql,35.8
20,38,U 8836,6.0,U 8837,6.5,Cyg,2.7
20,38,U 8927,7.1,U 8925,7.2,Cyg,42.8
20,-14,U 9108,7.5,U 9109,7.5,Cap,23.8
20,-19,U 9116,6.5,U 9115,7.0,Cap,22.6
20,-23,U 9134,7.5,U 9135,7.8,Cap,39.5
20,11,U 9139,7.0,U 9141,7.0,Del,14.7
21,16,U 9289,3.3,U 9288,6.3,Del,12.7
21,-43,U 9416,7.0,U 9420,7.0,Mic,57.9
21,38,U 9474,5.5,U 9477,6.0,Cyg,38.2
21,70,U 9666,3.0,U 9664,8.0,Cep,12.0
22,55,U 9858,7.0,U 9859,7.0,Cep,20.2
22,-18,U 9913,7.0,U 9914,7.0,Aqr,4.6
22,82,U 9990,7.3,U 9986,7.5,Cep,13.0
22,-17,U 10128,6.7,U 10127,6.8,Aqr,9.1
22,-1,U 10149,4.7,U 10150,5.0,Aqr,4.5
22,-33,U 10164,5.6,U 10165,8.0,PsA,30.6
23,39,U 10211,6.2,U 10209,7.0,Lac,22.7
23,36,U 10369,5.5,U 10368,8.0,Lac,54.2
23,-9,U 10603,7.5,U 10602,8.0,Aqr,7.3
0,-28,U 10842,7.0,U 10841,7.8,Scl,8.5
0,-27,U 10891,7.8,U 10892,8.0,Scl,0.7
0,65,U 10919,6.0,U 10920,7.5,Cas,15.5
