StarNumber,Reference
5,L 9723
6,OA 23240
7,L 9724
8,L 9725
10,L 9726
13,L 9728
14,Lal 47280
15,L 9729
16,L 9727
17,L 9730
18,OA 23250
19,L 9731
21,L 9733
22,Lal 47300
27,L 9732
30,L 9735
32,L 9736
34,Lal 47318
37,OA 10
38,L 9745
39,OA 11
40,Lal 47332
41,Lal 47333
42,L 9737
46,L 9738
48,L 9739
50,L 9740
60,L 9746
61,L 9744
64,Lal 47374
66,L 9747
67,L 9749
68,L 9748
70,Lal 1
72,L 9750
71,Lal 6
73,L 9752
75,OA 36
76,L 9751
77,Lal 19
81,L 9754
83,L 9755
87,Lal 32
89,L 9757
90,Lal 48
92,OA 42
94,L 9759
96,OA 45
98,L 9761
99,Lal 67
100,L 9762
101,Lal 72
102,L 9763
104,L 9764
105,L 9765
106,Lal 85
107,L 9766
108,L 1
111,OA 53
112,OA 54
113,L 3
114,L 2
116,L 4
117,L 5
118,L 6
119,OA 59
120,OA 62
122,L 7
123,L 8
124,L 9
125,L 10
127,L 11
129,L 12
132,Lal 156
133,Lal 155
134,L 13
135,Lal 158
137,Lal 162
138,L 14
139,L 15
143,Lal 167
144,Lal 179
145,L 16
146,Lal 183
147,L 23
148,L 17
149,L 18
151,OA 80
152,OA 82
154,OA 83
155,L 19
160,L 20
162,L 21
167,L 22
170,OA 89
172,OA 91
173,L 25
175,L 30
177,Lal 224
178,L 26
180,Lal 234
181,L 28
182,L 29
183,L 27
184,L 32
187,L 31
194,Lal 257
195,L 33
198,Lal 265
201,Lal 275
203,OA 102
204,Lal 276
205,Lal 291
206,L 34
208,OA 107
209,L 36
210,OA 108
211,Lal 305
212,L 35
215,L 37
216,L 39
217,Lal 309
218,L 38
220,OA 111
221,OA 113
224,L 41
225,L 42
227,L 43
229,L 44
231,L 45
232,Lal 341
234,L 47
239,L 46
242,OA 124
245,OA 125
247,L 48
248,L 49
249,Lal 390
250,L 50
251,L 51
252,OA 130
254,L 57
258,L 52
265,OA 135
266,Lal 405
267,L 56
268,OA 139
272,OA 140
274,L 58
275,OA 142
278,OA 143
279,L 64
281,OA 144
283,L 59
287,L 60
289,L 61
290,L 63
292,L 62
293,Lal 434
294,OA 150
296,L 65
299,L 67
300,L 66
303,L 68
305,L 69
306,L 70
307,L 71
310,L 72
311,OA 159
312,L 76
313,OA 163
314,OA 161
316,Lal 477
317,L 73
318,OA 165
320,OA 167
323,OA 169
324,L 75
327,L 77
330,L 79
331,L 78
337,L 81
338,OA 176
350,L 86
352,Lal 552
354,L 88
357,OA 186
358,OA 188
362,Lal 573
363,L 90
366,L 93
368,L 91
369,L 92
370,Lal 599
371,Lal 594
373,OA 204
374,OA 205
375,Lal 611
376,OA 206
381,L 96
382,L 97
383,Lal 629
384,OA 212
386,Lal 635
387,L 98
388,St 167
390,L 99
396,L 100
398,L 101
399,L 102
400,Lal 644
401,OA 222
402,Lal 647
403,L 113
410,L 104
411,L 103
413,Lal 666
414,L 105
419,L 106
420,L 107
424,L 108
425,L 109
427,L 110
428,OA 237
429,OA 238
431,Lal 718
432,L 111
433,Lal 722
449,L 117
451,L 119
449,L 117
450,Lal 759
454,L 118
457,OA 250
461,L 121
464,Lal 797
466,OA 260
467,L 123
468,Lal 806
472,L 122
473,L 122
474,L 124
475,OA 267
476,L 125
477,L 126
478,L 127
480,L 130
481,Lal 830
482,L 128
485,L 129
486,L 132
487,OA 270
488,L 131
492,Lal 840
493,Lal 837
494,Lal 837
495,L 135
496,L 133
499,OA 273
500,L 134
501,L 137
502,L 136
504,OA 276
506,OA 277
507,L 138
512,OA 283
513,L 141
514,L 141
516,L 140
518,L 144
518,L 144
520,Lal 911
524,L 142
525,OA 295
526,L 145
532,L 146
533,OA 301
535,OA 302
536,OA 303
537,Lal 933
539,L 148
540,OA 304
544,L 147
544,L 147
546,L 151
548,L 150
549,OA 306
550,L 149
553,L 154
554,OA 308
555,L 152
556,Lal 969
559,L 153
562,OA 315
563,L 155
564,L 161
565,L 156
568,Lal 988
570,OA 319
571,L 158
572,L 157
574,OA 325
575,L 168
574,OA 326
577,OA 326
582,L 159
583,L 160
591,OA 335
592,Lal 1031
593,L 163
594,L 171
595,OA 337
598,L 164
599,L 173
601,L 162
603,OA 340
604,L 165
607,Lal 1064
608,L 167
609,L 170
612,Lal 1069
613,OA 348
614,OA 349
616,L 169
617,L 172
619,L 174
618,L 175
621,L 176
623,Lal 1105
625,Lal 1107
628,OA 360
629,L 179
631,Lal 1119
632,L 178
635,L 197
637,L 182
638,L 182
639,L 228
640,Lal 1135
641,Lal 1137
642,L 181
644,Lal 1138
646,L 212
648,L 184
650,Lal 1148
652,L 186
654,L 185
658,L 191
659,L 187
661,Lal 1168
663,L 189
667,OA 388
668,L 195
669,L 193
670,L 196
671,L 194
673,Lal 1204
674,L 198
675,Lal 1199
677,L 199
678,L 242
681,L 200
682,OA 395
683,Lal 1216
686,L 201
687,L 206
688,Lal 1228
689,OA 399
691,L 202
693,L 211
694,L 204
698,L 205
