StarNumber,Magnitude,Reference,PageIndex,Validation_Note
1,9,ZC 1,20,OK
2,8.5,ZC 3,20,OK
3,8.7,ZC 4,20,OK
4,9,ZC 5,20,OK
5,7.2,L 9723,20,OK
6,8.5,OA 23240,20,OK
7,6.3,L 9724,20,OK
8,6.7,L 9725,20,OK
9,8,ZC 16,20,OK
10,8,L 9726,20,OK
11,9,ZC 22,20,OK
12,8.5,ZC 24,20,OK
13,8.5,L 9728,20,OK
14,6.3,Ll 47280,20,OK
15,6.9,L 9729,20,OK
16,8,L 9727,20,OK
17,7.7,L 9730,20,OK
18,8.5,OA 23250,20,OK
19,8,L 9731,20,OK
20,8.2,ZC 37,20,OK
21,7.2,L 9733,20,OK
22,6.5,Ll 47300,20,OK
23,8.5,ZC 39,20,OK
24,8.5,ZC 40,20,OK
25,8.5,ZC 41,20,OK
26,8.5,ZC 42,20,OK
27,5.9,L 9732,20,OK
28,7,Melb I 2,20,OK
29,8.2,ZC 45,20,OK
30,5.7,L 9735,20,OK
31,6.4,By 3214,20,OK
32,8,L 9736,20,OK
33,9.5,,21,OK
34,6.2,Ll 47318,21,OK
35,7.2,L (9734),21,OK
36,8,ZC 51,21,OK
37,7.7,OA 10,21,OK
38,7.7,L 9745,21,OK
39,8.2,OA 11,21,OK
40,6.2,Ll 47332,21,OK
41,7.5,Ll 47333,21,OK
42,7.7,L 9737,21,OK
43,8.5,ZC 59,21,OK
44,7.7,ZC 60,21,OK
45,8,L (9743),21,OK
46,7.5,L 9738,21,OK
47,8.7,L 9739,21,OK
48,8,,21,OK
49,7.7,ZC 69,21,OK
50,6.4,L 9740,21,OK
51,9.5,,21,OK
52,8.7,ZC 72,21,OK
53,7.5,UA 38.5 α,21,OK
54,10,ZC 76,21,OK
55,7,UA 38.5 b,21,OK
56,5.5,,21,OK
57,3.8,ZC 83,21,OK
58,9,ZC 88,21,OK
59,9.5,L 9746,21,OK
60,8.5,,21,OK
61,8.5,L 9744,21,OK
62,9.2,ZC 99,21,OK
63,8.7,Ll 47374,21,OK
64,7.5,ZC 102,21,OK
65,7.7,L 9747,21,OK
66,7.2,L 9749,21,OK
67,6.6,L 9748,21,OK
68,8,ZC 106,21,OK
69,8.7,Ll 1,21,OK
70,6.1,L 9750,21,OK
71,8.5,Ll 6,21,OK
72,7.5,L 9752,21,OK
73,8,,21,OK
74,8.7,OA 36,21,OK
75,8.5,L 9751,21,OK
76,7,,21,OK
77,5.9,Ll 19,21,OK
78,5.6,,22,OK
79,8.5,ZC 122,22,OK
80,8,ZC 123,22,OK
81,8.2,L 9754,22,OK
82,7.2,L 9755,22,OK
83,6.9,ZC 127,22,OK
84,9.2,ZC 129,22,OK
85,9.5,ZC 131,22,OK
86,8.5,Ll 32,22,OK
87,7.5,F 6,22,OK
88,5.1,L 9757,22,OK
89,7.5,Ll 48,22,OK
90,7,OA 42,22,OK
91,5.4,ZC 145,22,OK
92,8.5,L 9759,22,OK
93,8.5,OA 45,22,OK
94,8.5,ZC 154,22,OK
95,5.4,L 9761,22,OK
96,8,Ll 67,22,OK
97,8.2,L 9762,22,OK
98,6.6,Ll 72,22,OK
99,6.8,L 9763,22,OK
100,8,ZC 158,22,OK
101,5.4,L 9764,22,OK
102,8,L 9765,22,OK
103,8.5,Ll 85,22,OK
104,7.7,L 9766,22,OK
105,7.5,L 1,22,OK
106,8.5,ZC 172,22,OK
107,7.7,ZC 173,22,OK
108,7.5,OA 53,22,OK
109,8.2,OA 54,22,OK
110,9,OA 55,22,OK
111,8.5,L 3,22,OK
112,8.5,L 2,22,OK
113,7.5,P 10,22,OK
114,6.9,L 4,22,OK
115,8,L 5,22,OK
116,7.2,,22,OK
117,7.7,,22,OK
118,7.0,L 6,23,OK
119,8.7,OA 59,23,OK
120,8.5,OA 62,23,OK
121,9,Melb.I 10,23,OK
122,6.0,L 7,23,OK
123,7.0,L 8,23,OK
124,6.3,L 9,23,OK
125,6.9,L 10,23,OK
126,8.7,ZC 203,23,OK
127,7.2,L 11,23,OK
128,9.2,ZC 208,23,OK
129,7.2,L 12,23,OK
130,9,ZC 214,23,OK
131,8,Ll 156,23,OK
132,7.0,Ll 155,23,OK
133,7,L 13,23,OK
134,6.6,Ll 158,23,OK
135,5.4,OA (70),23,OK
136,9,Ll 162,23,OK
137,7.7,L 14,23,OK
138,8,L 15,23,OK
139,7.5,UA 48,23,OK
140,7.0,,23,OK
141,8.5,ZC 226,23,OK
142,4.3,F 7,23,OK
143,6.8,Ll 167,23,OK
144,7,Ll 179,23,OK
145,7.2,L 16,23,OK
146,5.9,Ll 183,23,OK
147,6.4,L 23,23,OK
148,7.2,L 17,23,OK
149,6.4,L 18,23,OK
150,7.7,ZC 234,23,OK
151,9,OA 80,23,OK
152,8.7,OA 82,23,OK
153,8.2,P 21,23,OK
154,8.7,OA 83,23,MISMATCH_REF_8.2
155,7.5,L 19,23,OK
156,10,,23,OK
157,8,Y 91,23,OK
158,8.5,ZC 246,23,OK
159,8.5,ZC 247,23,OK
160,7.5,L 20,23,OK
161,9.2,OA 85,23,OK
162,8,L 21,23,OK
163,9.2,ZC 254,23,OK
164,8.5,ZC 255,23,OK
165,8.5,ZC 257,24,OK
166,8,ZC 261,24,OK
167,5.9,L 22,24,OK
168,9,Ll 222,24,OK
169,8.7,OA 89,24,OK
170,9.5,Melb I 11,24,OK
171,8.5,OA 91,24,OK
172,8.2,L 25,24,OK
173,8,ZC 273,24,OK
174,8,L 30,24,OK
175,6.7,ZC 275,24,OK
176,9,Ll 224,24,OK
177,8,L 26,24,OK
178,7.5,ZC 282,24,OK
179,9,Ll 234,24,OK
180,6.5,L 28,24,OK
181,8,L 29,24,OK
182,7.0,L 27,24,OK
183,6.5,L 32,24,OK
184,7.4,ZC 288,24,OK
185,8,ZC 289,24,OK
186,10,L 31,24,OK
187,7,P 29,24,OK
188,9,ZC 295,24,OK
189,8.7,ZC 296,24,MISMATCH_REF_9.0
190,7.5,ZC 298,24,OK
191,8.5,ZC 299,24,OK
192,8.2,ZC 300,24,MISMATCH_REF_8.7
193,9.5,Ll 257,24,OK
194,6.6,L 33,24,OK
195,7.0,ZC 303,24,OK
196,9.5,Melb I 13,24,OK
197,8.5,Ll 265,24,OK
198,7.7,,24,OK
199,10.2,,24,OK
200,8.7,Ll 275,24,OK
201,6.7,Melb I 14,24,OK
202,8.5,OA 102,24,OK
203,8.5,Ll 276,24,OK
204,7.5,Ll 291,24,OK
205,6.6,L 34,24,OK
206,6.6,ZC 325,24,OK
207,8.5,OA 107,24,OK
208,8.7,L 36,24,OK
209,7.7,OA 108,24,OK
210,8.5,Ll 305,24,OK
211,7,L 35,24,OK
212,7.2,,24,OK
213,9,L 37,24,OK
214,7.5,,24,OK
215,8,L 39,24,OK
216,8,Ll 309,24,OK
217,8.5,,24,OK
218,6.6,L 38,25,OK
219,8.2,Melb I 16,25,OK
220,8.7,OA 111,25,OK
221,8.7,OA 113,25,OK
222,7.3,,25,OK
223,3.5,,25,OK
224,8,L 41,25,OK
225,7.2,L 42,25,OK
226,7.2,WB 199,25,OK
227,7.5,L 43,25,OK
228,8,Melb I 17,25,OK
229,8.2,L 44,25,OK
230,8.7,,25,OK
231,7.2,L 45,25,OK
232,7.0,Ll 341,25,OK
233,4.1,,25,OK
234,8,L 47,25,OK
235,8,ZC 360,25,OK
236,8.5,ZC 361,25,OK
237,7.5,P 44,25,OK
238,9,ZC 363,25,OK
239,7.5,L 46,25,OK
240,9.5,,25,OK
241,9.5,ZC 367,25,OK
242,8.5,OA 124,25,OK
243,9,ZC 370,25,OK
244,9,ZC 371,25,OK
245,8.5,OA 125,25,OK
246,8.2,ZC 377,25,OK
247,7.0,L 48,25,OK
248,8,L 49,25,OK
249,7.2,Ll 390,25,OK
250,6.7,L 50,25,OK
251,7.7,L 51,25,OK
252,9.2,OA 130,25,OK
253,5.7,L 57,25,OK
254,8,,25,OK
255,9,ZC 389,25,OK
256,8.2,B 30,25,OK
257,9,ZC 391,25,OK
258,7.5,L 52,25,OK
259,8.7,ZC 393,26,OK
260,9,ZC 394,26,OK
261,9,ZC 395,26,OK
262,9.2,ZC 396,26,OK
263,5.3,P 49,26,OK
264,8.5,OA 135,26,OK
265,8.7,Ll 405,26,OK
266,var.,L 56,26,OK
267,8.7,,26,OK
268,7.7,OA 139,26,OK
269,7.5,,26,OK
270,8.5,ZC 412,26,OK
271,8,OA 140,26,OK
272,8.7,ZC 416,26,OK
273,9,L 58,26,OK
274,7.2,,26,OK
275,8.5,OA 142,26,OK
276,7.7,ZC 422,26,OK
277,8.5,ZC 424,26,OK
278,8.5,OA 143,26,OK
279,6.4,L 64,26,OK
280,8.5,OA 144,26,OK
281,8.5,ZC 430,26,OK
282,8,L 59,26,OK
283,6.7,F 9,26,OK
284,6.4,ZC 435,26,OK
285,8.5,ZC 436,26,OK
286,7.7,L 60,26,OK
287,7.5,ZC 438,26,OK
288,9.2,L 61,26,OK
289,6.6,L 63,26,OK
290,7.2,ZC 442,26,OK
291,9.5,L 62,26,OK
