CROSS_NORTH - Compare several catalogs.
Made in 2025 by Daniel Severin.
Star already corrected (BD 88°117)
Star already corrected (BD 84°24)
Star already corrected (BD 80°25)
Star already corrected (BD 80°193)
Star already corrected (BD 79°674)
Star already corrected (BD 73°533)
Star already corrected (BD 72°840)
Star already corrected (BD 72°918)
Star already corrected (BD 71°148)
Star already corrected (BD 69°588)
Star already corrected (BD 69°979)
Star already corrected (BD 67°562)
Star already corrected (BD 66°792)
Star already corrected (BD 65°1469)
Star already corrected (BD 64°1513)
Star already corrected (BD 61°293)
Star already corrected (BD 61°1008)
Star already corrected (BD 61°1250)
Star already corrected (BD 60°982)
Star already corrected (BD 57°1534)
Star already corrected (BD 57°2861)
Star already corrected (BD 56°1400)
Star already corrected (BD 55°2135)
Star already corrected (BD 55°2886)
Star already corrected (BD 54°1068)
Star already corrected (BD 54°1736)
Star already corrected (BD 52°86)
Star already corrected (BD 52°1172)
Star already corrected (BD 51°123)
Star already corrected (BD 51°594)
Star already corrected (BD 50°290)
Star already corrected (BD 50°557)
Star already corrected (BD 50°678)
Star already corrected (BD 50°871)
Star already corrected (BD 50°2999)
Star already corrected (BD 49°1001)
Star already corrected (BD 49°3520)
Star already corrected (BD 49°3847)
Star already corrected (BD 47°1318)
Star already corrected (BD 47°3057)
Star already corrected (BD 46°1670)
Star already corrected (BD 46°2740)
Star already corrected (BD 46°4039)
Star already corrected (BD 44°1299)
Star already corrected (BD 44°1301)
Star already corrected (BD 42°376)
Star already corrected (BD 42°4228)
Star already corrected (BD 41°1582)
Star already corrected (BD 41°1608)
Star already corrected (BD 41°1869)
Star already corrected (BD 41°3348)
Star already corrected (BD 40°4753)
Star already corrected (BD 39°530)
Star already corrected (BD 39°1986)
Star already corrected (BD 39°2567)
Star already corrected (BD 37°569)
Star already corrected (BD 36°204)
Star already corrected (BD 35°438)
Star already corrected (BD 34°176)
Star already corrected (BD 34°245)
Star already corrected (BD 34°269)
Star already corrected (BD 34°324)
Star already corrected (BD 34°422)
Star already corrected (BD 34°489)
Star already corrected (BD 34°531)
Star already corrected (BD 34°666)
Star already corrected (BD 34°748)
Star already corrected (BD 34°902)
Star already corrected (BD 34°1525)
Star already corrected (BD 34°1540)
Star already corrected (BD 34°1641)
Star already corrected (BD 34°2119)
Star already corrected (BD 34°2937)
Star already corrected (BD 33°162)
Star already corrected (BD 33°967)
Star already corrected (BD 33°968)
Star already corrected (BD 33°1455)
Star already corrected (BD 33°1488)
Star already corrected (BD 33°1865)
Star already corrected (BD 33°2018)
Star already corrected (BD 33°2041)
Star already corrected (BD 33°3237)
Star already corrected (BD 33°3582)
Star already corrected (BD 33°4238)
Star already corrected (BD 33°4239)
Star already corrected (BD 33°4603)
Star already corrected (BD 33°4685)
Star already corrected (BD 33°4726)
Star already corrected (BD 32°162)
Star already corrected (BD 32°548)
Star already corrected (BD 32°589)
Star already corrected (BD 32°707)
Star already corrected (BD 32°923)
Star already corrected (BD 32°1092)
Star already corrected (BD 32°1902)
Star already corrected (BD 32°2026)
Star already corrected (BD 32°2039)
Star already corrected (BD 32°2164)
Star already corrected (BD 32°2201)
Star already corrected (BD 32°2237)
Star already corrected (BD 32°2695)
Star already corrected (BD 31°206)
Star already corrected (BD 31°1768)
Star already corrected (BD 31°1771)
Star already corrected (BD 31°2042)
Star already corrected (BD 31°2079)
Star already corrected (BD 31°2598)
Star already corrected (BD 31°2817)
Star already corrected (BD 31°2890)
Star already corrected (BD 31°2901)
Star already corrected (BD 31°2926)
Star already corrected (BD 31°3096)
Star already corrected (BD 31°3147)
Star already corrected (BD 31°3175)
Star already corrected (BD 31°3308)
Star already corrected (BD 31°4375)
Star already corrected (BD 31°4378)
Star already corrected (BD 31°4837)
Star already corrected (BD 31°4914)
Star already corrected (BD 31°4916)
Star already corrected (BD 30°585)
Star already corrected (BD 30°4456)
Star already corrected (BD 29°405)
Star already corrected (BD 29°1423)
Star already corrected (BD 29°2585)
Star already corrected (BD 29°2632)
Star already corrected (BD 29°2633)
Star already corrected (BD 29°4231)
Star already corrected (BD 29°4470)
Star already corrected (BD 28°258)
Star already corrected (BD 28°1298)
Star already corrected (BD 28°1458)
Star already corrected (BD 28°1563)
Star already corrected (BD 27°620)
Star already corrected (BD 27°1760)
Star already corrected (BD 27°1861)
Star already corrected (BD 27°2136)
Star already corrected (BD 27°2510)
Star already corrected (BD 27°2529)
Star already corrected (BD 27°3018)
Star already corrected (BD 27°3027)
Star already corrected (BD 27°4133)
Star already corrected (BD 26°2057)
Star already corrected (BD 26°2648)
Star already corrected (BD 25°391)
Star already corrected (BD 25°2961)
Star already corrected (BD 25°2964)
Star already corrected (BD 25°4374)
Star already corrected (BD 25°5047)
Star already corrected (BD 25°5048)
Star already corrected (BD 24°3447)
Star already corrected (BD 24°3449)
Star already corrected (BD 24°4462)
Star already corrected (BD 24°4535)
Star already corrected (BD 23°425)
Star already corrected (BD 23°1814)
Star already corrected (BD 23°4157)
Star already corrected (BD 22°1423)
Star already corrected (BD 22°3095)
Star already corrected (BD 21°2359)
Star already corrected (BD 20°184)
Star already corrected (BD 20°2636)
Star already corrected (BD 19°2041)
Star already corrected (BD 19°2856)
Star already corrected (BD 19°3508)
Star already corrected (BD 19°4908)
Star already corrected (BD 18°2679)
Star already corrected (BD 17°88)
Star already corrected (BD 17°4368)
Star already corrected (BD 16°409)
Star already corrected (BD 16°588)
Star already corrected (BD 16°4193)
Star already corrected (BD 16°4290)
Star already corrected (BD 16°4458)
Star already corrected (BD 16°4921)
Star already corrected (BD 15°613)
Star already corrected (BD 15°622)
Star already corrected (BD 15°4392)
Star already corrected (BD 15°4395)
Star already corrected (BD 14°2850)
Star already corrected (BD 14°3726)
Star already corrected (BD 14°3727)
Star already corrected (BD 13°4688)
Star already corrected (BD 13°5168)
Star already corrected (BD 12°3382)
Star already corrected (BD 10°402)
Star already corrected (BD 10°2494)
Star already corrected (BD 10°3787)
Star already corrected (BD 9°852)
Star already corrected (BD 9°856)
Star already corrected (BD 9°4813)
Star already corrected (BD 9°5059)
Star already corrected (BD 8°492)
Star already corrected (BD 8°1414)
Star already corrected (BD 8°1417)
Star already corrected (BD 8°2631)
Star already corrected (BD 8°2632)
Star already corrected (BD 8°3411)
Star already corrected (BD 7°3199)
Star already corrected (BD 7°3209)
Star already corrected (BD 5°3883)
Star already corrected (BD 5°3897)
Star already corrected (BD 4°2061)
Star already corrected (BD 4°2290)
Star already corrected (BD 4°4993)
Star already corrected (BD 3°53)
Star already corrected (BD 3°1471)
Star already corrected (BD 3°1726)
Star already corrected (BD 3°3085)
Star already corrected (BD 2°2556)
Star already corrected (BD 2°4448)
Star already corrected (BD 1°1564)
Star already corrected (BD 1°2129)
Star already corrected (BD 0°1010)
Star already corrected (BD 0°1236)
Star already corrected (BD 0°3946)
Star already corrected (BD -1°3364)
Star already corrected (BD -1°4185)
Star already corrected (BD -1°4186)
Stars read from Bonner Durchmusterung: 324652

***************************************
Perform comparison between Weisse catalog and PPM...
Stars read from PPM: 468861
1) Warning: WB 0h 31 is ALONE (nearest PPM star at 176.7 arcsec).
2) Warning: WB 0h 53 is ALONE (nearest PPM star at 554.9 arcsec).
3) Warning: WB 0h 125 is ALONE (nearest PPM star at 224.9 arcsec).
4) Warning: WB 0h 130 is ALONE (nearest PPM star at 379.0 arcsec).
5) Warning: WB 0h 136 is ALONE (nearest PPM star at 341.8 arcsec).
6) Warning: WB 0h 145 is ALONE (nearest PPM star at 101.2 arcsec).
7) Warning: WB 0h 161 is ALONE (nearest PPM star at 147.3 arcsec).
8) Warning: WB 0h 166 is ALONE (nearest PPM star at 145.8 arcsec).
9) Warning: WB 0h 200 is ALONE (nearest PPM star at 380.1 arcsec).
10) Warning: WB 0h 208 is ALONE (nearest PPM star at 436.1 arcsec).
11) Warning: WB 0h 232 is ALONE (nearest PPM star at 173.3 arcsec).
12) Warning: WB 0h 236 is ALONE (nearest PPM star at 551.2 arcsec).
13) Warning: WB 0h 244 is ALONE (nearest PPM star at 661.5 arcsec).
14) Warning: WB 0h 401 is ALONE (nearest PPM star at 600.6 arcsec).
15) Warning: WB 0h 413 is ALONE (nearest PPM star at 465.3 arcsec).
16) Warning: WB 0h 429 is ALONE (nearest PPM star at 143.8 arcsec).
17) Warning: WB 0h 444 is ALONE (nearest PPM star at 130.7 arcsec).
18) Warning: WB 0h 445 is ALONE (nearest PPM star at 237.4 arcsec).
19) Warning: WB 0h 455 is ALONE (nearest PPM star at 145.8 arcsec).
