index,decl,num,ref,delta10
2,-23,111,AGK A135,16
6,-24,376,AGK A415,37
7,-25,338,AGK A420,25
10,-26,357,AGK A519,11
12,-23,473,AGK A607,12
20,-26,996,AGK A1241,18
23,-22,1054,AGK A1432,28
24,-26,1159,AGK A1460,11
29,-23,1600,AGK A1796,19
32,-23,1810,AGK A1978,15
40,-25,2601,AGK A2888,10
44,-22,2917,AGK A3436,29
47,-23,3991,AGK A3720,15
48,-23,4144,AGK A3834,10
49,-24,4356,AGK A3928,12
52,-24,4559,AGK A4142,11
53,-25,3773,AGK A4165,12
54,-24,4639,AGK A4211,13
57,-25,4005,AGK A4419,10
59,-24,4940,AGK A4532,10
60,-23,5189,AGK A4680,11
62,-22,4587,AGK A5026,10
64,-23,5768,AGK A5173,11
65,-26,4707,AGK A5248,30
66,-26,4707,AGK A5249,20
68,-25,5218,AGK A5636,13
72,-23,7143,AGK A6239,12
75,-23,7902,AGK A6886,25
77,-26,7150,AGK A7403,10
78,-24,8247,AGK A7480,11
79,-22,7542,AGK A7603,11
80,-26,7412,AGK A7641,25
85,-23,9206,AGK A8107,17
86,-23,9206,AGK A8108,12
87,-23,9296,AGK A8191,16
89,-23,9699,AGK A8596,10
92,-23,10009,AGK A8851,31
93,-24,9859,AGK A8921,11
94,-22,9051,AGK A8935,13
95,-25,8842,AGK A8978,10
96,-23,10247,AGK A9054,12
97,-26,8903,AGK A9112,10
98,-26,8908,AGK A9123,14
99,-22,9344,AGK A9270,23
107,-25,9900,AGK A9993,22
109,-24,11477,AGK A10419,13
110,-24,11523,AGK A10459,16
114,-24,11661,AGK A10612,33
117,-24,12155,AGK A11020,13
120,-24,12481,AGK A11277,21
121,-23,12700,AGK A11314,29
123,-25,11485,AGK A11444,55
124,-23,12861,AGK A11474,25
125,-24,12857,AGK A11633,10
126,-26,11875,AGK A11809,12
127,-24,13255,AGK A11941,27
135,-25,13320,AGK A12952,10
136,-22,13399,AGK A13128,10
138,-25,13770,AGK A13301,28
140,-26,14337,AGK A13642,13
141,-26,14336,AGK A13643,20
142,-26,14362,AGK A13662,10
148,-25,15489,AGK A14822,11
149,-24,16860,AGK A14953,11
164,-30,478,AGK B513,20
177,-30,815,AGK B890,12
182,-30,909,AGK B963,12
183,-28,819,AGK B986,35
