index,decl,num,ref,dist10
1,-23,26,AGK A48,17251
3,-27,116,AGK A149,23854
4,-24,156,AGK A185,2286
5,-24,298,AGK A349,16829
8,-22,338,AGK A479,19502
9,-23,387,AGK A508,4358
11,-26,371,AGK A549,12999
13,-24,675,AGK A768,12403
14,-24,677,AGK A770,23509
15,-24,678,AGK A773,14849
16,-23,715,AGK A889,6273
17,-26,704,AGK A904,21540
18,-26,705,AGK A907,25961
19,-26,706,AGK A909,30249
21,-23,1092,AGK A1312,8476
22,-23,1092,AGK A1313,8510
25,-26,1304,AGK A1608,11685
26,-24,1836,AGK A1719,8990
27,-23,1537,AGK A1734,9054
28,-26,1426,AGK A1744,16294
30,-26,1572,AGK A1925,10982
31,-26,1574,AGK A1928,14298
33,-23,1831,AGK A1993,8188
34,-25,1820,AGK A2020,5978
35,-26,1773,AGK A2204,25591
36,-26,1928,AGK A2390,30552
37,-24,2783,AGK A2446,6153
38,-26,2132,AGK A2631,16198
39,-25,2451,AGK A2737,26731
41,-25,2622,AGK A2911,5452
42,-25,2666,AGK A2973,2539
43,-24,3857,AGK A3429,1938
45,-25,3107,AGK A3461,22926
46,-25,3297,AGK A3690,5116
50,-24,4384,AGK A3959,4725
51,-22,3491,AGK A3997,10951
55,-22,3867,AGK A4301,5049
56,-23,4735,AGK A4309,11145
58,-22,4043,AGK A4472,9389
61,-24,5419,AGK A4960,7753
63,-25,4596,AGK A5035,1849
67,-24,5836,AGK A5372,16517
69,-26,5349,AGK A5816,19857
70,-25,5710,AGK A6069,10058
71,-23,6942,AGK A6075,5811
73,-26,5993,AGK A6342,20400
74,-26,6394,AGK A6716,28336
76,-25,7113,AGK A7244,19858
81,-23,8777,AGK A7705,2073
82,-23,8801,AGK A7735,2561
83,-22,7991,AGK A7994,6352
84,-22,8093,AGK A8087,15310
88,-24,9390,AGK A8490,9749
90,-23,9705,AGK A8604,17504
91,-25,8541,AGK A8701,21698
100,-26,9072,AGK A9292,20300
101,-24,10290,AGK A9331,23606
102,-22,9451,AGK A9398,14132
103,-25,9325,AGK A9466,5286
104,-24,10582,AGK A9633,7739
105,-24,10588,AGK A9638,17703
106,-24,10780,AGK A9795,15375
108,-23,11490,AGK A10250,29194
111,-24,11535,AGK A10473,17727
112,-24,11663,AGK A10601,13054
113,-24,11659,AGK A10606,7862
115,-23,11981,AGK A10713,19959
116,-25,10836,AGK A10878,5454
118,-23,12414,AGK A11049,21058
119,-25,11148,AGK A11172,6093
122,-26,11245,AGK A11361,26737
128,-26,12149,AGK A12049,6154
129,-24,13475,AGK A12172,11761
130,-24,13579,AGK A12244,7630
131,-23,13936,AGK A12488,19645
132,-23,14011,AGK A12540,6068
133,-26,12900,AGK A12552,6042
134,-23,14202,AGK A12700,23812
137,-26,13790,AGK A13292,22842
139,-24,15184,AGK A13411,3214
143,-26,14918,AGK A14105,13267
144,-26,15065,AGK A14236,8082
145,-25,14906,AGK A14302,24176
146,-22,14939,AGK A14369,1892
147,-25,15231,AGK A14589,17862
150,-25,15944,AGK A15248,18037
151,-24,17466,AGK A15516,4943
152,-24,17470,AGK A15518,2791
153,-24,17471,AGK A15519,3214
154,-24,17478,AGK A15525,17099
155,-24,17484,AGK A15529,2102
156,-24,17487,AGK A15531,21000
157,-24,17489,AGK A15533,5442
158,-25,16359,AGK A15615,11763
159,-22,16457,AGK A15854,14217
160,-24,17893,AGK A15892,24305
161,-22,16507,AGK A15904,8424
162,-24,17901,AGK A15907,15263
163,-24,17903,AGK A15909,16261
165,-31,791,AGK B703,3778
166,-31,792,AGK B704,13490
167,-31,905,AGK B873,3324
168,-31,914,AGK B875,32127
169,-31,917,AGK B876,13337
170,-31,918,AGK B877,12442
171,-31,920,AGK B879,10044
172,-31,922,AGK B881,5519
173,-31,924,AGK B884,10246
174,-31,925,AGK B885,10485
175,-31,926,AGK B886,7835
176,-31,928,AGK B888,8491
178,-31,938,AGK B900,2598
179,-31,942,AGK B903,14650
180,-31,943,AGK B904,10157
181,-31,949,AGK B909,11496
185,-31,1585,AGK B1536,7703
186,-31,1588,AGK B1537,7841
