index,decl,num,ref,dist10
1,17,5026,PPM 116071,3009
2,15,259,PPM 117652,2247
3,17,893,PPM 120819,1972
4,11,857,PPM 121122,2477
5,11,1921,PPM 125787,2281
6,13,2074,PPM 126363,8653
7,12,2132,PPM 127043,3370
8,12,2223,PPM 127501,1820
9,17,2657,PPM 129982,9044
10,11,2749,PPM 131031,1871
11,15,2819,PPM 131156,1983
12,12,3255,PPM 133583,1915
13,10,3556,PPM 134886,1823
14,12,3695,PPM 135403,1822
15,17,4041,PPM 136738,1846
16,15,3907,PPM 136813,1946
17,10,4164,PPM 137539,2495
18,13,4315,PPM 137919,2376
19,12,4447,PPM 138916,2090
20,15,4389,PPM 139931,5722
21,17,4605,PPM 140322,2090
22,10,4616,PPM 140581,2091
23,19,4871,PPM 141127,18475
24,17,4700,PPM 141128,5654
25,16,4796,PPM 141724,9013
26,14,4925,PPM 142147,2055
27,11,5006,PPM 142538,1915
28,6,151,PPM 144218,2396
29,1,410,PPM 145462,4386
30,4,416,PPM 145735,1833
31,4,538,PPM 146584,1846
32,0,1108,PPM 149109,2110
33,4,1318,PPM 150758,11798
34,3,1374,PPM 151128,3035
35,2,1367,PPM 151138,2749
36,6,1439,PPM 151541,11644
37,5,1481,PPM 151561,2263
38,4,1671,PPM 152462,2120
39,8,1757,PPM 152571,2345
40,8,1825,PPM 153008,2050
41,2,1758,PPM 153209,1872
42,0,2151,PPM 153697,2080
43,8,2038,PPM 154351,1841
44,1,2078,PPM 154370,5969
45,9,1975,PPM 154500,1968
46,6,2229,PPM 156333,3528
47,7,2545,PPM 158855,1923
48,2,2564,PPM 159058,1830
49,1,2911,PPM 160518,12192
50,3,3183,PPM 162583,2866
51,9,3277,PPM 163154,3100
52,0,3703,PPM 164115,2535
53,0,3742,PPM 164353,5428
54,9,3543,PPM 165073,1804
55,6,3621,PPM 165189,13066
56,0,3924,PPM 165686,3240
57,1,3697,PPM 166000,2554
58,0,4007,PPM 166505,7207
59,3,3794,PPM 166537,17996
60,0,4128,PPM 167340,2028
61,0,4242,PPM 168116,5958
62,2,4111,PPM 169568,4774
63,4,4414,PPM 169783,2264
64,6,4506,PPM 169871,2229
65,9,4528,PPM 170026,2017
66,0,4017,PPM 170119,2117
67,5,4560,PPM 170355,1811
68,4,4600,PPM 171197,2280
69,7,4636,PPM 171378,2410
70,7,4658,PPM 171540,17830
71,8,4691,PPM 171914,1821
72,3,4720,PPM 173144,2063
73,7,4897,PPM 173229,1814
74,1,4756,PPM 174319,1894
75,0,1008,PPM 175930,3023
76,-1,1489,PPM 176590,2409
77,-1,2359,PPM 178109,9131
78,0,2751,PPM 178412,2326
79,0,2683,PPM 179033,2214
80,0,3349,PPM 180141,1866
81,-1,4012,PPM 181045,1874
82,-1,4303,PPM 181472,2297
