index,decl,num,ref,dist10
1,-22,117,CPD -22°32,3963
2,-22,1702,CPD -22°567,8654
3,-22,1731,CPD -22°579,4883
4,-22,1855,CPD -22°634,5580
5,-22,2111,CPD -22°767,10337
6,-22,2126,CPD -22°770,12240
7,-22,3329,CPD -22°1382,1920
8,-22,4023,CPD -22°1775,29192
9,-22,4685,CPD -22°2315,1869
10,-22,5030,CPD -22°2608,18362
11,-22,5031,CPD -22°2609,14885
12,-22,5046,CPD -22°2622,2001
13,-22,5935,CPD -22°3328,17701
14,-22,6375,CPD -22°3699,4093
15,-22,6402,CPD -22°3721,24060
16,-22,6531,CPD -22°3833,2278
17,-22,6590,CPD -22°3890,5236
18,-22,6630,CPD -22°3914,1836
19,-22,6803,CPD -22°4013,9430
20,-22,7061,CPD -22°4143,2460
21,-22,7233,CPD -22°4281,4621
22,-22,7342,CPD -22°4348,17283
23,-22,8901,CPD -22°4975,33083
24,-22,8976,CPD -22°5022,2708
25,-22,9019,CPD -22°5044,6737
26,-22,9402,CPD -22°5311,11940
27,-22,9451,CPD -22°5350,14101
28,-22,10397,CPD -22°5737,23522
29,-22,10566,CPD -22°5806,6004
30,-22,12674,CPD -22°6783,3110
31,-22,12733,CPD -22°6845,2841
32,-22,12856,CPD -22°6935,2820
33,-22,13069,CPD -22°7059,16980
34,-22,13081,CPD -22°7065,6242
35,-22,13149,CPD -22°7099,2640
36,-22,14048,CPD -22°7508,3125
37,-22,14478,CPD -22°7638,4234
38,-22,14816,CPD -22°7814,2823
39,-22,15184,CPD -22°7957,25988
40,-22,15597,CPD -22°8086,23702
41,-22,15867,CPD -22°8204,14379
42,-23,613,CPD -23°196,4292
43,-23,2116,CPD -23°602,2522
44,-23,2467,CPD -23°724,2491
45,-23,2613,CPD -23°776,27672
46,-23,3312,CPD -23°1005,1861
47,-23,4206,CPD -23°1411,2048
48,-23,4333,CPD -23°1467,5821
49,-23,4347,CPD -23°1471,2255
50,-23,4698,CPD -23°1677,2160
51,-23,4864,CPD -23°1800,21914
52,-23,4939,CPD -23°1851,2281
53,-23,5341,CPD -23°2118,1813
54,-23,5446,CPD -23°2199,3180
55,-23,5473,CPD -23°2221,20821
56,-23,5503,CPD -23°2252,1801
57,-23,5828,CPD -23°2524,1863
58,-23,6125,CPD -23°2827,1804
59,-23,6135,CPD -23°2838,1861
60,-23,6360,CPD -23°3035,28800
61,-23,6942,CPD -23°3445,5820
62,-23,7042,CPD -23°3543,5340
63,-23,7086,CPD -23°3589,1981
64,-23,7351,CPD -23°3826,1863
65,-23,7352,CPD -23°3827,2649
66,-23,7624,CPD -23°4030,1922
67,-23,8124,CPD -23°4328,4990
68,-23,8606,CPD -23°4634,7082
69,-23,8777,CPD -23°4721,2042
70,-23,10852,CPD -23°5683,5402
71,-23,12414,CPD -23°6228,21060
72,-23,13929,CPD -23°6848,2941
73,-23,14097,CPD -23°6960,32522
74,-23,14102,CPD -23°6964,2460
75,-23,14136,CPD -23°6997,2005
76,-24,14202,CPD -23°7045,28200
77,-23,14929,CPD -23°7340,18672
78,-23,15338,CPD -23°7448,22347
79,-23,15509,CPD -23°7508,19140
80,-23,15515,CPD -23°7512,3256
81,-23,15639,CPD -23°7551,5761
82,-23,15854,CPD -23°7609,5820
83,-23,16523,CPD -23°7865,21441
84,-23,17089,CPD -23°8029,10807
85,-23,17252,CPD -23°8094,12727
86,-23,17400,CPD -23°8161,23646
87,-23,18057,CPD -23°8354,3540
