index,decl,num,ref,dist10
1,-25,16747,PPM 242413,1690
2,-26,705,PPM 244476,25972
3,-26,706,PPM 244481,30264
4,-26,1304,PPM 246277,11676
5,-26,1426,PPM 246657,16297
6,-24,2783,PPM 248371,6154
7,-26,2132,PPM 248732,16195
8,-25,2622,PPM 249281,5456
9,-24,3857,PPM 250124,1932
12,-28,3661,PPM 251337,1674
13,-27,3496,PPM 251386,5580
14,-24,5419,PPM 252425,7751
15,-24,5836,PPM 253024,16520
16,-27,4804,PPM 253548,5786
17,-23,6942,PPM 254043,5814
18,-27,5405,PPM 254394,20305
19,-24,6945,PPM 254512,1455
20,-23,8777,PPM 256819,2057
21,-27,8178,PPM 259164,5652
23,-25,9325,PPM 260535,5276
24,-27,9346,PPM 261901,4145
26,-27,9680,PPM 262645,13288
28,-24,11535,PPM 263064,17718
29,-25,10836,PPM 264039,5454
30,-23,12414,PPM 264450,21048
32,-27,10862,PPM 265292,5860
33,-26,12149,PPM 266936,6165
34,-24,13475,PPM 267289,11754
35,-24,13579,PPM 267456,7628
36,-24,14202,PPM 268272,28334
37,-28,14598,PPM 268429,17981
39,-27,13714,PPM 269507,6716
40,-27,13715,PPM 269508,6419
41,-27,14302,PPM 270327,6024
42,-25,14906,PPM 271386,24160
43,-25,15944,PPM 273854,18025
46,-27,16182,PPM 274605,1944
47,-25,16414,PPM 274855,1673
48,-24,17893,PPM 275432,24304
49,-37,17,PPM 275745,5095
50,-37,74,PPM 275891,1264
51,-37,358,PPM 276557,6982
53,-37,664,PPM 277290,1612
54,-31,791,PPM 277456,3770
55,-31,792,PPM 277457,13493
56,-31,905,PPM 277800,3337
57,-31,906,PPM 277801,1430
58,-31,914,PPM 277812,32129
59,-31,917,PPM 277813,13331
60,-31,918,PPM 277814,12441
61,-31,920,PPM 277819,10037
62,-31,922,PPM 277824,5513
63,-31,924,PPM 277827,10253
64,-31,925,PPM 277831,10497
65,-31,926,PPM 277833,7827
66,-31,928,PPM 277838,8495
67,-31,934,PPM 277854,19277
68,-31,938,PPM 277865,2612
69,-31,942,PPM 277871,14715
70,-31,943,PPM 277873,10140
71,-31,949,PPM 277889,11500
72,-31,950,PPM 277894,26273
73,-40,736,PPM 278419,6792
74,-37,1089,PPM 278479,1215
75,-31,1585,PPM 279582,7694
76,-31,1588,PPM 279591,7821
78,-34,2056,PPM 281038,3428
81,-36,2749,PPM 282436,1991
82,-36,2804,PPM 282509,18024
83,-33,3445,PPM 283440,3217
84,-38,3240,PPM 283632,1241
85,-29,4070,PPM 283657,1595
88,-29,4868,PPM 284357,32785
89,-36,4160,PPM 284751,3583
90,-33,4843,PPM 285083,2856
91,-29,6327,PPM 285354,1786
92,-32,5706,PPM 285637,5902
94,-36,5782,PPM 286623,1625
96,-31,8102,PPM 287490,2170
97,-32,7804,PPM 288386,17967
98,-32,7805,PPM 288387,18007
99,-34,7161,PPM 288448,17966
100,-32,7928,PPM 288593,5594
101,-32,7930,PPM 288595,24515
102,-32,7933,PPM 288602,14432
103,-32,7934,PPM 288624,8745
104,-37,7586,PPM 289610,12582
105,-32,8979,PPM 290662,20431
106,-35,8321,PPM 290797,1389
107,-36,8704,PPM 291593,17307
108,-36,8707,PPM 291599,20335
109,-31,10729,PPM 291934,1957
110,-31,10817,PPM 292074,1948
111,-33,10035,PPM 293016,1742
112,-31,11651,PPM 293375,5619
113,-30,12566,PPM 294308,5530
114,-30,12756,PPM 294563,5101
115,-29,12801,PPM 295439,5647
116,-31,13502,PPM 295835,6044
117,-36,11399,PPM 296182,4520
118,-36,11406,PPM 296201,11861
119,-35,12351,PPM 297359,1421
121,-32,14091,PPM 297634,1460
122,-36,13423,PPM 298713,5957
124,-39,13250,PPM 298932,12221
125,-34,14096,PPM 299688,1427
126,-31,17508,PPM 300076,18011
127,-39,14114,PPM 301009,2944
128,-32,16655,PPM 301611,1394
129,-35,14927,PPM 301755,1283
130,-38,14807,PPM 302034,1878
131,-33,16481,PPM 303607,6047
139,-43,7998,PPM 318040,20143
140,-43,8003,PPM 318048,2479
141,-43,8009,PPM 318061,6052
142,-43,8022,PPM 318083,20995
143,-43,8025,PPM 318087,1477
144,-43,8329,PPM 318556,2284
146,-39,8429,PPM 318776,1331
158,-48,11389,PPM 322549,1314
172,-51,6012,PPM 340378,5318
