index,decl,num,ppm,dist10
1,17,5026,116071,3005
2,15,259,117652,2252
3,17,893,120819,1973
4,11,857,121122,2477
5,11,1921,125787,2286
6,13,2074,126363,8655
7,12,2132,127043,3375
8,12,2223,127501,1825
9,17,2657,129982,9041
10,11,2749,131031,1877
11,15,2819,131156,1979
12,12,3255,133583,1915
13,10,3556,134886,1823
14,12,3695,135403,1820
15,17,4041,136738,1849
16,15,3907,136813,1949
17,10,4164,137539,2498
18,13,4315,137919,2380
19,12,4447,138916,2093
20,15,4389,139931,5726
21,17,4605,140322,2094
22,10,4616,140581,2097
23,19,4871,141127,18481
24,17,4700,141128,5660
25,16,4796,141724,9009
26,14,4925,142147,2048
27,11,5006,142538,1909
28,6,151,144218,2389
29,1,410,145462,4391
30,4,416,145735,1838
31,4,538,146584,1843
32,0,1108,149109,2111
33,4,1318,150758,11797
34,3,1374,151128,3036
35,2,1367,151138,2750
36,6,1439,151541,11643
37,5,1481,151561,2265
38,4,1671,152462,2123
39,8,1757,152571,2347
40,8,1825,153008,2047
41,2,1758,153209,1874
42,0,2151,153697,2083
43,8,2038,154351,1845
44,1,2078,154370,5965
45,9,1975,154500,1963
46,6,2229,156333,3522
47,7,2545,158855,1916
48,2,2564,159058,1824
49,1,2911,160518,12197
50,3,3183,162583,2868
51,9,3277,163154,3102
52,0,3703,164115,2534
53,0,3742,164353,5429
54,9,3543,165073,1803
55,6,3621,165189,13068
56,0,3924,165686,3239
57,1,3697,166000,2553
58,0,4007,166505,7208
59,3,3794,166537,17997
60,0,4128,167340,2030
61,0,4242,168116,5955
62,2,4111,169568,4771
63,4,4414,169783,2268
64,6,4506,169871,2232
65,9,4528,170026,2014
66,0,4017,170119,2113
67,5,4560,170355,1815
68,4,4600,171197,2275
69,7,4636,171378,2405
70,7,4658,171540,17825
71,8,4691,171914,1827
72,3,4720,173144,2057
73,7,4897,173229,1807
74,1,4756,174319,1888
75,0,1008,175930,3024
76,-1,1489,176590,2410
77,-1,2359,178109,9127
78,0,2751,178412,2320
79,0,2683,179033,2220
80,0,3349,180141,1867
81,-1,4012,181045,1870
82,-1,4303,181472,2291
