index,decl,num,ref,dist10
1,-22,202,SD -22°107,2249
2,-22,2289,SD -22°1142,1913
5,-22,3491,SD -22°1530,10626
6,-22,3867,SD -22°1654,5161
8,-22,4043,SD -22°1707,9416
9,-22,4895,SD -22°1977,8078
10,-22,5124,SD -22°2020,2852
11,-22,5730,SD -22°2169,27118
12,-22,5914,SD -22°2207,5707
13,-22,6169,SD -22°2276,8205
14,-22,7991,SD -22°2861,6273
15,-22,8093,SD -22°2892,15227
16,-22,8333,SD -22°2955,19466
18,-22,9451,SD -22°3378,13894
21,-23,12988,SD -22°4247,32679
23,-22,12988,SD -22°4730,6980
27,-22,14939,SD -22°5508,1806
28,-22,15053,SD -22°5555,3258
30,-22,16389,SD -22°6161,9519
31,-22,16457,SD -22°6196,14424
33,-22,16507,SD -22°6224,8625
