number, magnitude, reference
18929, 7.0, L. (5756)
18930, 6.8, WB. 825
18931, 6.7, L. 5740
18932, 8, B. 4694
18933, 7.0, WB. 826
18934, 9, ZC. 3032
18935, 7.3, L. 5758
18936, 8.2, B. 4697
18937, 7.0, L. 5763
18938, 9.5, ZC. 3048
18939, 7.5, L. 5745
18940, 7.5, B. 4698
18941, 8, L. 5764
18942, 8.7, ZC. 3055
18943, 7.5, L. (5767)
18944, 7.7, L. 5760
18945, 7.7, L. 5759
18946, 8, ZC. 3060
18947, 8, ZC. 3063 red
18948, 9, ZC. 3069
18949, 8.5, ZC. 3071
18950, 8.5, B. 4696
18951, 8.5, OA. 13258
18952, 8.2, OA. 13259
18953, 8, OA. 13260
18954, 8.2, ZC. 3091
18955, 6.7, Ll. 25635
18956, 8, ZC. 3106
18957, 7.7, L. 5769
18958, 7.5, L. 5765
18959, 7.2, L. 5755
18960, 4.1,
18961, 7.7, ZC. 3115
18962, 8.2, OA. 13269
18963, 8, ZC. 3119
18964, 8, ZC. 3121
18965, 8, B. 4706
18966, 7.7, ZC. 3124
18967, 6.9, L. 5773
18968, 4.2,
18969, 8, ZC. 3134
18970, 7.2, L. 5774
18971, 7.5, L. (5762)
18972, 8.5, Ll. 25650
18973, 6.6, L. 5771
18974, 7.7, ZC. 3154
18975, 8, ZC. 3156
18976, 8, B. 4711
18977, 8.7, Melb.I. 701
18978, 7, L. 5772
18979, 7.0, L. 5766
18980, 6.4, L. 5761
18981, 5.7, F. 47
18982, 8, ZC. 3166
18983, 8, Y. 5767
18984, 8.2, P. 256
18985, 8.5, ZC. 3181
18986, 7.7, ZC. 3182
