24015, 7.5, Ll. 32248
24016, 9.5, 
24017, 8.5, ZC. 2434
24018, 8.5, OA. 17108
24019, 8.5, Cape III. 770
24020, 8.2, B. 6173
24021, 6.5, L. 7404
24022, 8.2, M. 1640
24023, 9.5, 
24024, 9, ZC. 2454
24025, 7.7, L. 7384
24026, 7.7, L. 7399
24027, 8.7, ZC. 2463
24028, 6.8, L. 7387
24029, 8, ZC. 2462
24030, 5.5, F. 58
24031, 6.8, Ll. 32281
24032, 7.5, ZC. 2466
24033, 9.2, ZC. 2467
24034, 7.2, L. 7388
24035, 7.1, L. 7392
24036, 8, B. 6181
24037, 8, ZC. 2480
24038, 8.7, OA. 17120
24039, 8.5, ZC. 2486
24040, 8.5, 
24041, 8.2, B. 6164
24042, 8, L. 7407
24043, 7, L. 7405
24044, 8.2, ZC. 2494
24045, 8.2, ZC. 2495
24046, 8.7, ZC. 2497
24047, 7.2, L. 7414
24048, 7.5, L. 7417
24049, 8.5, OA. 17132
24050, 6.7, Ll. 32305
24051, 6.8, Ll. 32297
24052, 7.2, ZC. 2513
24053, 8, OA. 17137
24054, 9, 
24055, 7.3, ZC. 2516
24056, 9, M. 1643
24057, 7.7, B. (6184)
24058, 7.5, Ll. 32307
24059, 8, ZC. 2521
24060, 6.6, Ll. 32325
24061, 7.5, ZC. 2522
24062, 8.2, ZC. 2523
24063, 8.5, 
24064, 9.2, ZC. 2531
24065, 9.5, 
24066, 8.5, Ll. 32309
24067, 8.5, B. 6170
24068, 9, ZC. 2548
24069, 8.2, OA. 17155
24070, 9, OA. 17158
24071, 9.5, 
24072, 8.2, ZC. 2569
24073, 8.7, ZC. 2571
24074, 9.5, ZC. 2573
24075, 7.5, L. 7420
