number,name,ra_h,ra_m,ra_s,dec_d,dec_m,mag,BD_num,BD_mag,Lal_num,Lal_mag,WB_num,WB_mag,ARGEL,Albany,HEIS
209,XI ORI,6,4,50,14,14.1,4.7,1187,4.8,11762,5,,,4.7,4.8,4.7
210,69 f1 ORI,6,4,51,16,9.4,5.5,1035,5.8,11759,6,67,6,5.7,5.5,5.7
211,71 ORI,6,7,30,19,11.8,5.7,1270,6.2,11855,6,158,6,5,5.8,6
212,,6,8,3,13,53.1,6.6,1173,6.3,11884,6.5,,,6,6.1,6
213,72 f2 ORI,6,8,13,16,10.8,5.9,1060,5.7,11887,6,,,5.7,5.7,5.7
214,,6,8,58,6,6.2,6.5,1172,7.3,11923,7,210,8,,,
215,75 l ORI,6,10,13,9,59.1,5.9,1173,6.3,11963,6,246,7,6,5.9,6
216,,6,10,14,7,5.7,6.8,1216,7.5,11968,7.5,,,,,
217,,6,10,39,5,8.1,6.5,1168,6.5,,,265,7,,6.0,
218,,6,12,21,13,28.9,6.9,1199,7.5,12037,7,317,8.5,,,
218,,6,12,24,13,29.8,6.9,1200,8.5,12039,8.5,319,9,,,
219,,6,13,30,7,46.3,7.0,1243,7.2,12077,7,,,,,
220,,6,13,52,11,48.0,6.6,1128,7.5,12088,7,,,,,
221,8 MON,6,17,9,4,39.3,4.8,1236,4.9,12221,5.2,,,4.7,4.6,4.7
221,8 MON,6,17,10,4,39.6,4.8,1237,8.2,12222,7.8,,,4.7,4.6,4.7
222,,6,17,12,8,56.9,6.6,1316,6.4,12216,7,466,7,,,6
223,,6,23,15,9,6.6,6.8,1259,6.9,12442,7,660,8,,,
224,13 MON,6,26,9,7,25.4,5.0,1337,5.0,12540,5.5,,,4.7,4.7,4.7
225,,6,27,12,10,50.2,6.7,1563,7.0,,,799,7,,,
226,,6,28,24,10,5.1,6.7,1186,7.0,,,819,9,,,6.3
227,,6,30,42,10,57.5,7.0,1201,7.1,12692,7,,,,,
228,,6,30,42,6,14.3,6.7,1309,6.5,12699,7.5,,,6,,6
229,,6,34,19,9,6.1,7.2,1345,7.0,,,1001,8,,,
230,,6,34,21,11,7.0,6.9,1273,6.9,,,999,7,,,
231,26 GEM,6,35,8,17,46.0,5.7,1357,5.5,12850,5.5,1031,5.2,5.7,5.8,5.7
232,30 GEM,6,36,56,13,21.1,5.2,1390,5.1,12920,6,1080,5.5,5,5.0,5
233,,6,38,33,9,53.6,7.1,1276,7.5,12981,7.5,1137,7.5,,,
234,16 MON,6,39,43,8,43.0,6.5,1486,6.0,13019,8,1167,7,6,6.1,6
235,17 MON,6,40,33,8,10.2,5.3,1496,5.3,13045,6.5,,,5,5.3,5
236,18 MON,6,41,21,2,32.9,5.2,1397,4.9,13075,5,,,5,4.8,5
237,,6,46,27,11,9.2,6.9,1344,6.8,13269,6.5,,,,,
238,,6,48,47,8,28.9,6.7,1562,6.8,13359,7.5,,,,,
239,,6,50,27,12,4.2,6.7,1361,7.0,13424,6.5,1508,7,,,
240,,6,51,53,7,47.4,6.6,1539,7.0,13477,7,1564,7,,,
241,,6,52,35,7,29.2,6.8,1544,7.0,13496,7,1580,7.5,,,6
242,,6,56,28,9,19.0,6.4,1496,6.5,13641,6.5,1707,7,6,6.0,6
243,,7,0,28,5,6.2,6.5,1543,6.5,13781,6,,,6,6.1,6
244,,7,1,35,11,7.2,7.4,1467,7.5,13815,7.5,1896,8,,,
245,,7,6,55,10,54.1,7.4,1458,7.5,14015,6.5,,,,,
246,,7,8,53,8,11.6,6.4,1712,6.8,14084,7,228,7,,,6.3
247,,7,10,35,6,54.2,6.9,1594,6.9,14137,7.5,,,,,
248,,7,13,3,7,22.4,6.4,1684,7.5,14237,7,355,7,,,6.3
249,1 CMI,7,18,2,11,54.7,5.8,1578,5.8,14398,6,501,9,6,5.8,6
250,6 CMI,7,22,50,12,15.8,5.0,1567,5.0,14588,6,,,5,5.0,5
251,,7,28,41,7,51.2,6.9,1773,7.3,14778,8,843,7.5,,,6.3
252,11 CMI,7,39,24,11,4.5,5.6,1670,5.0,15096,6,1156,7,5.3,5.3,5.7
