index1,index2,mag,dist
TYC 6422-2163-1,-24°376,9.6,16.44
TYC 6474-1443-1,-23°2539,10.2,43.92
TYC 6479-1782-1,-24°3023,6.6,27.28
TYC 6489-1989-1,-23°2969,10.0,54.56
TYC 6525-2701-2,-25°3665,9.7,24.53
TYC 6526-2436-1,-25°3804,10.3,8.48
TYC 6541-2709-1,-25°4400,10.0,39.32
TYC 6558-616-2,-25°5530,9.0,15.30
TYC 6571-3299-1,-23°7702,10.9,5.47
TYC 6611-1266-2,-25°7510,10.8,43.17
TYC 6740-1225-1,-26°10252,11.1,48.46
TYC 6781-886-1,-25°11070,10.7,42.67
TYC 6803-2158-1,-26°11359,1.1,24.53
TYC 6842-1598-1,-24°13736,10.3,41.10
TYC 6884-2465-1,-27°14004,8.8,8.41
TYC 6940-1033-1,-23°17057,10.3,23.48
TYC 7002-2526-1,-30°478,9.5,9.57
TYC 7283-2103-1,-31°10757,9.8,10.45
TYC 7359-1321-1,-31°13349,10.8,35.96
TYC 7378-3133-1,-30°15035,6.8,5.38
TYC 7392-3056-2,-30°15316,8.0,9.19
TYC 6546-4031-1,-26°4399,10.3,21.59
TYC 5878-1292-1,-22°1154,3.7,8.75
TYC 5913-1374-1,-22°1997,3.2,13.24
TYC 5978-31-1,-22°4458,7.3,29.76
TYC 5992-4439-1,-22°4950,6.2,38.54
TYC 6263-3145-1,-22°12560,7.8,9.11
TYC 6276-38-1,-22°12658,7.8,21.35
TYC 6292-924-1,-22°13275,5.4,16.20
TYC 6309-901-1,-22°13939,6.8,32.29
TYC 6309-1875-1,-22°13950,5.6,11.39
TYC 6358-90-1,-22°15233,7.4,24.22
TYC 6384-1571-1,-22°15862,5.1,29.65
TYC 6415-960-1,-26°22,8.8,26.61
TYC 6416-430-1,-25°96,7.5,29.42
TYC 6416-743-1,-27°38,7.4,39.63
TYC 6416-791-1,-26°81,8.2,10.82
TYC 6417-65-1,-27°140,9.6,13.88
TYC 6417-65-2,-27°140,11.0,9.57
TYC 6420-240-1,-30°101,6.9,8.87
TYC 6420-900-1,-28°130,7.0,16.28
TYC 6421-961-1,-25°234,6.4,7.58
TYC 6421-1078-1,-24°345,5.9,24.45
TYC 6421-1712-1,-25°264,6.5,6.74
TYC 6422-50-1,-23°367,8.5,14.33
TYC 6422-764-1,-24°376,5.5,31.05
TYC 6422-799-1,-26°314,7.9,15.16
TYC 6422-2159-1,-24°484,6.1,16.25
TYC 6423-1971-1,-30°156,5.5,19.98
TYC 6424-596-1,-30°325,6.3,4.37
TYC 6426-629-1,-24°666,6.4,3.26
TYC 6426-1899-1,-26°491,6.4,20.70
TYC 6428-770-1,-29°508,7.0,2.52
TYC 6428-1616-1,-30°529,7.2,20.26
TYC 6429-656-1,-23°721,4.9,16.66
TYC 6429-1926-1,-25°756,6.9,13.89
TYC 6430-193-1,-25°789,7.1,28.50
